1) a = -9 | b = -9 | c = 0

14518) a = 0 | b = -4.5 | c = -6.8

14519) a = 0 | b = -4.5 | c = -6.7

14520) a = 0 | b = -4.5 | c = -6.6

14521) a = 0 | b = -4.5 | c = -6.5

14522) a = 0 | b = -4.5 | c = -6.4

14523) a = 0 | b = -4.5 | c = -6.3

14524) a = 0 | b = -4.5 | c = -6.2

14525) a = 0 | b = -4.5 | c = -6.1

14526) a = 0 | b = -4.5 | c = -6

14527) a = 0 | b = -4.5 | c = -5.9

14528) a = 0 | b = -4.5 | c = -5.8

14529) a = 0 | b = -4.5 | c = -5.7

14530) a = 0 | b = -4.5 | c = -5.6

14531) a = 0 | b = -4.5 | c = -5.5

14532) a = 0 | b = -4.5 | c = -5.4

14533) a = 0 | b = -4.5 | c = -5.3

14534) a = 0 | b = -4.5 | c = -5.2

14535) a = 0 | b = -4.5 | c = -5.1

14536) a = 0 | b = -4.5 | c = -5

14537) a = 0 | b = -4.5 | c = -4.9

14538) a = 0 | b = -4.5 | c = -4.8

14539) a = 0 | b = -4.5 | c = -4.7

14540) a = 0 | b = -4.5 | c = -4.6

14541) a = 0 | b = -4.5 | c = -4.5

14542) a = 0 | b = -4.5 | c = -4.4

14543) a = 0 | b = -4.5 | c = -4.3

14544) a = 0 | b = -4.5 | c = -4.2

14545) a = 0 | b = -4.5 | c = -4.1

14546) a = 0 | b = -4.5 | c = -4

14547) a = 0 | b = -4.5 | c = -3.9

14548) a = 0 | b = -4.5 | c = -3.8

14549) a = 0 | b = -4.5 | c = -3.7

14550) a = 0 | b = -4.5 | c = -3.6

14551) a = 0 | b = -4.5 | c = -3.5

14552) a = 0 | b = -4.5 | c = -3.4

14553) a = 0 | b = -4.5 | c = -3.3

14554) a = 0 | b = -4.5 | c = -3.2

14555) a = 0 | b = -4.5 | c = -3.1

14556) a = 0 | b = -4.5 | c = -3

14557) a = 0 | b = -4.5 | c = -2.9

14558) a = 0 | b = -4.5 | c = -2.8

14559) a = 0 | b = -4.5 | c = -2.7

14560) a = 0 | b = -4.5 | c = -2.6

14561) a = 0 | b = -4.5 | c = -2.5

14562) a = 0 | b = -4.5 | c = -2.4

14563) a = 0 | b = -4.5 | c = -2.3

14564) a = 0 | b = -4.5 | c = -2.2

14565) a = 0 | b = -4.5 | c = -2.1

14566) a = 0 | b = -4.5 | c = -2

14567) a = 0 | b = -4.5 | c = -1.9

14568) a = 0 | b = -4.5 | c = -1.8

14569) a = 0 | b = -4.5 | c = -1.7

14570) a = 0 | b = -4.5 | c = -1.6

14571) a = 0 | b = -4.5 | c = -1.5

14572) a = 0 | b = -4.5 | c = -1.4

14573) a = 0 | b = -4.5 | c = -1.3

14574) a = 0 | b = -4.5 | c = -1.2

14575) a = 0 | b = -4.5 | c = -1.1

14576) a = 0 | b = -4.5 | c = -1

14577) a = 0 | b = -4.5 | c = -0.9

14578) a = 0 | b = -4.5 | c = -0.8

14579) a = 0 | b = -4.5 | c = -0.7

14580) a = 0 | b = -4.5 | c = -0.6

14581) a = 0 | b = -4.5 | c = -0.5

14582) a = 0 | b = -4.5 | c = -0.4

14583) a = 0 | b = -4.5 | c = -0.3

14584) a = 0 | b = -4.5 | c = -0.2

14585) a = 0 | b = -4.5 | c = -0.1

14586) a = 0 | b = -4.5 | c = 0

14587) a = 0 | b = -4.5 | c = 0.1

14588) a = 0 | b = -4.5 | c = 0.2

14589) a = 0 | b = -4.5 | c = 0.3

14590) a = 0 | b = -4.5 | c = 0.4

14591) a = 0 | b = -4.5 | c = 0.5

14592) a = 0 | b = -4.5 | c = 0.6

14593) a = 0 | b = -4.5 | c = 0.7

14594) a = 0 | b = -4.5 | c = 0.8

14595) a = 0 | b = -4.5 | c = 0.9

14596) a = 0 | b = -4.5 | c = 1

14597) a = 0 | b = -4.5 | c = 1.1

14598) a = 0 | b = -4.5 | c = 1.2

14599) a = 0 | b = -4.5 | c = 1.3

14600) a = 0 | b = -4.5 | c = 1.4

14601) a = 0 | b = -4.5 | c = 1.5

14602) a = 0 | b = -4.5 | c = 1.6

14603) a = 0 | b = -4.5 | c = 1.7

14604) a = 0 | b = -4.5 | c = 1.8

14605) a = 0 | b = -4.5 | c = 1.9

14606) a = 0 | b = -4.5 | c = 2

14607) a = 0 | b = -4.5 | c = 2.1

14608) a = 0 | b = -4.5 | c = 2.2

14609) a = 0 | b = -4.5 | c = 2.3

14610) a = 0 | b = -4.5 | c = 2.4

14611) a = 0 | b = -4.5 | c = 2.5

14612) a = 0 | b = -4.5 | c = 2.6

14613) a = 0 | b = -4.5 | c = 2.7

14614) a = 0 | b = -4.5 | c = 2.8

14615) a = 0 | b = -4.5 | c = 2.9

14616) a = 0 | b = -4.5 | c = 3

14617) a = 0 | b = -4.5 | c = 3.1

14618) a = 0 | b = -4.5 | c = 3.2

14619) a = 0 | b = -4.5 | c = 3.3

14620) a = 0 | b = -4.5 | c = 3.4

14621) a = 0 | b = -4.5 | c = 3.5

14622) a = 0 | b = -4.5 | c = 3.6

14623) a = 0 | b = -4.5 | c = 3.7

14624) a = 0 | b = -4.5 | c = 3.8

14625) a = 0 | b = -4.5 | c = 3.9

14626) a = 0 | b = -4.5 | c = 4

14627) a = 0 | b = -4.5 | c = 4.1

14628) a = 0 | b = -4.5 | c = 4.2

14629) a = 0 | b = -4.5 | c = 4.3

14630) a = 0 | b = -4.5 | c = 4.4

14631) a = 0 | b = -4.5 | c = 4.5

14632) a = 0 | b = -4.5 | c = 4.6

14633) a = 0 | b = -4.5 | c = 4.7

14634) a = 0 | b = -4.5 | c = 4.8

14635) a = 0 | b = -4.5 | c = 4.9

14636) a = 0 | b = -4.5 | c = 5

14637) a = 0 | b = -4.5 | c = 5.1

14638) a = 0 | b = -4.5 | c = 5.2

14639) a = 0 | b = -4.5 | c = 5.3

14640) a = 0 | b = -4.5 | c = 5.4

14641) a = 0 | b = -4.5 | c = 5.5

14642) a = 0 | b = -4.5 | c = 5.6

14643) a = 0 | b = -4.5 | c = 5.7

14644) a = 0 | b = -4.5 | c = 5.8

14645) a = 0 | b = -4.5 | c = 5.9

14646) a = 0 | b = -4.5 | c = 6

14647) a = 0 | b = -4.5 | c = 6.1

14648) a = 0 | b = -4.5 | c = 6.2

14649) a = 0 | b = -4.5 | c = 6.3

14650) a = 0 | b = -4.5 | c = 6.4

14651) a = 0 | b = -4.5 | c = 6.5

14652) a = 0 | b = -4.5 | c = 6.6

14653) a = 0 | b = -4.5 | c = 6.7

14654) a = 0 | b = -4.5 | c = 6.8

14655) a = 0 | b = -4.5 | c = 6.9

14656) a = 0 | b = -4.5 | c = 7

14657) a = 0 | b = -4.5 | c = 7.1

14658) a = 0 | b = -4.5 | c = 7.2

14659) a = 0 | b = -4.5 | c = 7.3

14660) a = 0 | b = -4.5 | c = 7.4

14661) a = 0 | b = -4.5 | c = 7.5

14662) a = 0 | b = -4.5 | c = 7.6

14663) a = 0 | b = -4.5 | c = 7.7

14664) a = 0 | b = -4.5 | c = 7.8

14665) a = 0 | b = -4.5 | c = 7.9

14666) a = 0 | b = -4.5 | c = 8

14667) a = 0 | b = -4.5 | c = 8.1

14668) a = 0 | b = -4.5 | c = 8.2

14669) a = 0 | b = -4.5 | c = 8.3

14670) a = 0 | b = -4.5 | c = 8.4

14671) a = 0 | b = -4.5 | c = 8.5

14672) a = 0 | b = -4.5 | c = 8.6

14673) a = 0 | b = -4.5 | c = 8.7

14674) a = 0 | b = -4.5 | c = 8.8

14675) a = 0 | b = -4.5 | c = 8.9

14676) a = 0 | b = -4.5 | c = 9

14677) a = 0 | b = -4.4 | c = -9

14678) a = 0 | b = -4.4 | c = -8.9

14679) a = 0 | b = -4.4 | c = -8.8

14680) a = 0 | b = -4.4 | c = -8.7

14681) a = 0 | b = -4.4 | c = -8.6

14682) a = 0 | b = -4.4 | c = -8.5

14683) a = 0 | b = -4.4 | c = -8.4

14684) a = 0 | b = -4.4 | c = -8.3

14685) a = 0 | b = -4.4 | c = -8.2

14686) a = 0 | b = -4.4 | c = -8.1

14687) a = 0 | b = -4.4 | c = -8

14688) a = 0 | b = -4.4 | c = -7.9

14689) a = 0 | b = -4.4 | c = -7.8

14690) a = 0 | b = -4.4 | c = -7.7

14691) a = 0 | b = -4.4 | c = -7.6

14692) a = 0 | b = -4.4 | c = -7.5

14693) a = 0 | b = -4.4 | c = -7.4

14694) a = 0 | b = -4.4 | c = -7.3

14695) a = 0 | b = -4.4 | c = -7.2

14696) a = 0 | b = -4.4 | c = -7.1

14697) a = 0 | b = -4.4 | c = -7

14698) a = 0 | b = -4.4 | c = -6.9

14699) a = 0 | b = -4.4 | c = -6.8

14700) a = 0 | b = -4.4 | c = -6.7

14701) a = 0 | b = -4.4 | c = -6.6

14702) a = 0 | b = -4.4 | c = -6.5

14703) a = 0 | b = -4.4 | c = -6.4

14704) a = 0 | b = -4.4 | c = -6.3

14705) a = 0 | b = -4.4 | c = -6.2

14706) a = 0 | b = -4.4 | c = -6.1

14707) a = 0 | b = -4.4 | c = -6

14708) a = 0 | b = -4.4 | c = -5.9

14709) a = 0 | b = -4.4 | c = -5.8

14710) a = 0 | b = -4.4 | c = -5.7

14711) a = 0 | b = -4.4 | c = -5.6

14712) a = 0 | b = -4.4 | c = -5.5

14713) a = 0 | b = -4.4 | c = -5.4

14714) a = 0 | b = -4.4 | c = -5.3

14715) a = 0 | b = -4.4 | c = -5.2

14716) a = 0 | b = -4.4 | c = -5.1

14717) a = 0 | b = -4.4 | c = -5

14718) a = 0 | b = -4.4 | c = -4.9

14719) a = 0 | b = -4.4 | c = -4.8

14720) a = 0 | b = -4.4 | c = -4.7

14721) a = 0 | b = -4.4 | c = -4.6

14722) a = 0 | b = -4.4 | c = -4.5

14723) a = 0 | b = -4.4 | c = -4.4

14724) a = 0 | b = -4.4 | c = -4.3

14725) a = 0 | b = -4.4 | c = -4.2

14726) a = 0 | b = -4.4 | c = -4.1

14727) a = 0 | b = -4.4 | c = -4

14728) a = 0 | b = -4.4 | c = -3.9

14729) a = 0 | b = -4.4 | c = -3.8

14730) a = 0 | b = -4.4 | c = -3.7

14731) a = 0 | b = -4.4 | c = -3.6

14732) a = 0 | b = -4.4 | c = -3.5

14733) a = 0 | b = -4.4 | c = -3.4

14734) a = 0 | b = -4.4 | c = -3.3

14735) a = 0 | b = -4.4 | c = -3.2

14736) a = 0 | b = -4.4 | c = -3.1

14737) a = 0 | b = -4.4 | c = -3

14738) a = 0 | b = -4.4 | c = -2.9

14739) a = 0 | b = -4.4 | c = -2.8

14740) a = 0 | b = -4.4 | c = -2.7

14741) a = 0 | b = -4.4 | c = -2.6

14742) a = 0 | b = -4.4 | c = -2.5

14743) a = 0 | b = -4.4 | c = -2.4

14744) a = 0 | b = -4.4 | c = -2.3

14745) a = 0 | b = -4.4 | c = -2.2

14746) a = 0 | b = -4.4 | c = -2.1

14747) a = 0 | b = -4.4 | c = -2

14748) a = 0 | b = -4.4 | c = -1.9

14749) a = 0 | b = -4.4 | c = -1.8

14750) a = 0 | b = -4.4 | c = -1.7

14751) a = 0 | b = -4.4 | c = -1.6

14752) a = 0 | b = -4.4 | c = -1.5

14753) a = 0 | b = -4.4 | c = -1.4

14754) a = 0 | b = -4.4 | c = -1.3

14755) a = 0 | b = -4.4 | c = -1.2

14756) a = 0 | b = -4.4 | c = -1.1

14757) a = 0 | b = -4.4 | c = -1

14758) a = 0 | b = -4.4 | c = -0.9

14759) a = 0 | b = -4.4 | c = -0.8

14760) a = 0 | b = -4.4 | c = -0.7

14761) a = 0 | b = -4.4 | c = -0.6

14762) a = 0 | b = -4.4 | c = -0.5

14763) a = 0 | b = -4.4 | c = -0.4

14764) a = 0 | b = -4.4 | c = -0.3

14765) a = 0 | b = -4.4 | c = -0.2

14766) a = 0 | b = -4.4 | c = -0.1

14767) a = 0 | b = -4.4 | c = 0

14768) a = 0 | b = -4.4 | c = 0.1

14769) a = 0 | b = -4.4 | c = 0.2

14770) a = 0 | b = -4.4 | c = 0.3

14771) a = 0 | b = -4.4 | c = 0.4

14772) a = 0 | b = -4.4 | c = 0.5

14773) a = 0 | b = -4.4 | c = 0.6

14774) a = 0 | b = -4.4 | c = 0.7

14775) a = 0 | b = -4.4 | c = 0.8

14776) a = 0 | b = -4.4 | c = 0.9

14777) a = 0 | b = -4.4 | c = 1

14778) a = 0 | b = -4.4 | c = 1.1

14779) a = 0 | b = -4.4 | c = 1.2

14780) a = 0 | b = -4.4 | c = 1.3

14781) a = 0 | b = -4.4 | c = 1.4

14782) a = 0 | b = -4.4 | c = 1.5

14783) a = 0 | b = -4.4 | c = 1.6

14784) a = 0 | b = -4.4 | c = 1.7

14785) a = 0 | b = -4.4 | c = 1.8

14786) a = 0 | b = -4.4 | c = 1.9

14787) a = 0 | b = -4.4 | c = 2

14788) a = 0 | b = -4.4 | c = 2.1

14789) a = 0 | b = -4.4 | c = 2.2

14790) a = 0 | b = -4.4 | c = 2.3

14791) a = 0 | b = -4.4 | c = 2.4

14792) a = 0 | b = -4.4 | c = 2.5

14793) a = 0 | b = -4.4 | c = 2.6

14794) a = 0 | b = -4.4 | c = 2.7

14795) a = 0 | b = -4.4 | c = 2.8

14796) a = 0 | b = -4.4 | c = 2.9

14797) a = 0 | b = -4.4 | c = 3

14798) a = 0 | b = -4.4 | c = 3.1

14799) a = 0 | b = -4.4 | c = 3.2

14800) a = 0 | b = -4.4 | c = 3.3

14801) a = 0 | b = -4.4 | c = 3.4

14802) a = 0 | b = -4.4 | c = 3.5

14803) a = 0 | b = -4.4 | c = 3.6

14804) a = 0 | b = -4.4 | c = 3.7

14805) a = 0 | b = -4.4 | c = 3.8

14806) a = 0 | b = -4.4 | c = 3.9

14807) a = 0 | b = -4.4 | c = 4

14808) a = 0 | b = -4.4 | c = 4.1

14809) a = 0 | b = -4.4 | c = 4.2

14810) a = 0 | b = -4.4 | c = 4.3

14811) a = 0 | b = -4.4 | c = 4.4

14812) a = 0 | b = -4.4 | c = 4.5

14813) a = 0 | b = -4.4 | c = 4.6

14814) a = 0 | b = -4.4 | c = 4.7

14815) a = 0 | b = -4.4 | c = 4.8

14816) a = 0 | b = -4.4 | c = 4.9

14817) a = 0 | b = -4.4 | c = 5

14818) a = 0 | b = -4.4 | c = 5.1

14819) a = 0 | b = -4.4 | c = 5.2

14820) a = 0 | b = -4.4 | c = 5.3

14821) a = 0 | b = -4.4 | c = 5.4

14822) a = 0 | b = -4.4 | c = 5.5

14823) a = 0 | b = -4.4 | c = 5.6

14824) a = 0 | b = -4.4 | c = 5.7

14825) a = 0 | b = -4.4 | c = 5.8

14826) a = 0 | b = -4.4 | c = 5.9

14827) a = 0 | b = -4.4 | c = 6

14828) a = 0 | b = -4.4 | c = 6.1

14829) a = 0 | b = -4.4 | c = 6.2

14830) a = 0 | b = -4.4 | c = 6.3

14831) a = 0 | b = -4.4 | c = 6.4

14832) a = 0 | b = -4.4 | c = 6.5

14833) a = 0 | b = -4.4 | c = 6.6

14834) a = 0 | b = -4.4 | c = 6.7

14835) a = 0 | b = -4.4 | c = 6.8

14836) a = 0 | b = -4.4 | c = 6.9

14837) a = 0 | b = -4.4 | c = 7

14838) a = 0 | b = -4.4 | c = 7.1

14839) a = 0 | b = -4.4 | c = 7.2

14840) a = 0 | b = -4.4 | c = 7.3

14841) a = 0 | b = -4.4 | c = 7.4

14842) a = 0 | b = -4.4 | c = 7.5

14843) a = 0 | b = -4.4 | c = 7.6

14844) a = 0 | b = -4.4 | c = 7.7

14845) a = 0 | b = -4.4 | c = 7.8

14846) a = 0 | b = -4.4 | c = 7.9

14847) a = 0 | b = -4.4 | c = 8

14848) a = 0 | b = -4.4 | c = 8.1

14849) a = 0 | b = -4.4 | c = 8.2

14850) a = 0 | b = -4.4 | c = 8.3

14851) a = 0 | b = -4.4 | c = 8.4

14852) a = 0 | b = -4.4 | c = 8.5

14853) a = 0 | b = -4.4 | c = 8.6

14854) a = 0 | b = -4.4 | c = 8.7

14855) a = 0 | b = -4.4 | c = 8.8

14856) a = 0 | b = -4.4 | c = 8.9

14857) a = 0 | b = -4.4 | c = 9

14858) a = 0 | b = -4.3 | c = -9

14859) a = 0 | b = -4.3 | c = -8.9

14860) a = 0 | b = -4.3 | c = -8.8

14861) a = 0 | b = -4.3 | c = -8.7

14862) a = 0 | b = -4.3 | c = -8.6

14863) a = 0 | b = -4.3 | c = -8.5

14864) a = 0 | b = -4.3 | c = -8.4

14865) a = 0 | b = -4.3 | c = -8.3

14866) a = 0 | b = -4.3 | c = -8.2

14867) a = 0 | b = -4.3 | c = -8.1

14868) a = 0 | b = -4.3 | c = -8

14869) a = 0 | b = -4.3 | c = -7.9

14870) a = 0 | b = -4.3 | c = -7.8

14871) a = 0 | b = -4.3 | c = -7.7

14872) a = 0 | b = -4.3 | c = -7.6

14873) a = 0 | b = -4.3 | c = -7.5

14874) a = 0 | b = -4.3 | c = -7.4

14875) a = 0 | b = -4.3 | c = -7.3

14876) a = 0 | b = -4.3 | c = -7.2

14877) a = 0 | b = -4.3 | c = -7.1

14878) a = 0 | b = -4.3 | c = -7

14879) a = 0 | b = -4.3 | c = -6.9

14880) a = 0 | b = -4.3 | c = -6.8

14881) a = 0 | b = -4.3 | c = -6.7

14882) a = 0 | b = -4.3 | c = -6.6

14883) a = 0 | b = -4.3 | c = -6.5

14884) a = 0 | b = -4.3 | c = -6.4

14885) a = 0 | b = -4.3 | c = -6.3

14886) a = 0 | b = -4.3 | c = -6.2

14887) a = 0 | b = -4.3 | c = -6.1

14888) a = 0 | b = -4.3 | c = -6

14889) a = 0 | b = -4.3 | c = -5.9

14890) a = 0 | b = -4.3 | c = -5.8

14891) a = 0 | b = -4.3 | c = -5.7

14892) a = 0 | b = -4.3 | c = -5.6

14893) a = 0 | b = -4.3 | c = -5.5

14894) a = 0 | b = -4.3 | c = -5.4

14895) a = 0 | b = -4.3 | c = -5.3

14896) a = 0 | b = -4.3 | c = -5.2

14897) a = 0 | b = -4.3 | c = -5.1

14898) a = 0 | b = -4.3 | c = -5

14899) a = 0 | b = -4.3 | c = -4.9

14900) a = 0 | b = -4.3 | c = -4.8

14901) a = 0 | b = -4.3 | c = -4.7

14902) a = 0 | b = -4.3 | c = -4.6

14903) a = 0 | b = -4.3 | c = -4.5

14904) a = 0 | b = -4.3 | c = -4.4

14905) a = 0 | b = -4.3 | c = -4.3

14906) a = 0 | b = -4.3 | c = -4.2

14907) a = 0 | b = -4.3 | c = -4.1

14908) a = 0 | b = -4.3 | c = -4

14909) a = 0 | b = -4.3 | c = -3.9

14910) a = 0 | b = -4.3 | c = -3.8

14911) a = 0 | b = -4.3 | c = -3.7

14912) a = 0 | b = -4.3 | c = -3.6

14913) a = 0 | b = -4.3 | c = -3.5

14914) a = 0 | b = -4.3 | c = -3.4

14915) a = 0 | b = -4.3 | c = -3.3

14916) a = 0 | b = -4.3 | c = -3.2

14917) a = 0 | b = -4.3 | c = -3.1

14918) a = 0 | b = -4.3 | c = -3

14919) a = 0 | b = -4.3 | c = -2.9

14920) a = 0 | b = -4.3 | c = -2.8

14921) a = 0 | b = -4.3 | c = -2.7

14922) a = 0 | b = -4.3 | c = -2.6

14923) a = 0 | b = -4.3 | c = -2.5

14924) a = 0 | b = -4.3 | c = -2.4

14925) a = 0 | b = -4.3 | c = -2.3

14926) a = 0 | b = -4.3 | c = -2.2

14927) a = 0 | b = -4.3 | c = -2.1

14928) a = 0 | b = -4.3 | c = -2

14929) a = 0 | b = -4.3 | c = -1.9

14930) a = 0 | b = -4.3 | c = -1.8

14931) a = 0 | b = -4.3 | c = -1.7

14932) a = 0 | b = -4.3 | c = -1.6

14933) a = 0 | b = -4.3 | c = -1.5

14934) a = 0 | b = -4.3 | c = -1.4

14935) a = 0 | b = -4.3 | c = -1.3

14936) a = 0 | b = -4.3 | c = -1.2

14937) a = 0 | b = -4.3 | c = -1.1

14938) a = 0 | b = -4.3 | c = -1

14939) a = 0 | b = -4.3 | c = -0.9

14940) a = 0 | b = -4.3 | c = -0.8

14941) a = 0 | b = -4.3 | c = -0.7

14942) a = 0 | b = -4.3 | c = -0.6

14943) a = 0 | b = -4.3 | c = -0.5

14944) a = 0 | b = -4.3 | c = -0.4

14945) a = 0 | b = -4.3 | c = -0.3

14946) a = 0 | b = -4.3 | c = -0.2

14947) a = 0 | b = -4.3 | c = -0.1

14948) a = 0 | b = -4.3 | c = 0

14949) a = 0 | b = -4.3 | c = 0.1

14950) a = 0 | b = -4.3 | c = 0.2

14951) a = 0 | b = -4.3 | c = 0.3

14952) a = 0 | b = -4.3 | c = 0.4

14953) a = 0 | b = -4.3 | c = 0.5

14954) a = 0 | b = -4.3 | c = 0.6

14955) a = 0 | b = -4.3 | c = 0.7

14956) a = 0 | b = -4.3 | c = 0.8

14957) a = 0 | b = -4.3 | c = 0.9

14958) a = 0 | b = -4.3 | c = 1

14959) a = 0 | b = -4.3 | c = 1.1

14960) a = 0 | b = -4.3 | c = 1.2

14961) a = 0 | b = -4.3 | c = 1.3

14962) a = 0 | b = -4.3 | c = 1.4

14963) a = 0 | b = -4.3 | c = 1.5

14964) a = 0 | b = -4.3 | c = 1.6

14965) a = 0 | b = -4.3 | c = 1.7

14966) a = 0 | b = -4.3 | c = 1.8

14967) a = 0 | b = -4.3 | c = 1.9

14968) a = 0 | b = -4.3 | c = 2

14969) a = 0 | b = -4.3 | c = 2.1

14970) a = 0 | b = -4.3 | c = 2.2

14971) a = 0 | b = -4.3 | c = 2.3

14972) a = 0 | b = -4.3 | c = 2.4

14973) a = 0 | b = -4.3 | c = 2.5

14974) a = 0 | b = -4.3 | c = 2.6

14975) a = 0 | b = -4.3 | c = 2.7

14976) a = 0 | b = -4.3 | c = 2.8

14977) a = 0 | b = -4.3 | c = 2.9

14978) a = 0 | b = -4.3 | c = 3

14979) a = 0 | b = -4.3 | c = 3.1

14980) a = 0 | b = -4.3 | c = 3.2

14981) a = 0 | b = -4.3 | c = 3.3

14982) a = 0 | b = -4.3 | c = 3.4

14983) a = 0 | b = -4.3 | c = 3.5

14984) a = 0 | b = -4.3 | c = 3.6

14985) a = 0 | b = -4.3 | c = 3.7

14986) a = 0 | b = -4.3 | c = 3.8

14987) a = 0 | b = -4.3 | c = 3.9

14988) a = 0 | b = -4.3 | c = 4

14989) a = 0 | b = -4.3 | c = 4.1

14990) a = 0 | b = -4.3 | c = 4.2

14991) a = 0 | b = -4.3 | c = 4.3

14992) a = 0 | b = -4.3 | c = 4.4

14993) a = 0 | b = -4.3 | c = 4.5

14994) a = 0 | b = -4.3 | c = 4.6

14995) a = 0 | b = -4.3 | c = 4.7

14996) a = 0 | b = -4.3 | c = 4.8

14997) a = 0 | b = -4.3 | c = 4.9

14998) a = 0 | b = -4.3 | c = 5

14999) a = 0 | b = -4.3 | c = 5.1

15000) a = 0 | b = -4.3 | c = 5.2

15001) a = 0 | b = -4.3 | c = 5.3

15002) a = 0 | b = -4.3 | c = 5.4

15003) a = 0 | b = -4.3 | c = 5.5

15004) a = 0 | b = -4.3 | c = 5.6

15005) a = 0 | b = -4.3 | c = 5.7

15006) a = 0 | b = -4.3 | c = 5.8

15007) a = 0 | b = -4.3 | c = 5.9

15008) a = 0 | b = -4.3 | c = 6

15009) a = 0 | b = -4.3 | c = 6.1

15010) a = 0 | b = -4.3 | c = 6.2

15011) a = 0 | b = -4.3 | c = 6.3

15012) a = 0 | b = -4.3 | c = 6.4

15013) a = 0 | b = -4.3 | c = 6.5

15014) a = 0 | b = -4.3 | c = 6.6

15015) a = 0 | b = -4.3 | c = 6.7

15016) a = 0 | b = -4.3 | c = 6.8

15017) a = 0 | b = -4.3 | c = 6.9

15018) a = 0 | b = -4.3 | c = 7

15019) a = 0 | b = -4.3 | c = 7.1

15020) a = 0 | b = -4.3 | c = 7.2

15021) a = 0 | b = -4.3 | c = 7.3

15022) a = 0 | b = -4.3 | c = 7.4

15023) a = 0 | b = -4.3 | c = 7.5

15024) a = 0 | b = -4.3 | c = 7.6

15025) a = 0 | b = -4.3 | c = 7.7

15026) a = 0 | b = -4.3 | c = 7.8

15027) a = 0 | b = -4.3 | c = 7.9

15028) a = 0 | b = -4.3 | c = 8

15029) a = 0 | b = -4.3 | c = 8.1

15030) a = 0 | b = -4.3 | c = 8.2

15031) a = 0 | b = -4.3 | c = 8.3

15032) a = 0 | b = -4.3 | c = 8.4

15033) a = 0 | b = -4.3 | c = 8.5

15034) a = 0 | b = -4.3 | c = 8.6

15035) a = 0 | b = -4.3 | c = 8.7

15036) a = 0 | b = -4.3 | c = 8.8

15037) a = 0 | b = -4.3 | c = 8.9

15038) a = 0 | b = -4.3 | c = 9

15039) a = 0 | b = -4.2 | c = -9

15040) a = 0 | b = -4.2 | c = -8.9

15041) a = 0 | b = -4.2 | c = -8.8

15042) a = 0 | b = -4.2 | c = -8.7

15043) a = 0 | b = -4.2 | c = -8.6

15044) a = 0 | b = -4.2 | c = -8.5

15045) a = 0 | b = -4.2 | c = -8.4

15046) a = 0 | b = -4.2 | c = -8.3

15047) a = 0 | b = -4.2 | c = -8.2

15048) a = 0 | b = -4.2 | c = -8.1

15049) a = 0 | b = -4.2 | c = -8

15050) a = 0 | b = -4.2 | c = -7.9

15051) a = 0 | b = -4.2 | c = -7.8

15052) a = 0 | b = -4.2 | c = -7.7

15053) a = 0 | b = -4.2 | c = -7.6

15054) a = 0 | b = -4.2 | c = -7.5

15055) a = 0 | b = -4.2 | c = -7.4

15056) a = 0 | b = -4.2 | c = -7.3

15057) a = 0 | b = -4.2 | c = -7.2

15058) a = 0 | b = -4.2 | c = -7.1

15059) a = 0 | b = -4.2 | c = -7

15060) a = 0 | b = -4.2 | c = -6.9

15061) a = 0 | b = -4.2 | c = -6.8

15062) a = 0 | b = -4.2 | c = -6.7

15063) a = 0 | b = -4.2 | c = -6.6

15064) a = 0 | b = -4.2 | c = -6.5

15065) a = 0 | b = -4.2 | c = -6.4

15066) a = 0 | b = -4.2 | c = -6.3

15067) a = 0 | b = -4.2 | c = -6.2

15068) a = 0 | b = -4.2 | c = -6.1

15069) a = 0 | b = -4.2 | c = -6

15070) a = 0 | b = -4.2 | c = -5.9

15071) a = 0 | b = -4.2 | c = -5.8

15072) a = 0 | b = -4.2 | c = -5.7

15073) a = 0 | b = -4.2 | c = -5.6

15074) a = 0 | b = -4.2 | c = -5.5

15075) a = 0 | b = -4.2 | c = -5.4

15076) a = 0 | b = -4.2 | c = -5.3

15077) a = 0 | b = -4.2 | c = -5.2

15078) a = 0 | b = -4.2 | c = -5.1

15079) a = 0 | b = -4.2 | c = -5

15080) a = 0 | b = -4.2 | c = -4.9

