1) d = 81 | x1 = -1.0 | x2 = 0
537) d = 1 | x1 = 0 | x2 = 0

538) d = 1 | x1 = 0 | x2 = 0

539) d = 1 | x1 = 0 | x2 = 0

540) d = 4 | x1 = 0 | x2 = 0

541) d = 4 | x1 = 0 | x2 = 0

542) d = 4 | x1 = 0 | x2 = 0

543) d = 4 | x1 = 0 | x2 = 0

544) d = 4 | x1 = 0 | x2 = 0

545) d = 4 | x1 = 0 | x2 = 0

546) d = 4 | x1 = 0 | x2 = 0

547) d = 4 | x1 = 0 | x2 = 0

548) d = 4 | x1 = 0 | x2 = 0

549) d = 4 | x1 = 0 | x2 = 0

550) d = 4 | x1 = 0 | x2 = 0

551) d = 4 | x1 = 0 | x2 = 0

552) d = 4 | x1 = 0 | x2 = 0

553) d = 4 | x1 = 0 | x2 = 0

554) d = 4 | x1 = 0 | x2 = 0

555) d = 4 | x1 = 0 | x2 = 0

556) d = 4 | x1 = 0 | x2 = 0

557) d = 4 | x1 = 0 | x2 = 0

558) d = 4 | x1 = 0 | x2 = 0

559) d = 9 | x1 = 0 | x2 = 0

560) d = 9 | x1 = 0 | x2 = 0

561) d = 9 | x1 = 0 | x2 = 0

562) d = 9 | x1 = 0 | x2 = 0

563) d = 9 | x1 = 0 | x2 = 0

564) d = 9 | x1 = 0 | x2 = 0

565) d = 9 | x1 = 0 | x2 = 0

566) d = 9 | x1 = 0 | x2 = 0

567) d = 9 | x1 = 0 | x2 = 0

568) d = 9 | x1 = 0 | x2 = 0

569) d = 9 | x1 = 0 | x2 = 0

570) d = 9 | x1 = 0 | x2 = 0

571) d = 9 | x1 = 0 | x2 = 0

572) d = 9 | x1 = 0 | x2 = 0

573) d = 9 | x1 = 0 | x2 = 0

574) d = 9 | x1 = 0 | x2 = 0

575) d = 9 | x1 = 0 | x2 = 0

576) d = 9 | x1 = 0 | x2 = 0

577) d = 9 | x1 = 0 | x2 = 0

578) d = 16 | x1 = 0 | x2 = 0

579) d = 16 | x1 = 0 | x2 = 0

580) d = 16 | x1 = 0 | x2 = 0

581) d = 16 | x1 = 0 | x2 = 0

582) d = 16 | x1 = 0 | x2 = 0

583) d = 16 | x1 = 0 | x2 = 0

584) d = 16 | x1 = 0 | x2 = 0

585) d = 16 | x1 = 0 | x2 = 0

586) d = 16 | x1 = 0 | x2 = 0

587) d = 16 | x1 = 0 | x2 = 0

588) d = 16 | x1 = 0 | x2 = 0

589) d = 16 | x1 = 0 | x2 = 0

590) d = 16 | x1 = 0 | x2 = 0

591) d = 16 | x1 = 0 | x2 = 0

592) d = 16 | x1 = 0 | x2 = 0

593) d = 16 | x1 = 0 | x2 = 0

594) d = 16 | x1 = 0 | x2 = 0

595) d = 16 | x1 = 0 | x2 = 0

596) d = 16 | x1 = 0 | x2 = 0

597) d = 25 | x1 = 0 | x2 = 0

598) d = 25 | x1 = 0 | x2 = 0

599) d = 25 | x1 = 0 | x2 = 0

600) d = 25 | x1 = 0 | x2 = 0

601) d = 25 | x1 = 0 | x2 = 0

602) d = 25 | x1 = 0 | x2 = 0

603) d = 25 | x1 = 0 | x2 = 0

604) d = 25 | x1 = 0 | x2 = 0

605) d = 25 | x1 = 0 | x2 = 0

606) d = 25 | x1 = 0 | x2 = 0

607) d = 25 | x1 = 0 | x2 = 0

608) d = 25 | x1 = 0 | x2 = 0

609) d = 25 | x1 = 0 | x2 = 0

610) d = 25 | x1 = 0 | x2 = 0

611) d = 25 | x1 = 0 | x2 = 0

612) d = 25 | x1 = 0 | x2 = 0

613) d = 25 | x1 = 0 | x2 = 0

614) d = 25 | x1 = 0 | x2 = 0

615) d = 25 | x1 = 0 | x2 = 0

616) d = 36 | x1 = 0 | x2 = 0

617) d = 36 | x1 = 0 | x2 = 0

618) d = 36 | x1 = 0 | x2 = 0

619) d = 36 | x1 = 0 | x2 = 0

620) d = 36 | x1 = 0 | x2 = 0

621) d = 36 | x1 = 0 | x2 = 0

622) d = 36 | x1 = 0 | x2 = 0

623) d = 36 | x1 = 0 | x2 = 0

624) d = 36 | x1 = 0 | x2 = 0

625) d = 36 | x1 = 0 | x2 = 0

626) d = 36 | x1 = 0 | x2 = 0

627) d = 36 | x1 = 0 | x2 = 0

628) d = 36 | x1 = 0 | x2 = 0

629) d = 36 | x1 = 0 | x2 = 0

630) d = 36 | x1 = 0 | x2 = 0

631) d = 36 | x1 = 0 | x2 = 0

632) d = 36 | x1 = 0 | x2 = 0

633) d = 36 | x1 = 0 | x2 = 0

634) d = 36 | x1 = 0 | x2 = 0

635) d = 49 | x1 = 0 | x2 = 0

636) d = 49 | x1 = 0 | x2 = 0

637) d = 49 | x1 = 0 | x2 = 0

638) d = 49 | x1 = 0 | x2 = 0

639) d = 49 | x1 = 0 | x2 = 0

640) d = 49 | x1 = 0 | x2 = 0

641) d = 49 | x1 = 0 | x2 = 0

642) d = 49 | x1 = 0 | x2 = 0

643) d = 49 | x1 = 0 | x2 = 0

644) d = 49 | x1 = 0 | x2 = 0

645) d = 49 | x1 = 0 | x2 = 0

646) d = 49 | x1 = 0 | x2 = 0

647) d = 49 | x1 = 0 | x2 = 0

648) d = 49 | x1 = 0 | x2 = 0

649) d = 49 | x1 = 0 | x2 = 0

650) d = 49 | x1 = 0 | x2 = 0

651) d = 49 | x1 = 0 | x2 = 0

652) d = 49 | x1 = 0 | x2 = 0

653) d = 49 | x1 = 0 | x2 = 0

654) d = 64 | x1 = 0 | x2 = 0

655) d = 64 | x1 = 0 | x2 = 0

656) d = 64 | x1 = 0 | x2 = 0

657) d = 64 | x1 = 0 | x2 = 0

658) d = 64 | x1 = 0 | x2 = 0

659) d = 64 | x1 = 0 | x2 = 0

660) d = 64 | x1 = 0 | x2 = 0

661) d = 64 | x1 = 0 | x2 = 0

662) d = 64 | x1 = 0 | x2 = 0

663) d = 64 | x1 = 0 | x2 = 0

664) d = 64 | x1 = 0 | x2 = 0

665) d = 64 | x1 = 0 | x2 = 0

666) d = 64 | x1 = 0 | x2 = 0

667) d = 64 | x1 = 0 | x2 = 0

668) d = 64 | x1 = 0 | x2 = 0

669) d = 64 | x1 = 0 | x2 = 0

670) d = 64 | x1 = 0 | x2 = 0

671) d = 64 | x1 = 0 | x2 = 0

672) d = 64 | x1 = 0 | x2 = 0

673) d = 81 | x1 = 0 | x2 = 0

674) d = 81 | x1 = 0 | x2 = 0

675) d = 81 | x1 = 0 | x2 = 0

676) d = 81 | x1 = 0 | x2 = 0

677) d = 81 | x1 = 0 | x2 = 0

678) d = 81 | x1 = 0 | x2 = 0

679) d = 81 | x1 = 0 | x2 = 0

680) d = 81 | x1 = 0 | x2 = 0

681) d = 81 | x1 = 0 | x2 = 0

682) d = 81 | x1 = 0 | x2 = 0

683) d = 81 | x1 = 0 | x2 = 0

684) d = 81 | x1 = 0 | x2 = 0

685) d = 81 | x1 = 0 | x2 = 0

686) d = 81 | x1 = 0 | x2 = 0

687) d = 81 | x1 = 0 | x2 = 0

688) d = 81 | x1 = 0 | x2 = 0

689) d = 81 | x1 = 0 | x2 = 0

690) d = 81 | x1 = 0 | x2 = 0

691) d = 81 | x1 = 0 | x2 = 0

692) d = 81 | x1 = 9.0 | x2 = 0

693) d = 49 | x1 = 8.0 | x2 = 1.0

694) d = 100 | x1 = 9.0 | x2 = -1.0

695) d = 64 | x1 = 8.0 | x2 = 0

696) d = 36 | x1 = 7.0 | x2 = 1.0

697) d = 81 | x1 = 8.0 | x2 = -1.0

698) d = 49 | x1 = 7.0 | x2 = 0

699) d = 25 | x1 = 6.0 | x2 = 1.0

700) d = 64 | x1 = 7.0 | x2 = -1.0

701) d = 36 | x1 = 6.0 | x2 = 0

702) d = 16 | x1 = 5.0 | x2 = 1.0

703) d = 4 | x1 = 4.0 | x2 = 2.0

704) d = 0 | x1 = 3.0 | x2 = 3.0

705) d = 49 | x1 = 6.0 | x2 = -1.0

706) d = 25 | x1 = 5.0 | x2 = 0

707) d = 9 | x1 = 4.0 | x2 = 1.0

708) d = 1 | x1 = 3.0 | x2 = 2.0

709) d = 36 | x1 = 5.0 | x2 = -1.0

710) d = 16 | x1 = 4.0 | x2 = 0

711) d = 4 | x1 = 3.0 | x2 = 1.0

712) d = 0 | x1 = 2.0 | x2 = 2.0

713) d = 25 | x1 = 4.0 | x2 = -1.0

714) d = 9 | x1 = 3.0 | x2 = 0

715) d = 1 | x1 = 2.0 | x2 = 1.0

716) d = 36 | x1 = 4.0 | x2 = -2.0

717) d = 16 | x1 = 3.0 | x2 = -1.0

718) d = 4 | x1 = 2.0 | x2 = 0

719) d = 0 | x1 = 1.0 | x2 = 1.0

720) d = 25 | x1 = 3.0 | x2 = -2.0

721) d = 9 | x1 = 2.0 | x2 = -1.0

722) d = 1 | x1 = 1.0 | x2 = 0

723) d = 36 | x1 = 3.0 | x2 = -3.0

724) d = 16 | x1 = 2.0 | x2 = -2.0

725) d = 4 | x1 = 1.0 | x2 = -1.0

726) d = 0 | x1 = 0 | x2 = 0

727) d = 25 | x1 = 2.0 | x2 = -3.0

728) d = 9 | x1 = 1.0 | x2 = -2.0

729) d = 1 | x1 = 0 | x2 = -1.0

730) d = 36 | x1 = 2.0 | x2 = -4.0

731) d = 16 | x1 = 1.0 | x2 = -3.0

732) d = 4 | x1 = 0 | x2 = -2.0

733) d = 0 | x1 = -1.0 | x2 = -1.0

734) d = 25 | x1 = 1.0 | x2 = -4.0

735) d = 9 | x1 = 0 | x2 = -3.0

736) d = 1 | x1 = -1.0 | x2 = -2.0

737) d = 36 | x1 = 1.0 | x2 = -5.0

738) d = 16 | x1 = 0 | x2 = -4.0

739) d = 4 | x1 = -1.0 | x2 = -3.0

740) d = 0 | x1 = -2.0 | x2 = -2.0

741) d = 49 | x1 = 1.0 | x2 = -6.0

742) d = 25 | x1 = 0 | x2 = -5.0

743) d = 9 | x1 = -1.0 | x2 = -4.0

744) d = 1 | x1 = -2.0 | x2 = -3.0

745) d = 64 | x1 = 1.0 | x2 = -7.0

746) d = 36 | x1 = 0 | x2 = -6.0

747) d = 16 | x1 = -1.0 | x2 = -5.0

748) d = 4 | x1 = -2.0 | x2 = -4.0

749) d = 0 | x1 = -3.0 | x2 = -3.0

750) d = 81 | x1 = 1.0 | x2 = -8.0

751) d = 49 | x1 = 0 | x2 = -7.0

752) d = 25 | x1 = -1.0 | x2 = -6.0

753) d = 100 | x1 = 1.0 | x2 = -9.0

754) d = 64 | x1 = 0 | x2 = -8.0

755) d = 36 | x1 = -1.0 | x2 = -7.0

756) d = 81 | x1 = 0 | x2 = -9.0

757) d = 49 | x1 = -1.0 | x2 = -8.0

758) d = 121 | x1 = 5.0 | x2 = -0.5

759) d = 81 | x1 = 4.5 | x2 = 0

760) d = 49 | x1 = 4.0 | x2 = 0.5

761) d = 25 | x1 = 3.5 | x2 = 1.0

762) d = 9 | x1 = 3.0 | x2 = 1.5

763) d = 64 | x1 = 4.0 | x2 = 0

764) d = 16 | x1 = 3.0 | x2 = 1.0

765) d = 0 | x1 = 2.0 | x2 = 2.0

766) d = 121 | x1 = 4.5 | x2 = -1.0

767) d = 81 | x1 = 4.0 | x2 = -0.5

768) d = 49 | x1 = 3.5 | x2 = 0

769) d = 25 | x1 = 3.0 | x2 = 0.5

770) d = 9 | x1 = 2.5 | x2 = 1.0

771) d = 1 | x1 = 2.0 | x2 = 1.5

772) d = 100 | x1 = 4.0 | x2 = -1.0

773) d = 36 | x1 = 3.0 | x2 = 0

774) d = 4 | x1 = 2.0 | x2 = 1.0

775) d = 81 | x1 = 3.5 | x2 = -1.0

776) d = 49 | x1 = 3.0 | x2 = -0.5

777) d = 25 | x1 = 2.5 | x2 = 0

778) d = 9 | x1 = 2.0 | x2 = 0.5

779) d = 1 | x1 = 1.5 | x2 = 1.0

780) d = 64 | x1 = 3.0 | x2 = -1.0

781) d = 16 | x1 = 2.0 | x2 = 0

782) d = 0 | x1 = 1.0 | x2 = 1.0

783) d = 81 | x1 = 3.0 | x2 = -1.5

784) d = 49 | x1 = 2.5 | x2 = -1.0

785) d = 25 | x1 = 2.0 | x2 = -0.5

786) d = 9 | x1 = 1.5 | x2 = 0

787) d = 1 | x1 = 1.0 | x2 = 0.5

788) d = 36 | x1 = 2.0 | x2 = -1.0

789) d = 4 | x1 = 1.0 | x2 = 0

790) d = 49 | x1 = 2.0 | x2 = -1.5

791) d = 25 | x1 = 1.5 | x2 = -1.0

792) d = 9 | x1 = 1.0 | x2 = -0.5

793) d = 1 | x1 = 0.5 | x2 = 0

794) d = 64 | x1 = 2.0 | x2 = -2.0

795) d = 16 | x1 = 1.0 | x2 = -1.0

796) d = 0 | x1 = 0 | x2 = 0

797) d = 49 | x1 = 1.5 | x2 = -2.0

798) d = 25 | x1 = 1.0 | x2 = -1.5

799) d = 9 | x1 = 0.5 | x2 = -1.0

800) d = 1 | x1 = 0 | x2 = -0.5

801) d = 36 | x1 = 1.0 | x2 = -2.0

802) d = 4 | x1 = 0 | x2 = -1.0

803) d = 81 | x1 = 1.5 | x2 = -3.0

804) d = 49 | x1 = 1.0 | x2 = -2.5

805) d = 25 | x1 = 0.5 | x2 = -2.0

806) d = 9 | x1 = 0 | x2 = -1.5

807) d = 1 | x1 = -0.5 | x2 = -1.0

808) d = 64 | x1 = 1.0 | x2 = -3.0

809) d = 16 | x1 = 0 | x2 = -2.0

810) d = 0 | x1 = -1.0 | x2 = -1.0

811) d = 81 | x1 = 1.0 | x2 = -3.5

812) d = 49 | x1 = 0.5 | x2 = -3.0

813) d = 25 | x1 = 0 | x2 = -2.5

814) d = 9 | x1 = -0.5 | x2 = -2.0

815) d = 1 | x1 = -1.0 | x2 = -1.5

816) d = 100 | x1 = 1.0 | x2 = -4.0

817) d = 36 | x1 = 0 | x2 = -3.0

818) d = 4 | x1 = -1.0 | x2 = -2.0

819) d = 121 | x1 = 1.0 | x2 = -4.5

820) d = 81 | x1 = 0.5 | x2 = -4.0

821) d = 49 | x1 = 0 | x2 = -3.5

822) d = 25 | x1 = -0.5 | x2 = -3.0

823) d = 9 | x1 = -1.0 | x2 = -2.5

824) d = 1 | x1 = -1.5 | x2 = -2.0

825) d = 64 | x1 = 0 | x2 = -4.0

826) d = 16 | x1 = -1.0 | x2 = -3.0

827) d = 0 | x1 = -2.0 | x2 = -2.0

828) d = 121 | x1 = 0.5 | x2 = -5.0

829) d = 81 | x1 = 0 | x2 = -4.5

830) d = 49 | x1 = -0.5 | x2 = -4.0

831) d = 25 | x1 = -1.0 | x2 = -3.5

832) d = 9 | x1 = -1.5 | x2 = -3.0

833) d = 81 | x1 = 3.0 | x2 = 0

834) d = 9 | x1 = 2.0 | x2 = 1.0

835) d = 144 | x1 = 3.0 | x2 = -1.0

836) d = 36 | x1 = 2.0 | x2 = 0

837) d = 0 | x1 = 1.0 | x2 = 1.0

838) d = 81 | x1 = 2.0 | x2 = -1.0

839) d = 9 | x1 = 1.0 | x2 = 0

840) d = 36 | x1 = 1.0 | x2 = -1.0

841) d = 0 | x1 = 0 | x2 = 0

842) d = 81 | x1 = 1.0 | x2 = -2.0

843) d = 9 | x1 = 0 | x2 = -1.0

844) d = 144 | x1 = 1.0 | x2 = -3.0

845) d = 36 | x1 = 0 | x2 = -2.0

846) d = 0 | x1 = -1.0 | x2 = -1.0

847) d = 81 | x1 = 0 | x2 = -3.0

848) d = 9 | x1 = -1.0 | x2 = -2.0

849) d = 225 | x1 = 3.0 | x2 = -0.75

850) d = 81 | x1 = 2.25 | x2 = 0

851) d = 49 | x1 = 2.0 | x2 = 0.25

852) d = 1 | x1 = 1.25 | x2 = 1.0

853) d = 144 | x1 = 2.5 | x2 = -0.5

854) d = 64 | x1 = 2.0 | x2 = 0

855) d = 16 | x1 = 1.5 | x2 = 0.5

856) d = 0 | x1 = 1.0 | x2 = 1.0

857) d = 81 | x1 = 2.0 | x2 = -0.25

858) d = 49 | x1 = 1.75 | x2 = 0

859) d = 1 | x1 = 1.0 | x2 = 0.75

860) d = 100 | x1 = 2.0 | x2 = -0.5

861) d = 36 | x1 = 1.5 | x2 = 0

862) d = 4 | x1 = 1.0 | x2 = 0.5

863) d = 169 | x1 = 2.25 | x2 = -1.0

864) d = 121 | x1 = 2.0 | x2 = -0.75

865) d = 25 | x1 = 1.25 | x2 = 0

866) d = 9 | x1 = 1.0 | x2 = 0.25

867) d = 144 | x1 = 2.0 | x2 = -1.0

868) d = 64 | x1 = 1.5 | x2 = -0.5

869) d = 16 | x1 = 1.0 | x2 = 0

870) d = 0 | x1 = 0.5 | x2 = 0.5

871) d = 121 | x1 = 1.75 | x2 = -1.0

872) d = 25 | x1 = 1.0 | x2 = -0.25

873) d = 9 | x1 = 0.75 | x2 = 0

874) d = 100 | x1 = 1.5 | x2 = -1.0

875) d = 36 | x1 = 1.0 | x2 = -0.5

876) d = 4 | x1 = 0.5 | x2 = 0

877) d = 81 | x1 = 1.25 | x2 = -1.0

878) d = 49 | x1 = 1.0 | x2 = -0.75

879) d = 1 | x1 = 0.25 | x2 = 0

880) d = 144 | x1 = 1.5 | x2 = -1.5

881) d = 64 | x1 = 1.0 | x2 = -1.0

882) d = 16 | x1 = 0.5 | x2 = -0.5

883) d = 0 | x1 = 0 | x2 = 0

884) d = 81 | x1 = 1.0 | x2 = -1.25

885) d = 49 | x1 = 0.75 | x2 = -1.0

886) d = 1 | x1 = 0 | x2 = -0.25

887) d = 100 | x1 = 1.0 | x2 = -1.5

888) d = 36 | x1 = 0.5 | x2 = -1.0

889) d = 4 | x1 = 0 | x2 = -0.5

890) d = 121 | x1 = 1.0 | x2 = -1.75

891) d = 25 | x1 = 0.25 | x2 = -1.0

892) d = 9 | x1 = 0 | x2 = -0.75

893) d = 144 | x1 = 1.0 | x2 = -2.0

894) d = 64 | x1 = 0.5 | x2 = -1.5

895) d = 16 | x1 = 0 | x2 = -1.0

896) d = 0 | x1 = -0.5 | x2 = -0.5

897) d = 169 | x1 = 1.0 | x2 = -2.25

898) d = 121 | x1 = 0.75 | x2 = -2.0

899) d = 25 | x1 = 0 | x2 = -1.25

900) d = 9 | x1 = -0.25 | x2 = -1.0

901) d = 100 | x1 = 0.5 | x2 = -2.0

902) d = 36 | x1 = 0 | x2 = -1.5

903) d = 4 | x1 = -0.5 | x2 = -1.0

904) d = 81 | x1 = 0.25 | x2 = -2.0

905) d = 49 | x1 = 0 | x2 = -1.75

906) d = 1 | x1 = -0.75 | x2 = -1.0

907) d = 144 | x1 = 0.5 | x2 = -2.5

908) d = 64 | x1 = 0 | x2 = -2.0

909) d = 16 | x1 = -0.5 | x2 = -1.5

910) d = 0 | x1 = -1.0 | x2 = -1.0

911) d = 225 | x1 = 0.75 | x2 = -3.0

912) d = 81 | x1 = 0 | x2 = -2.25

913) d = 49 | x1 = -0.25 | x2 = -2.0

914) d = 1 | x1 = -1.0 | x2 = -1.25

915) d = 121 | x1 = 2.0 | x2 = -0.2

916) d = 81 | x1 = 1.8 | x2 = 0

917) d = 1 | x1 = 1.0 | x2 = 0.8

918) d = 144 | x1 = 2.0 | x2 = -0.4

919) d = 64 | x1 = 1.6 | x2 = 0

920) d = 4 | x1 = 1.0 | x2 = 0.6

921) d = 169 | x1 = 2.0 | x2 = -0.6

922) d = 49 | x1 = 1.4 | x2 = 0

923) d = 9 | x1 = 1.0 | x2 = 0.4

924) d = 196 | x1 = 2.0 | x2 = -0.8

925) d = 36 | x1 = 1.2 | x2 = 0

926) d = 16 | x1 = 1.0 | x2 = 0.2

927) d = 25 | x1 = 1.0 | x2 = 0

928) d = 196 | x1 = 1.8 | x2 = -1.0

929) d = 36 | x1 = 1.0 | x2 = -0.2

930) d = 16 | x1 = 0.8 | x2 = 0

931) d = 169 | x1 = 1.6 | x2 = -1.0

932) d = 49 | x1 = 1.0 | x2 = -0.4

933) d = 9 | x1 = 0.6 | x2 = 0

934) d = 144 | x1 = 1.4 | x2 = -1.0

935) d = 64 | x1 = 1.0 | x2 = -0.6

936) d = 4 | x1 = 0.4 | x2 = 0

937) d = 121 | x1 = 1.2 | x2 = -1.0

938) d = 81 | x1 = 1.0 | x2 = -0.8

939) d = 1 | x1 = 0.2 | x2 = 0

940) d = 100 | x1 = 1.0 | x2 = -1.0

941) d = 0 | x1 = 0 | x2 = 0

942) d = 121 | x1 = 1.0 | x2 = -1.2

943) d = 81 | x1 = 0.8 | x2 = -1.0

944) d = 1 | x1 = 0 | x2 = -0.2

945) d = 144 | x1 = 1.0 | x2 = -1.4

946) d = 64 | x1 = 0.6 | x2 = -1.0

947) d = 4 | x1 = 0 | x2 = -0.4

948) d = 169 | x1 = 1.0 | x2 = -1.6

949) d = 49 | x1 = 0.4 | x2 = -1.0

950) d = 9 | x1 = 0 | x2 = -0.6

951) d = 196 | x1 = 1.0 | x2 = -1.8

952) d = 36 | x1 = 0.2 | x2 = -1.0

953) d = 16 | x1 = 0 | x2 = -0.8

954) d = 25 | x1 = 0 | x2 = -1.0

955) d = 196 | x1 = 0.8 | x2 = -2.0

956) d = 36 | x1 = 0 | x2 = -1.2

957) d = 16 | x1 = -0.2 | x2 = -1.0

958) d = 169 | x1 = 0.6 | x2 = -2.0

959) d = 49 | x1 = 0 | x2 = -1.4

960) d = 9 | x1 = -0.4 | x2 = -1.0

961) d = 144 | x1 = 0.4 | x2 = -2.0

962) d = 64 | x1 = 0 | x2 = -1.6

963) d = 4 | x1 = -0.6 | x2 = -1.0

964) d = 121 | x1 = 0.2 | x2 = -2.0

965) d = 81 | x1 = 0 | x2 = -1.8

966) d = 1 | x1 = -0.8 | x2 = -1.0

967) d = 225 | x1 = 2.0 | x2 = -0.5

968) d = 81 | x1 = 1.5 | x2 = 0

969) d = 9 | x1 = 1.0 | x2 = 0.5

970) d = 36 | x1 = 1.0 | x2 = 0

971) d = 225 | x1 = 1.5 | x2 = -1.0

972) d = 81 | x1 = 1.0 | x2 = -0.5

973) d = 9 | x1 = 0.5 | x2 = 0

974) d = 144 | x1 = 1.0 | x2 = -1.0

975) d = 0 | x1 = 0 | x2 = 0

976) d = 225 | x1 = 1.0 | x2 = -1.5

977) d = 81 | x1 = 0.5 | x2 = -1.0

978) d = 9 | x1 = 0 | x2 = -0.5

979) d = 36 | x1 = 0 | x2 = -1.0

980) d = 225 | x1 = 0.5 | x2 = -2.0

981) d = 81 | x1 = 0 | x2 = -1.5

982) d = 9 | x1 = -0.5 | x2 = -1.0

983) d = 49 | x1 = 1.0 | x2 = 0

984) d = 196 | x1 = 1.0 | x2 = -1.0

985) d = 0 | x1 = 0 | x2 = 0

986) d = 49 | x1 = 0 | x2 = -1.0

987) d = 256 | x1 = 1.5 | x2 = -0.5

988) d = 64 | x1 = 1.0 | x2 = 0

989) d = 0 | x1 = 0.5 | x2 = 0.5

990) d = 324 | x1 = 1.5 | x2 = -0.75

991) d = 196 | x1 = 1.25 | x2 = -0.5

992) d = 100 | x1 = 1.0 | x2 = -0.25

993) d = 36 | x1 = 0.75 | x2 = 0

994) d = 4 | x1 = 0.5 | x2 = 0.25

995) d = 144 | x1 = 1.0 | x2 = -0.5

996) d = 16 | x1 = 0.5 | x2 = 0

997) d = 196 | x1 = 1.0 | x2 = -0.75

998) d = 100 | x1 = 0.75 | x2 = -0.5

999) d = 36 | x1 = 0.5 | x2 = -0.25

1000) d = 4 | x1 = 0.25 | x2 = 0

1001) d = 256 | x1 = 1.0 | x2 = -1.0

1002) d = 64 | x1 = 0.5 | x2 = -0.5

1003) d = 0 | x1 = 0 | x2 = 0

1004) d = 196 | x1 = 0.75 | x2 = -1.0

1005) d = 100 | x1 = 0.5 | x2 = -0.75

1006) d = 36 | x1 = 0.25 | x2 = -0.5

1007) d = 4 | x1 = 0 | x2 = -0.25

1008) d = 144 | x1 = 0.5 | x2 = -1.0

1009) d = 16 | x1 = 0 | x2 = -0.5

1010) d = 324 | x1 = 0.75 | x2 = -1.5

1011) d = 196 | x1 = 0.5 | x2 = -1.25

1012) d = 100 | x1 = 0.25 | x2 = -1.0

1013) d = 36 | x1 = 0 | x2 = -0.75

1014) d = 4 | x1 = -0.25 | x2 = -0.5

1015) d = 256 | x1 = 0.5 | x2 = -1.5

1016) d = 64 | x1 = 0 | x2 = -1.0

1017) d = 0 | x1 = -0.5 | x2 = -0.5

1018) d = 81 | x1 = 1.0 | x2 = 0

1019) d = 324 | x1 = 1.0 | x2 = -1.0

1020) d = 0 | x1 = 0 | x2 = 0

1021) d = 81 | x1 = 0 | x2 = -1.0

