1) a = -9 | b = -9 | c = 0
700) a = 1 | b = -6 | c = -7

701) a = 1 | b = -6 | c = 0

702) a = 1 | b = -6 | c = 5

703) a = 1 | b = -6 | c = 8

704) a = 1 | b = -6 | c = 9

705) a = 1 | b = -5 | c = -6

706) a = 1 | b = -5 | c = 0

707) a = 1 | b = -5 | c = 4

708) a = 1 | b = -5 | c = 6

709) a = 1 | b = -4 | c = -5

710) a = 1 | b = -4 | c = 0

711) a = 1 | b = -4 | c = 3

712) a = 1 | b = -4 | c = 4

713) a = 1 | b = -3 | c = -4

714) a = 1 | b = -3 | c = 0

715) a = 1 | b = -3 | c = 2

716) a = 1 | b = -2 | c = -8

717) a = 1 | b = -2 | c = -3

718) a = 1 | b = -2 | c = 0

719) a = 1 | b = -2 | c = 1

720) a = 1 | b = -1 | c = -6

721) a = 1 | b = -1 | c = -2

722) a = 1 | b = -1 | c = 0

723) a = 1 | b = 0 | c = -9

724) a = 1 | b = 0 | c = -4

725) a = 1 | b = 0 | c = -1

726) a = 1 | b = 0 | c = 0

727) a = 1 | b = 1 | c = -6

728) a = 1 | b = 1 | c = -2

729) a = 1 | b = 1 | c = 0

730) a = 1 | b = 2 | c = -8

731) a = 1 | b = 2 | c = -3

732) a = 1 | b = 2 | c = 0

733) a = 1 | b = 2 | c = 1

734) a = 1 | b = 3 | c = -4

735) a = 1 | b = 3 | c = 0

736) a = 1 | b = 3 | c = 2

737) a = 1 | b = 4 | c = -5

738) a = 1 | b = 4 | c = 0

739) a = 1 | b = 4 | c = 3

740) a = 1 | b = 4 | c = 4

741) a = 1 | b = 5 | c = -6

742) a = 1 | b = 5 | c = 0

743) a = 1 | b = 5 | c = 4

744) a = 1 | b = 5 | c = 6

745) a = 1 | b = 6 | c = -7

746) a = 1 | b = 6 | c = 0

747) a = 1 | b = 6 | c = 5

748) a = 1 | b = 6 | c = 8

749) a = 1 | b = 6 | c = 9

750) a = 1 | b = 7 | c = -8

751) a = 1 | b = 7 | c = 0

752) a = 1 | b = 7 | c = 6

753) a = 1 | b = 8 | c = -9

754) a = 1 | b = 8 | c = 0

755) a = 1 | b = 8 | c = 7

756) a = 1 | b = 9 | c = 0

757) a = 1 | b = 9 | c = 8

758) a = 2 | b = -9 | c = -5

759) a = 2 | b = -9 | c = 0

760) a = 2 | b = -9 | c = 4

761) a = 2 | b = -9 | c = 7

762) a = 2 | b = -9 | c = 9

763) a = 2 | b = -8 | c = 0

764) a = 2 | b = -8 | c = 6

765) a = 2 | b = -8 | c = 8

766) a = 2 | b = -7 | c = -9

767) a = 2 | b = -7 | c = -4

768) a = 2 | b = -7 | c = 0

769) a = 2 | b = -7 | c = 3

770) a = 2 | b = -7 | c = 5

771) a = 2 | b = -7 | c = 6

772) a = 2 | b = -6 | c = -8

773) a = 2 | b = -6 | c = 0

774) a = 2 | b = -6 | c = 4

775) a = 2 | b = -5 | c = -7

776) a = 2 | b = -5 | c = -3

777) a = 2 | b = -5 | c = 0

778) a = 2 | b = -5 | c = 2

779) a = 2 | b = -5 | c = 3

780) a = 2 | b = -4 | c = -6

781) a = 2 | b = -4 | c = 0

782) a = 2 | b = -4 | c = 2

783) a = 2 | b = -3 | c = -9

784) a = 2 | b = -3 | c = -5

785) a = 2 | b = -3 | c = -2

786) a = 2 | b = -3 | c = 0

787) a = 2 | b = -3 | c = 1

788) a = 2 | b = -2 | c = -4

789) a = 2 | b = -2 | c = 0

790) a = 2 | b = -1 | c = -6

791) a = 2 | b = -1 | c = -3

792) a = 2 | b = -1 | c = -1

793) a = 2 | b = -1 | c = 0

794) a = 2 | b = 0 | c = -8

795) a = 2 | b = 0 | c = -2

796) a = 2 | b = 0 | c = 0

797) a = 2 | b = 1 | c = -6

798) a = 2 | b = 1 | c = -3

799) a = 2 | b = 1 | c = -1

800) a = 2 | b = 1 | c = 0

801) a = 2 | b = 2 | c = -4

802) a = 2 | b = 2 | c = 0

803) a = 2 | b = 3 | c = -9

804) a = 2 | b = 3 | c = -5

805) a = 2 | b = 3 | c = -2

806) a = 2 | b = 3 | c = 0

807) a = 2 | b = 3 | c = 1

808) a = 2 | b = 4 | c = -6

809) a = 2 | b = 4 | c = 0

810) a = 2 | b = 4 | c = 2

811) a = 2 | b = 5 | c = -7

812) a = 2 | b = 5 | c = -3

813) a = 2 | b = 5 | c = 0

814) a = 2 | b = 5 | c = 2

815) a = 2 | b = 5 | c = 3

816) a = 2 | b = 6 | c = -8

817) a = 2 | b = 6 | c = 0

818) a = 2 | b = 6 | c = 4

819) a = 2 | b = 7 | c = -9

820) a = 2 | b = 7 | c = -4

821) a = 2 | b = 7 | c = 0

822) a = 2 | b = 7 | c = 3

823) a = 2 | b = 7 | c = 5

824) a = 2 | b = 7 | c = 6

825) a = 2 | b = 8 | c = 0

826) a = 2 | b = 8 | c = 6

827) a = 2 | b = 8 | c = 8

828) a = 2 | b = 9 | c = -5

829) a = 2 | b = 9 | c = 0

830) a = 2 | b = 9 | c = 4

831) a = 2 | b = 9 | c = 7

832) a = 2 | b = 9 | c = 9

833) a = 3 | b = -9 | c = 0

834) a = 3 | b = -9 | c = 6

835) a = 3 | b = -6 | c = -9

836) a = 3 | b = -6 | c = 0

837) a = 3 | b = -6 | c = 3

838) a = 3 | b = -3 | c = -6

839) a = 3 | b = -3 | c = 0

840) a = 3 | b = 0 | c = -3

841) a = 3 | b = 0 | c = 0

842) a = 3 | b = 3 | c = -6

843) a = 3 | b = 3 | c = 0

844) a = 3 | b = 6 | c = -9

845) a = 3 | b = 6 | c = 0

846) a = 3 | b = 6 | c = 3

847) a = 3 | b = 9 | c = 0

848) a = 3 | b = 9 | c = 6

849) a = 4 | b = -9 | c = -9

850) a = 4 | b = -9 | c = 0

851) a = 4 | b = -9 | c = 2

852) a = 4 | b = -9 | c = 5

853) a = 4 | b = -8 | c = -5

854) a = 4 | b = -8 | c = 0

855) a = 4 | b = -8 | c = 3

856) a = 4 | b = -8 | c = 4

857) a = 4 | b = -7 | c = -2

858) a = 4 | b = -7 | c = 0

859) a = 4 | b = -7 | c = 3

860) a = 4 | b = -6 | c = -4

861) a = 4 | b = -6 | c = 0

862) a = 4 | b = -6 | c = 2

863) a = 4 | b = -5 | c = -9

864) a = 4 | b = -5 | c = -6

865) a = 4 | b = -5 | c = 0

866) a = 4 | b = -5 | c = 1

867) a = 4 | b = -4 | c = -8

868) a = 4 | b = -4 | c = -3

869) a = 4 | b = -4 | c = 0

870) a = 4 | b = -4 | c = 1

871) a = 4 | b = -3 | c = -7

872) a = 4 | b = -3 | c = -1

873) a = 4 | b = -3 | c = 0

874) a = 4 | b = -2 | c = -6

875) a = 4 | b = -2 | c = -2

876) a = 4 | b = -2 | c = 0

877) a = 4 | b = -1 | c = -5

878) a = 4 | b = -1 | c = -3

879) a = 4 | b = -1 | c = 0

880) a = 4 | b = 0 | c = -9

881) a = 4 | b = 0 | c = -4

882) a = 4 | b = 0 | c = -1

883) a = 4 | b = 0 | c = 0

884) a = 4 | b = 1 | c = -5

885) a = 4 | b = 1 | c = -3

886) a = 4 | b = 1 | c = 0

887) a = 4 | b = 2 | c = -6

888) a = 4 | b = 2 | c = -2

889) a = 4 | b = 2 | c = 0

890) a = 4 | b = 3 | c = -7

891) a = 4 | b = 3 | c = -1

892) a = 4 | b = 3 | c = 0

893) a = 4 | b = 4 | c = -8

894) a = 4 | b = 4 | c = -3

895) a = 4 | b = 4 | c = 0

896) a = 4 | b = 4 | c = 1

897) a = 4 | b = 5 | c = -9

898) a = 4 | b = 5 | c = -6

899) a = 4 | b = 5 | c = 0

900) a = 4 | b = 5 | c = 1

901) a = 4 | b = 6 | c = -4

902) a = 4 | b = 6 | c = 0

903) a = 4 | b = 6 | c = 2

904) a = 4 | b = 7 | c = -2

905) a = 4 | b = 7 | c = 0

906) a = 4 | b = 7 | c = 3

907) a = 4 | b = 8 | c = -5

908) a = 4 | b = 8 | c = 0

909) a = 4 | b = 8 | c = 3

910) a = 4 | b = 8 | c = 4

911) a = 4 | b = 9 | c = -9

912) a = 4 | b = 9 | c = 0

913) a = 4 | b = 9 | c = 2

914) a = 4 | b = 9 | c = 5

915) a = 5 | b = -9 | c = -2

916) a = 5 | b = -9 | c = 0

917) a = 5 | b = -9 | c = 4

918) a = 5 | b = -8 | c = -4

919) a = 5 | b = -8 | c = 0

920) a = 5 | b = -8 | c = 3

921) a = 5 | b = -7 | c = -6

922) a = 5 | b = -7 | c = 0

923) a = 5 | b = -7 | c = 2

924) a = 5 | b = -6 | c = -8

925) a = 5 | b = -6 | c = 0

926) a = 5 | b = -6 | c = 1

927) a = 5 | b = -5 | c = 0

928) a = 5 | b = -4 | c = -9

929) a = 5 | b = -4 | c = -1

930) a = 5 | b = -4 | c = 0

931) a = 5 | b = -3 | c = -8

932) a = 5 | b = -3 | c = -2

933) a = 5 | b = -3 | c = 0

934) a = 5 | b = -2 | c = -7

935) a = 5 | b = -2 | c = -3

936) a = 5 | b = -2 | c = 0

937) a = 5 | b = -1 | c = -6

938) a = 5 | b = -1 | c = -4

939) a = 5 | b = -1 | c = 0

940) a = 5 | b = 0 | c = -5

941) a = 5 | b = 0 | c = 0

942) a = 5 | b = 1 | c = -6

943) a = 5 | b = 1 | c = -4

944) a = 5 | b = 1 | c = 0

945) a = 5 | b = 2 | c = -7

946) a = 5 | b = 2 | c = -3

947) a = 5 | b = 2 | c = 0

948) a = 5 | b = 3 | c = -8

949) a = 5 | b = 3 | c = -2

950) a = 5 | b = 3 | c = 0

951) a = 5 | b = 4 | c = -9

952) a = 5 | b = 4 | c = -1

953) a = 5 | b = 4 | c = 0

954) a = 5 | b = 5 | c = 0

955) a = 5 | b = 6 | c = -8

956) a = 5 | b = 6 | c = 0

957) a = 5 | b = 6 | c = 1

958) a = 5 | b = 7 | c = -6

959) a = 5 | b = 7 | c = 0

960) a = 5 | b = 7 | c = 2

961) a = 5 | b = 8 | c = -4

962) a = 5 | b = 8 | c = 0

963) a = 5 | b = 8 | c = 3

964) a = 5 | b = 9 | c = -2

965) a = 5 | b = 9 | c = 0

966) a = 5 | b = 9 | c = 4

967) a = 6 | b = -9 | c = -6

968) a = 6 | b = -9 | c = 0

969) a = 6 | b = -9 | c = 3

970) a = 6 | b = -6 | c = 0

971) a = 6 | b = -3 | c = -9

972) a = 6 | b = -3 | c = -3

973) a = 6 | b = -3 | c = 0

974) a = 6 | b = 0 | c = -6

975) a = 6 | b = 0 | c = 0

976) a = 6 | b = 3 | c = -9

977) a = 6 | b = 3 | c = -3

978) a = 6 | b = 3 | c = 0

979) a = 6 | b = 6 | c = 0

980) a = 6 | b = 9 | c = -6

981) a = 6 | b = 9 | c = 0

982) a = 6 | b = 9 | c = 3

983) a = 7 | b = -7 | c = 0

984) a = 7 | b = 0 | c = -7

985) a = 7 | b = 0 | c = 0

986) a = 7 | b = 7 | c = 0

987) a = 8 | b = -8 | c = -6

988) a = 8 | b = -8 | c = 0

989) a = 8 | b = -8 | c = 2

990) a = 8 | b = -6 | c = -9

991) a = 8 | b = -6 | c = -5

992) a = 8 | b = -6 | c = -2

993) a = 8 | b = -6 | c = 0

994) a = 8 | b = -6 | c = 1

995) a = 8 | b = -4 | c = -4

996) a = 8 | b = -4 | c = 0

997) a = 8 | b = -2 | c = -6

998) a = 8 | b = -2 | c = -3

999) a = 8 | b = -2 | c = -1

1000) a = 8 | b = -2 | c = 0

1001) a = 8 | b = 0 | c = -8

1002) a = 8 | b = 0 | c = -2

1003) a = 8 | b = 0 | c = 0

1004) a = 8 | b = 2 | c = -6

1005) a = 8 | b = 2 | c = -3

1006) a = 8 | b = 2 | c = -1

1007) a = 8 | b = 2 | c = 0

1008) a = 8 | b = 4 | c = -4

1009) a = 8 | b = 4 | c = 0

1010) a = 8 | b = 6 | c = -9

1011) a = 8 | b = 6 | c = -5

1012) a = 8 | b = 6 | c = -2

1013) a = 8 | b = 6 | c = 0

1014) a = 8 | b = 6 | c = 1

1015) a = 8 | b = 8 | c = -6

1016) a = 8 | b = 8 | c = 0

1017) a = 8 | b = 8 | c = 2

1018) a = 9 | b = -9 | c = 0

1019) a = 9 | b = 0 | c = -9

1020) a = 9 | b = 0 | c = 0

1021) a = 9 | b = 9 | c = 0

