1) d = 81 | x1 = -1.0 | x2 = 0

2564) d = 30.25 | x1 = -0.4 | x2 = 1.8

2565) d = 42.25 | x1 = -0.6 | x2 = 2.0

2566) d = 56.25 | x1 = -0.8 | x2 = 2.2

2567) d = 72.25 | x1 = -1.0 | x2 = 2.4

2568) d = 90.25 | x1 = -1.2 | x2 = 2.6

2569) d = 12.96 | x1 = 0 | x2 = 1.44

2570) d = 40.96 | x1 = -0.56 | x2 = 2.0

2571) d = 73.96 | x1 = -1.0 | x2 = 2.44

2572) d = 13.69 | x1 = 0 | x2 = 1.48

2573) d = 14.44 | x1 = 0 | x2 = 1.52

2574) d = 15.21 | x1 = 0 | x2 = 1.56

2575) d = 79.21 | x1 = -1.0 | x2 = 2.56

2576) d = 0.0 | x1 = 0.8 | x2 = 0.8

2577) d = 1.0 | x1 = 0.6 | x2 = 1.0

2578) d = 4.0 | x1 = 0.4 | x2 = 1.2

2579) d = 9.0 | x1 = 0.2 | x2 = 1.4

2580) d = 16.0 | x1 = 0 | x2 = 1.6

2581) d = 25.0 | x1 = -0.2 | x2 = 1.8

2582) d = 36.0 | x1 = -0.4 | x2 = 2.0

2583) d = 49.0 | x1 = -0.6 | x2 = 2.2

2584) d = 64.0 | x1 = -0.8 | x2 = 2.4

2585) d = 81.0 | x1 = -1.0 | x2 = 2.6

2586) d = 100.0 | x1 = -1.2 | x2 = 2.8

2587) d = 16.81 | x1 = 0 | x2 = 1.64

2588) d = 18.49 | x1 = 0 | x2 = 1.72

2589) d = 0.25 | x1 = 0.8 | x2 = 1.0

2590) d = 2.25 | x1 = 0.6 | x2 = 1.2

2591) d = 6.25 | x1 = 0.4 | x2 = 1.4

2592) d = 12.25 | x1 = 0.2 | x2 = 1.6

2593) d = 20.25 | x1 = 0 | x2 = 1.8

2594) d = 30.25 | x1 = -0.2 | x2 = 2.0

2595) d = 42.25 | x1 = -0.4 | x2 = 2.2

2596) d = 56.25 | x1 = -0.6 | x2 = 2.4

2597) d = 72.25 | x1 = -0.8 | x2 = 2.6

2598) d = 90.25 | x1 = -1.0 | x2 = 2.8

2599) d = 110.25 | x1 = -1.2 | x2 = 3.0

2600) d = 92.16 | x1 = -1.0 | x2 = 2.84

2601) d = 106.09 | x1 = -1.12 | x2 = 3.0

2602) d = 23.04 | x1 = 0 | x2 = 1.92

2603) d = 98.01 | x1 = -1.0 | x2 = 2.96

2604) d = 0.0 | x1 = 1.0 | x2 = 1.0

2605) d = 1.0 | x1 = 0.8 | x2 = 1.2

2606) d = 4.0 | x1 = 0.6 | x2 = 1.4

2607) d = 9.0 | x1 = 0.4 | x2 = 1.6

2608) d = 16.0 | x1 = 0.2 | x2 = 1.8

2609) d = 25.0 | x1 = 0 | x2 = 2.0

2610) d = 36.0 | x1 = -0.2 | x2 = 2.2

2611) d = 49.0 | x1 = -0.4 | x2 = 2.4

2612) d = 64.0 | x1 = -0.6 | x2 = 2.6

2613) d = 81.0 | x1 = -0.8 | x2 = 2.8

2614) d = 100.0 | x1 = -1.0 | x2 = 3.0

2615) d = 26.01 | x1 = 0 | x2 = 2.04

2616) d = 102.01 | x1 = -1.0 | x2 = 3.04

2617) d = 27.04 | x1 = 0 | x2 = 2.08

2618) d = 28.09 | x1 = 0 | x2 = 2.12

2619) d = 29.16 | x1 = 0 | x2 = 2.16

2620) d = 108.16 | x1 = -1.0 | x2 = 3.16

2621) d = 0.25 | x1 = 1.0 | x2 = 1.2

2622) d = 2.25 | x1 = 0.8 | x2 = 1.4

2623) d = 6.25 | x1 = 0.6 | x2 = 1.6

2624) d = 12.25 | x1 = 0.4 | x2 = 1.8

2625) d = 20.25 | x1 = 0.2 | x2 = 2.0

2626) d = 30.25 | x1 = 0 | x2 = 2.2

2627) d = 42.25 | x1 = -0.2 | x2 = 2.4

2628) d = 56.25 | x1 = -0.4 | x2 = 2.6

2629) d = 72.25 | x1 = -0.6 | x2 = 2.8

2630) d = 90.25 | x1 = -0.8 | x2 = 3.0

2631) d = 110.25 | x1 = -1.0 | x2 = 3.2

2632) d = 33.64 | x1 = 0 | x2 = 2.32

2633) d = 0.0 | x1 = 1.2 | x2 = 1.2

2634) d = 1.0 | x1 = 1.0 | x2 = 1.4

2635) d = 4.0 | x1 = 0.8 | x2 = 1.6

2636) d = 9.0 | x1 = 0.6 | x2 = 1.8

2637) d = 16.0 | x1 = 0.4 | x2 = 2.0

2638) d = 25.0 | x1 = 0.2 | x2 = 2.2

2639) d = 36.0 | x1 = 0 | x2 = 2.4

2640) d = 49.0 | x1 = -0.2 | x2 = 2.6

2641) d = 64.0 | x1 = -0.4 | x2 = 2.8

2642) d = 81.0 | x1 = -0.6 | x2 = 3.0

2643) d = 100.0 | x1 = -0.8 | x2 = 3.2

2644) d = 121.0 | x1 = -1.0 | x2 = 3.4

2645) d = 37.21 | x1 = 0 | x2 = 2.44

2646) d = 123.21 | x1 = -1.0 | x2 = 3.44

2647) d = 38.44 | x1 = 0 | x2 = 2.48

2648) d = 39.69 | x1 = 0 | x2 = 2.52

2649) d = 40.96 | x1 = 0 | x2 = 2.56

2650) d = 129.96 | x1 = -1.0 | x2 = 3.56

2651) d = 0.25 | x1 = 1.2 | x2 = 1.4

2652) d = 2.25 | x1 = 1.0 | x2 = 1.6

2653) d = 6.25 | x1 = 0.8 | x2 = 1.8

2654) d = 12.25 | x1 = 0.6 | x2 = 2.0

2655) d = 20.25 | x1 = 0.4 | x2 = 2.2

2656) d = 30.25 | x1 = 0.2 | x2 = 2.4

2657) d = 42.25 | x1 = 0 | x2 = 2.6

2658) d = 56.25 | x1 = -0.2 | x2 = 2.8

2659) d = 72.25 | x1 = -0.4 | x2 = 3.0

2660) d = 90.25 | x1 = -0.6 | x2 = 3.2

2661) d = 110.25 | x1 = -0.8 | x2 = 3.4

2662) d = 132.25 | x1 = -1.0 | x2 = 3.6

2663) d = 44.89 | x1 = 0 | x2 = 2.68

2664) d = 0.0 | x1 = 1.4 | x2 = 1.4

2665) d = 1.0 | x1 = 1.2 | x2 = 1.6

2666) d = 4.0 | x1 = 1.0 | x2 = 1.8

2667) d = 9.0 | x1 = 0.8 | x2 = 2.0

2668) d = 16.0 | x1 = 0.6 | x2 = 2.2

2669) d = 25.0 | x1 = 0.4 | x2 = 2.4

2670) d = 36.0 | x1 = 0.2 | x2 = 2.6

2671) d = 49.0 | x1 = 0 | x2 = 2.8

2672) d = 64.0 | x1 = -0.2 | x2 = 3.0

2673) d = 81.0 | x1 = -0.4 | x2 = 3.2

2674) d = 100.0 | x1 = -0.6 | x2 = 3.4

2675) d = 121.0 | x1 = -0.8 | x2 = 3.6

2676) d = 50.41 | x1 = 0 | x2 = 2.84

2677) d = 51.84 | x1 = 0 | x2 = 2.88

2678) d = 5.29 | x1 = 1.0 | x2 = 1.92

2679) d = 53.29 | x1 = 0 | x2 = 2.92

2680) d = 54.76 | x1 = 0 | x2 = 2.96

2681) d = 0.25 | x1 = 1.4 | x2 = 1.6

2682) d = 2.25 | x1 = 1.2 | x2 = 1.8

2683) d = 6.25 | x1 = 1.0 | x2 = 2.0

2684) d = 12.25 | x1 = 0.8 | x2 = 2.2

2685) d = 20.25 | x1 = 0.6 | x2 = 2.4

2686) d = 30.25 | x1 = 0.4 | x2 = 2.6

2687) d = 42.25 | x1 = 0.2 | x2 = 2.8

2688) d = 56.25 | x1 = 0 | x2 = 3.0

2689) d = 72.25 | x1 = -0.2 | x2 = 3.2

2690) d = 90.25 | x1 = -0.4 | x2 = 3.4

2691) d = 110.25 | x1 = -0.6 | x2 = 3.6

2692) d = 132.25 | x1 = -0.8 | x2 = 3.8

2693) d = 57.76 | x1 = 0 | x2 = 3.04

2694) d = 59.29 | x1 = 0 | x2 = 3.08

2695) d = 60.84 | x1 = 0 | x2 = 3.12

2696) d = 62.41 | x1 = 0 | x2 = 3.16

2697) d = 0.0 | x1 = 1.6 | x2 = 1.6

2698) d = 1.0 | x1 = 1.4 | x2 = 1.8

2699) d = 4.0 | x1 = 1.2 | x2 = 2.0

2700) d = 9.0 | x1 = 1.0 | x2 = 2.2

2701) d = 16.0 | x1 = 0.8 | x2 = 2.4

2702) d = 25.0 | x1 = 0.6 | x2 = 2.6

2703) d = 36.0 | x1 = 0.4 | x2 = 2.8

2704) d = 49.0 | x1 = 0.2 | x2 = 3.0

2705) d = 64.0 | x1 = 0 | x2 = 3.2

2706) d = 81.0 | x1 = -0.2 | x2 = 3.4

2707) d = 100.0 | x1 = -0.4 | x2 = 3.6

2708) d = 121.0 | x1 = -0.6 | x2 = 3.8

2709) d = 144.0 | x1 = -0.8 | x2 = 4.0

2710) d = 67.24 | x1 = 0 | x2 = 3.28

2711) d = 0.25 | x1 = 1.6 | x2 = 1.8

2712) d = 2.25 | x1 = 1.4 | x2 = 2.0

2713) d = 6.25 | x1 = 1.2 | x2 = 2.2

2714) d = 12.25 | x1 = 1.0 | x2 = 2.4

2715) d = 20.25 | x1 = 0.8 | x2 = 2.6

2716) d = 30.25 | x1 = 0.6 | x2 = 2.8

2717) d = 42.25 | x1 = 0.4 | x2 = 3.0

2718) d = 56.25 | x1 = 0.2 | x2 = 3.2

2719) d = 72.25 | x1 = 0 | x2 = 3.4

2720) d = 90.25 | x1 = -0.2 | x2 = 3.6

2721) d = 110.25 | x1 = -0.4 | x2 = 3.8

2722) d = 132.25 | x1 = -0.6 | x2 = 4.0

2723) d = 156.25 | x1 = -0.8 | x2 = 4.2

2724) d = 73.96 | x1 = 0 | x2 = 3.44

2725) d = 79.21 | x1 = 0 | x2 = 3.56

2726) d = 0.0 | x1 = 1.8 | x2 = 1.8

2727) d = 1.0 | x1 = 1.6 | x2 = 2.0

2728) d = 4.0 | x1 = 1.4 | x2 = 2.2

2729) d = 9.0 | x1 = 1.2 | x2 = 2.4

2730) d = 16.0 | x1 = 1.0 | x2 = 2.6

2731) d = 25.0 | x1 = 0.8 | x2 = 2.8

2732) d = 36.0 | x1 = 0.6 | x2 = 3.0

2733) d = 49.0 | x1 = 0.4 | x2 = 3.2

2734) d = 64.0 | x1 = 0.2 | x2 = 3.4

2735) d = 81.0 | x1 = 0 | x2 = 3.6

2736) d = 100.0 | x1 = -0.2 | x2 = 3.8

2737) d = 121.0 | x1 = -0.4 | x2 = 4.0

2738) d = 144.0 | x1 = -0.6 | x2 = 4.2

2739) d = 169.0 | x1 = -0.8 | x2 = 4.4

2740) d = 9.0 | x1 = -2.5 | x2 = -1.25

2741) d = 81.0 | x1 = -3.75 | x2 = 0

2742) d = 17.64 | x1 = -2.5 | x2 = -0.75

2743) d = 60.84 | x1 = -3.25 | x2 = 0

2744) d = 0.0 | x1 = -1.5 | x2 = -1.5

2745) d = 51.84 | x1 = -3.0 | x2 = 0

2746) d = 43.56 | x1 = -2.75 | x2 = 0

2747) d = 12.96 | x1 = -2.0 | x2 = -0.5

2748) d = 36.0 | x1 = -2.5 | x2 = 0

2749) d = 81.0 | x1 = -3.0 | x2 = 0.75

2750) d = 0.0 | x1 = -1.0 | x2 = -1.0

2751) d = 23.04 | x1 = -2.0 | x2 = 0

2752) d = 92.16 | x1 = -3.0 | x2 = 1.0

2753) d = 60.84 | x1 = -2.5 | x2 = 0.75

2754) d = 81.0 | x1 = -2.75 | x2 = 1.0

2755) d = 12.96 | x1 = -1.5 | x2 = 0

2756) d = 36.0 | x1 = -2.0 | x2 = 0.5

2757) d = 3.24 | x1 = -1.0 | x2 = -0.25

2758) d = 9.0 | x1 = -1.25 | x2 = 0

2759) d = 81.0 | x1 = -2.5 | x2 = 1.25

2760) d = 0.0 | x1 = -0.5 | x2 = -0.5

2761) d = 5.76 | x1 = -1.0 | x2 = 0

2762) d = 23.04 | x1 = -1.5 | x2 = 0.5

2763) d = 92.16 | x1 = -2.5 | x2 = 1.5

2764) d = 3.24 | x1 = -0.75 | x2 = 0

2765) d = 9.0 | x1 = -1.0 | x2 = 0.25

2766) d = 60.84 | x1 = -2.0 | x2 = 1.25

2767) d = 1.44 | x1 = -0.5 | x2 = 0

2768) d = 36.0 | x1 = -1.5 | x2 = 1.0

2769) d = 70.56 | x1 = -2.0 | x2 = 1.5

2770) d = 0.36 | x1 = -0.25 | x2 = 0

2771) d = 9.0 | x1 = -0.75 | x2 = 0.5

2772) d = 17.64 | x1 = -1.0 | x2 = 0.75

2773) d = 43.56 | x1 = -1.5 | x2 = 1.25

2774) d = 0.0 | x1 = 0 | x2 = 0

2775) d = 5.76 | x1 = -0.5 | x2 = 0.5

2776) d = 23.04 | x1 = -1.0 | x2 = 1.0

2777) d = 51.84 | x1 = -1.5 | x2 = 1.5

2778) d = 0.36 | x1 = 0 | x2 = 0.25

2779) d = 9.0 | x1 = -0.5 | x2 = 0.75

2780) d = 17.64 | x1 = -0.75 | x2 = 1.0

2781) d = 43.56 | x1 = -1.25 | x2 = 1.5

2782) d = 1.44 | x1 = 0 | x2 = 0.5

2783) d = 36.0 | x1 = -1.0 | x2 = 1.5

2784) d = 70.56 | x1 = -1.5 | x2 = 2.0

2785) d = 3.24 | x1 = 0 | x2 = 0.75

2786) d = 9.0 | x1 = -0.25 | x2 = 1.0

2787) d = 60.84 | x1 = -1.25 | x2 = 2.0

2788) d = 0.0 | x1 = 0.5 | x2 = 0.5

2789) d = 5.76 | x1 = 0 | x2 = 1.0

2790) d = 23.04 | x1 = -0.5 | x2 = 1.5

2791) d = 92.16 | x1 = -1.5 | x2 = 2.5

2792) d = 3.24 | x1 = 0.25 | x2 = 1.0

2793) d = 9.0 | x1 = 0 | x2 = 1.25

2794) d = 81.0 | x1 = -1.25 | x2 = 2.5

2795) d = 12.96 | x1 = 0 | x2 = 1.5

2796) d = 36.0 | x1 = -0.5 | x2 = 2.0

2797) d = 60.84 | x1 = -0.75 | x2 = 2.5

2798) d = 81.0 | x1 = -1.0 | x2 = 2.75

2799) d = 0.0 | x1 = 1.0 | x2 = 1.0

2800) d = 23.04 | x1 = 0 | x2 = 2.0

2801) d = 92.16 | x1 = -1.0 | x2 = 3.0

2802) d = 81.0 | x1 = -0.75 | x2 = 3.0

2803) d = 12.96 | x1 = 0.5 | x2 = 2.0

2804) d = 36.0 | x1 = 0 | x2 = 2.5

2805) d = 43.56 | x1 = 0 | x2 = 2.75

2806) d = 0.0 | x1 = 1.5 | x2 = 1.5

2807) d = 51.84 | x1 = 0 | x2 = 3.0

2808) d = 17.64 | x1 = 0.75 | x2 = 2.5

2809) d = 60.84 | x1 = 0 | x2 = 3.25

2810) d = 9.0 | x1 = 1.25 | x2 = 2.5

2811) d = 81.0 | x1 = 0 | x2 = 3.75

2812) d = 0.0 | x1 = -1.0 | x2 = -1.0

2813) d = 21.16 | x1 = -2.0 | x2 = 0

2814) d = 84.64 | x1 = -3.0 | x2 = 1.0

2815) d = 5.29 | x1 = -1.0 | x2 = 0

2816) d = 0.0 | x1 = 0 | x2 = 0

2817) d = 21.16 | x1 = -1.0 | x2 = 1.0

2818) d = 5.29 | x1 = 0 | x2 = 1.0

2819) d = 0.0 | x1 = 1.0 | x2 = 1.0

2820) d = 21.16 | x1 = 0 | x2 = 2.0

2821) d = 84.64 | x1 = -1.0 | x2 = 3.0

2822) d = 0.0 | x1 = -2.0 | x2 = -2.0

2823) d = 77.44 | x1 = -4.0 | x2 = 0

2824) d = 59.29 | x1 = -3.5 | x2 = 0

2825) d = 98.01 | x1 = -4.0 | x2 = 0.5

2826) d = 121.0 | x1 = -4.0 | x2 = 1.0

2827) d = 30.25 | x1 = -2.5 | x2 = 0

2828) d = 98.01 | x1 = -3.5 | x2 = 1.0

2829) d = 0.0 | x1 = -1.0 | x2 = -1.0

2830) d = 19.36 | x1 = -2.0 | x2 = 0

2831) d = 77.44 | x1 = -3.0 | x2 = 1.0

2832) d = 30.25 | x1 = -2.0 | x2 = 0.5

2833) d = 59.29 | x1 = -2.5 | x2 = 1.0

2834) d = 4.84 | x1 = -1.0 | x2 = 0

2835) d = 1.21 | x1 = -0.5 | x2 = 0

2836) d = 0.0 | x1 = 0 | x2 = 0

2837) d = 19.36 | x1 = -1.0 | x2 = 1.0

2838) d = 77.44 | x1 = -2.0 | x2 = 2.0

2839) d = 1.21 | x1 = 0 | x2 = 0.5

2840) d = 4.84 | x1 = 0 | x2 = 1.0

2841) d = 30.25 | x1 = -0.5 | x2 = 2.0

2842) d = 59.29 | x1 = -1.0 | x2 = 2.5

2843) d = 0.0 | x1 = 1.0 | x2 = 1.0

2844) d = 19.36 | x1 = 0 | x2 = 2.0

2845) d = 77.44 | x1 = -1.0 | x2 = 3.0

2846) d = 30.25 | x1 = 0 | x2 = 2.5

2847) d = 98.01 | x1 = -1.0 | x2 = 3.5

2848) d = 121.0 | x1 = -1.0 | x2 = 4.0

2849) d = 59.29 | x1 = 0 | x2 = 3.5

2850) d = 98.01 | x1 = -0.5 | x2 = 4.0

2851) d = 0.0 | x1 = 2.0 | x2 = 2.0

2852) d = 77.44 | x1 = 0 | x2 = 4.0

2853) d = 0.0 | x1 = -2.0 | x2 = -2.0

2854) d = 17.64 | x1 = -3.0 | x2 = -1.0

2855) d = 70.56 | x1 = -4.0 | x2 = 0

2856) d = 39.69 | x1 = -3.0 | x2 = 0

2857) d = 110.25 | x1 = -4.0 | x2 = 1.0

2858) d = 0.0 | x1 = -1.0 | x2 = -1.0

2859) d = 17.64 | x1 = -2.0 | x2 = 0

2860) d = 70.56 | x1 = -3.0 | x2 = 1.0

2861) d = 4.41 | x1 = -1.0 | x2 = 0

2862) d = 0.0 | x1 = 0 | x2 = 0

2863) d = 17.64 | x1 = -1.0 | x2 = 1.0

2864) d = 70.56 | x1 = -2.0 | x2 = 2.0

2865) d = 4.41 | x1 = 0 | x2 = 1.0

2866) d = 0.0 | x1 = 1.0 | x2 = 1.0

2867) d = 17.64 | x1 = 0 | x2 = 2.0

2868) d = 70.56 | x1 = -1.0 | x2 = 3.0

2869) d = 39.69 | x1 = 0 | x2 = 3.0

2870) d = 110.25 | x1 = -1.0 | x2 = 4.0

2871) d = 0.0 | x1 = 2.0 | x2 = 2.0

2872) d = 17.64 | x1 = 1.0 | x2 = 3.0

2873) d = 70.56 | x1 = 0 | x2 = 4.0

2874) d = 9 | x1 = -3.0 | x2 = -1.5

2875) d = 25 | x1 = -3.5 | x2 = -1.0

2876) d = 49 | x1 = -4.0 | x2 = -0.5

2877) d = 81 | x1 = -4.5 | x2 = 0

2878) d = 121 | x1 = -5.0 | x2 = 0.5

2879) d = 24.01 | x1 = -3.45 | x2 = -1.0

2880) d = 62.41 | x1 = -4.2 | x2 = -0.25

2881) d = 79.21 | x1 = -4.45 | x2 = 0

2882) d = 141.61 | x1 = -5.2 | x2 = 0.75

2883) d = 77.44 | x1 = -4.4 | x2 = 0

2884) d = 116.64 | x1 = -4.9 | x2 = 0.5

2885) d = 75.69 | x1 = -4.35 | x2 = 0

2886) d = 94.09 | x1 = -4.6 | x2 = 0.25

2887) d = 21.16 | x1 = -3.3 | x2 = -1.0

2888) d = 43.56 | x1 = -3.8 | x2 = -0.5

2889) d = 73.96 | x1 = -4.3 | x2 = 0

2890) d = 112.36 | x1 = -4.8 | x2 = 0.5

2891) d = 0.25 | x1 = -2.25 | x2 = -2.0

2892) d = 12.25 | x1 = -3.0 | x2 = -1.25

2893) d = 20.25 | x1 = -3.25 | x2 = -1.0

2894) d = 56.25 | x1 = -4.0 | x2 = -0.25

2895) d = 72.25 | x1 = -4.25 | x2 = 0

2896) d = 132.25 | x1 = -5.0 | x2 = 0.75

2897) d = 19.36 | x1 = -3.2 | x2 = -1.0

2898) d = 40.96 | x1 = -3.7 | x2 = -0.5

2899) d = 70.56 | x1 = -4.2 | x2 = 0

2900) d = 108.16 | x1 = -4.7 | x2 = 0.5

2901) d = 68.89 | x1 = -4.15 | x2 = 0

2902) d = 86.49 | x1 = -4.4 | x2 = 0.25

2903) d = 67.24 | x1 = -4.1 | x2 = 0

2904) d = 104.04 | x1 = -4.6 | x2 = 0.5

2905) d = 9.61 | x1 = -2.8 | x2 = -1.25

2906) d = 50.41 | x1 = -3.8 | x2 = -0.25

2907) d = 65.61 | x1 = -4.05 | x2 = 0

2908) d = 123.21 | x1 = -4.8 | x2 = 0.75

2909) d = 0 | x1 = -2.0 | x2 = -2.0

2910) d = 4.0 | x1 = -2.5 | x2 = -1.5

2911) d = 16 | x1 = -3.0 | x2 = -1.0

2912) d = 36.0 | x1 = -3.5 | x2 = -0.5

2913) d = 64 | x1 = -4.0 | x2 = 0

2914) d = 100.0 | x1 = -4.5 | x2 = 0.5

2915) d = 15.21 | x1 = -2.95 | x2 = -1.0

2916) d = 24.01 | x1 = -3.2 | x2 = -0.75

2917) d = 62.41 | x1 = -3.95 | x2 = 0

2918) d = 79.21 | x1 = -4.2 | x2 = 0.25

2919) d = 14.44 | x1 = -2.9 | x2 = -1.0

2920) d = 33.64 | x1 = -3.4 | x2 = -0.5

2921) d = 60.84 | x1 = -3.9 | x2 = 0

2922) d = 44.89 | x1 = -3.6 | x2 = -0.25

2923) d = 59.29 | x1 = -3.85 | x2 = 0

2924) d = 31.36 | x1 = -3.3 | x2 = -0.5

2925) d = 57.76 | x1 = -3.8 | x2 = 0

2926) d = 92.16 | x1 = -4.3 | x2 = 0.5

2927) d = 0.25 | x1 = -2.0 | x2 = -1.75

2928) d = 12.25 | x1 = -2.75 | x2 = -1.0

2929) d = 20.25 | x1 = -3.0 | x2 = -0.75

2930) d = 56.25 | x1 = -3.75 | x2 = 0

2931) d = 72.25 | x1 = -4.0 | x2 = 0.25

2932) d = 29.16 | x1 = -3.2 | x2 = -0.5

2933) d = 54.76 | x1 = -3.7 | x2 = 0

2934) d = 88.36 | x1 = -4.2 | x2 = 0.5

2935) d = 5.29 | x1 = -2.4 | x2 = -1.25

2936) d = 39.69 | x1 = -3.4 | x2 = -0.25

2937) d = 53.29 | x1 = -3.65 | x2 = 0

2938) d = 10.24 | x1 = -2.6 | x2 = -1.0

2939) d = 27.04 | x1 = -3.1 | x2 = -0.5

2940) d = 51.84 | x1 = -3.6 | x2 = 0

2941) d = 16.81 | x1 = -2.8 | x2 = -0.75

2942) d = 50.41 | x1 = -3.55 | x2 = 0

2943) d = 65.61 | x1 = -3.8 | x2 = 0.25

2944) d = 1 | x1 = -2.0 | x2 = -1.5

2945) d = 9 | x1 = -2.5 | x2 = -1.0

2946) d = 25 | x1 = -3.0 | x2 = -0.5

2947) d = 49 | x1 = -3.5 | x2 = 0

2948) d = 81 | x1 = -4.0 | x2 = 0.5

2949) d = 121 | x1 = -4.5 | x2 = 1.0

2950) d = 34.81 | x1 = -3.2 | x2 = -0.25

2951) d = 47.61 | x1 = -3.45 | x2 = 0

2952) d = 98.01 | x1 = -4.2 | x2 = 0.75

2953) d = 118.81 | x1 = -4.45 | x2 = 1.0

2954) d = 23.04 | x1 = -2.9 | x2 = -0.5

2955) d = 46.24 | x1 = -3.4 | x2 = 0

2956) d = 13.69 | x1 = -2.6 | x2 = -0.75

2957) d = 44.89 | x1 = -3.35 | x2 = 0

2958) d = 59.29 | x1 = -3.6 | x2 = 0.25

2959) d = 21.16 | x1 = -2.8 | x2 = -0.5

2960) d = 43.56 | x1 = -3.3 | x2 = 0

2961) d = 73.96 | x1 = -3.8 | x2 = 0.5

2962) d = 112.36 | x1 = -4.3 | x2 = 1.0

2963) d = 2.25 | x1 = -2.0 | x2 = -1.25

2964) d = 6.25 | x1 = -2.25 | x2 = -1.0

2965) d = 30.25 | x1 = -3.0 | x2 = -0.25

2966) d = 42.25 | x1 = -3.25 | x2 = 0

2967) d = 90.25 | x1 = -4.0 | x2 = 0.75

2968) d = 110.25 | x1 = -4.25 | x2 = 1.0

2969) d = 19.36 | x1 = -2.7 | x2 = -0.5

2970) d = 40.96 | x1 = -3.2 | x2 = 0

2971) d = 70.56 | x1 = -3.7 | x2 = 0.5

2972) d = 108.16 | x1 = -4.2 | x2 = 1.0

2973) d = 5.29 | x1 = -2.15 | x2 = -1.0

2974) d = 39.69 | x1 = -3.15 | x2 = 0

2975) d = 53.29 | x1 = -3.4 | x2 = 0.25

2976) d = 17.64 | x1 = -2.6 | x2 = -0.5

2977) d = 38.44 | x1 = -3.1 | x2 = 0

2978) d = 26.01 | x1 = -2.8 | x2 = -0.25

2979) d = 37.21 | x1 = -3.05 | x2 = 0

2980) d = 82.81 | x1 = -3.8 | x2 = 0.75

2981) d = 102.01 | x1 = -4.05 | x2 = 1.0

2982) d = 0.0 | x1 = -1.5 | x2 = -1.5

2983) d = 4 | x1 = -2.0 | x2 = -1.0

2984) d = 16.0 | x1 = -2.5 | x2 = -0.5

2985) d = 36 | x1 = -3.0 | x2 = 0

2986) d = 64.0 | x1 = -3.5 | x2 = 0.5

2987) d = 100 | x1 = -4.0 | x2 = 1.0

2988) d = 34.81 | x1 = -2.95 | x2 = 0

2989) d = 47.61 | x1 = -3.2 | x2 = 0.25

2990) d = 98.01 | x1 = -3.95 | x2 = 1.0

2991) d = 33.64 | x1 = -2.9 | x2 = 0

2992) d = 60.84 | x1 = -3.4 | x2 = 0.5

2993) d = 22.09 | x1 = -2.6 | x2 = -0.25

2994) d = 32.49 | x1 = -2.85 | x2 = 0

2995) d = 31.36 | x1 = -2.8 | x2 = 0

2996) d = 57.76 | x1 = -3.3 | x2 = 0.5

2997) d = 92.16 | x1 = -3.8 | x2 = 1.0

2998) d = 2.25 | x1 = -1.75 | x2 = -1.0

2999) d = 6.25 | x1 = -2.0 | x2 = -0.75

3000) d = 30.25 | x1 = -2.75 | x2 = 0

3001) d = 42.25 | x1 = -3.0 | x2 = 0.25

3002) d = 90.25 | x1 = -3.75 | x2 = 1.0

3003) d = 29.16 | x1 = -2.7 | x2 = 0

3004) d = 54.76 | x1 = -3.2 | x2 = 0.5

3005) d = 88.36 | x1 = -3.7 | x2 = 1.0

3006) d = 18.49 | x1 = -2.4 | x2 = -0.25

3007) d = 28.09 | x1 = -2.65 | x2 = 0

3008) d = 10.24 | x1 = -2.1 | x2 = -0.5

3009) d = 27.04 | x1 = -2.6 | x2 = 0

3010) d = 51.84 | x1 = -3.1 | x2 = 0.5

3011) d = 26.01 | x1 = -2.55 | x2 = 0

3012) d = 37.21 | x1 = -2.8 | x2 = 0.25

3013) d = 82.81 | x1 = -3.55 | x2 = 1.0

3014) d = 1 | x1 = -1.5 | x2 = -1.0

3015) d = 9 | x1 = -2.0 | x2 = -0.5

3016) d = 25 | x1 = -2.5 | x2 = 0

3017) d = 49 | x1 = -3.0 | x2 = 0.5

3018) d = 81 | x1 = -3.5 | x2 = 1.0

3019) d = 24.01 | x1 = -2.45 | x2 = 0

3020) d = 62.41 | x1 = -3.2 | x2 = 0.75

3021) d = 79.21 | x1 = -3.45 | x2 = 1.0

3022) d = 7.84 | x1 = -1.9 | x2 = -0.5

3023) d = 23.04 | x1 = -2.4 | x2 = 0

3024) d = 46.24 | x1 = -2.9 | x2 = 0.5

