1) a = -9 | b = -9 | c = 0

3796) a = -1.4 | b = 3.5 | c = -1.4

3797) a = -1.4 | b = 3.5 | c = 0

3798) a = -1.4 | b = 4.2 | c = 5.6

3799) a = -1.4 | b = 5.6 | c = -5.6

3800) a = -1.4 | b = 5.6 | c = 0

3801) a = -1.4 | b = 6.3 | c = 0

3802) a = -1.4 | b = 6.3 | c = 7.7

3803) a = -1.4 | b = 7 | c = -5.6

3804) a = -1.4 | b = 7 | c = 0

3805) a = -1.3 | b = -7.8 | c = 0

3806) a = -1.3 | b = -6.5 | c = 0

3807) a = -1.3 | b = -5.2 | c = -5.2

3808) a = -1.3 | b = -5.2 | c = -3.9

3809) a = -1.3 | b = -5.2 | c = 0

3810) a = -1.3 | b = -3.9 | c = 0

3811) a = -1.3 | b = -3.9 | c = 5.2

3812) a = -1.3 | b = -2.6 | c = -1.3

3813) a = -1.3 | b = -2.6 | c = 0

3814) a = -1.3 | b = -2.6 | c = 3.9

3815) a = -1.3 | b = -1.3 | c = 0

3816) a = -1.3 | b = -1.3 | c = 7.8

3817) a = -1.3 | b = 0 | c = 0

3818) a = -1.3 | b = 0 | c = 1.3

3819) a = -1.3 | b = 0 | c = 5.2

3820) a = -1.3 | b = 1.3 | c = 0

3821) a = -1.3 | b = 1.3 | c = 7.8

3822) a = -1.3 | b = 2.6 | c = -1.3

3823) a = -1.3 | b = 2.6 | c = 0

3824) a = -1.3 | b = 2.6 | c = 3.9

3825) a = -1.3 | b = 3.9 | c = 0

3826) a = -1.3 | b = 3.9 | c = 5.2

3827) a = -1.3 | b = 5.2 | c = -5.2

3828) a = -1.3 | b = 5.2 | c = -3.9

3829) a = -1.3 | b = 5.2 | c = 0

3830) a = -1.3 | b = 6.5 | c = 0

3831) a = -1.3 | b = 7.8 | c = 0

3832) a = -1.2 | b = -9 | c = 0

3833) a = -1.2 | b = -8.7 | c = 0

3834) a = -1.2 | b = -8.1 | c = -5.4

3835) a = -1.2 | b = -8.1 | c = 0

3836) a = -1.2 | b = -7.8 | c = -9

3837) a = -1.2 | b = -7.8 | c = 0

3838) a = -1.2 | b = -7.5 | c = -7.5

3839) a = -1.2 | b = -7.5 | c = 0

3840) a = -1.2 | b = -7.2 | c = 0

3841) a = -1.2 | b = -6.6 | c = 0

3842) a = -1.2 | b = -6.3 | c = -7.8

3843) a = -1.2 | b = -6.3 | c = -5.1

3844) a = -1.2 | b = -6.3 | c = 0

3845) a = -1.2 | b = -6.3 | c = 5.4

3846) a = -1.2 | b = -6 | c = -7.5

3847) a = -1.2 | b = -6 | c = -4.8

3848) a = -1.2 | b = -6 | c = 0

3849) a = -1.2 | b = -5.7 | c = 0

3850) a = -1.2 | b = -5.1 | c = 0

3851) a = -1.2 | b = -4.8 | c = -4.8

3852) a = -1.2 | b = -4.8 | c = 0

3853) a = -1.2 | b = -4.5 | c = 0

3854) a = -1.2 | b = -4.5 | c = 7.5

3855) a = -1.2 | b = -4.2 | c = 9

3856) a = -1.2 | b = -3.9 | c = 0

3857) a = -1.2 | b = -3.9 | c = 5.1

3858) a = -1.2 | b = -3.6 | c = -2.7

3859) a = -1.2 | b = -3.6 | c = 0

3860) a = -1.2 | b = -3.6 | c = 4.8

3861) a = -1.2 | b = -3.3 | c = 0

3862) a = -1.2 | b = -3.3 | c = 6

3863) a = -1.2 | b = -3 | c = -1.2

3864) a = -1.2 | b = -3 | c = 0

3865) a = -1.2 | b = -2.7 | c = 2.7

3866) a = -1.2 | b = -2.4 | c = -1.2

3867) a = -1.2 | b = -2.4 | c = 0

3868) a = -1.2 | b = -2.4 | c = 3.6

3869) a = -1.2 | b = -2.1 | c = 3.3

3870) a = -1.2 | b = -1.8 | c = 0

3871) a = -1.2 | b = -1.8 | c = 1.2

3872) a = -1.2 | b = -1.5 | c = -0.3

3873) a = -1.2 | b = -1.5 | c = 0

3874) a = -1.2 | b = -1.5 | c = 7.8

3875) a = -1.2 | b = -1.2 | c = -0.3

3876) a = -1.2 | b = -1.2 | c = 0

3877) a = -1.2 | b = -1.2 | c = 0.9

3878) a = -1.2 | b = -1.2 | c = 4.5

3879) a = -1.2 | b = -1.2 | c = 7.2

3880) a = -1.2 | b = -0.9 | c = 0

3881) a = -1.2 | b = -0.9 | c = 0.3

3882) a = -1.2 | b = -0.9 | c = 3

3883) a = -1.2 | b = -0.9 | c = 8.1

3884) a = -1.2 | b = -0.6 | c = 0

3885) a = -1.2 | b = -0.6 | c = 1.8

3886) a = -1.2 | b = -0.6 | c = 3.6

3887) a = -1.2 | b = -0.6 | c = 9

3888) a = -1.2 | b = -0.3 | c = 0

3889) a = -1.2 | b = -0.3 | c = 0.9

3890) a = -1.2 | b = 0 | c = 0

3891) a = -1.2 | b = 0 | c = 0.3

3892) a = -1.2 | b = 0 | c = 1.2

3893) a = -1.2 | b = 0 | c = 2.7

3894) a = -1.2 | b = 0 | c = 4.8

3895) a = -1.2 | b = 0 | c = 7.5

3896) a = -1.2 | b = 0.3 | c = 0

3897) a = -1.2 | b = 0.3 | c = 0.9

3898) a = -1.2 | b = 0.6 | c = 0

3899) a = -1.2 | b = 0.6 | c = 1.8

3900) a = -1.2 | b = 0.6 | c = 3.6

3901) a = -1.2 | b = 0.6 | c = 9

3902) a = -1.2 | b = 0.9 | c = 0

3903) a = -1.2 | b = 0.9 | c = 0.3

3904) a = -1.2 | b = 0.9 | c = 3

3905) a = -1.2 | b = 0.9 | c = 8.1

3906) a = -1.2 | b = 1.2 | c = -0.3

3907) a = -1.2 | b = 1.2 | c = 0

3908) a = -1.2 | b = 1.2 | c = 0.9

3909) a = -1.2 | b = 1.2 | c = 4.5

3910) a = -1.2 | b = 1.2 | c = 7.2

3911) a = -1.2 | b = 1.5 | c = -0.3

3912) a = -1.2 | b = 1.5 | c = 0

3913) a = -1.2 | b = 1.5 | c = 7.8

3914) a = -1.2 | b = 1.8 | c = 0

3915) a = -1.2 | b = 1.8 | c = 1.2

3916) a = -1.2 | b = 2.1 | c = 3.3

3917) a = -1.2 | b = 2.4 | c = -1.2

3918) a = -1.2 | b = 2.4 | c = 0

3919) a = -1.2 | b = 2.4 | c = 3.6

3920) a = -1.2 | b = 2.7 | c = 2.7

3921) a = -1.2 | b = 3 | c = -1.2

3922) a = -1.2 | b = 3 | c = 0

3923) a = -1.2 | b = 3.3 | c = 0

3924) a = -1.2 | b = 3.3 | c = 6

3925) a = -1.2 | b = 3.6 | c = -2.7

3926) a = -1.2 | b = 3.6 | c = 0

3927) a = -1.2 | b = 3.6 | c = 4.8

3928) a = -1.2 | b = 3.9 | c = 0

3929) a = -1.2 | b = 3.9 | c = 5.1

3930) a = -1.2 | b = 4.2 | c = 9

3931) a = -1.2 | b = 4.5 | c = 0

3932) a = -1.2 | b = 4.5 | c = 7.5

3933) a = -1.2 | b = 4.8 | c = -4.8

3934) a = -1.2 | b = 4.8 | c = 0

3935) a = -1.2 | b = 5.1 | c = 0

3936) a = -1.2 | b = 5.7 | c = 0

3937) a = -1.2 | b = 6 | c = -7.5

3938) a = -1.2 | b = 6 | c = -4.8

3939) a = -1.2 | b = 6 | c = 0

3940) a = -1.2 | b = 6.3 | c = -7.8

3941) a = -1.2 | b = 6.3 | c = -5.1

3942) a = -1.2 | b = 6.3 | c = 0

3943) a = -1.2 | b = 6.3 | c = 5.4

3944) a = -1.2 | b = 6.6 | c = 0

3945) a = -1.2 | b = 7.2 | c = 0

3946) a = -1.2 | b = 7.5 | c = -7.5

3947) a = -1.2 | b = 7.5 | c = 0

3948) a = -1.2 | b = 7.8 | c = -9

3949) a = -1.2 | b = 7.8 | c = 0

3950) a = -1.2 | b = 8.1 | c = -5.4

3951) a = -1.2 | b = 8.1 | c = 0

3952) a = -1.2 | b = 8.7 | c = 0

3953) a = -1.2 | b = 9 | c = 0

3954) a = -1.1 | b = -8.8 | c = 0

3955) a = -1.1 | b = -7.7 | c = 0

3956) a = -1.1 | b = -7.7 | c = 8.8

3957) a = -1.1 | b = -5.5 | c = 0

3958) a = -1.1 | b = -4.4 | c = -4.4

3959) a = -1.1 | b = -4.4 | c = 0

3960) a = -1.1 | b = -3.3 | c = 4.4

3961) a = -1.1 | b = -2.2 | c = -1.1

3962) a = -1.1 | b = -2.2 | c = 0

3963) a = -1.1 | b = -2.2 | c = 3.3

3964) a = -1.1 | b = -1.1 | c = 0

3965) a = -1.1 | b = 0 | c = 0

3966) a = -1.1 | b = 0 | c = 1.1

3967) a = -1.1 | b = 0 | c = 4.4

3968) a = -1.1 | b = 1.1 | c = 0

3969) a = -1.1 | b = 2.2 | c = -1.1

3970) a = -1.1 | b = 2.2 | c = 0

3971) a = -1.1 | b = 2.2 | c = 3.3

3972) a = -1.1 | b = 3.3 | c = 4.4

3973) a = -1.1 | b = 4.4 | c = -4.4

3974) a = -1.1 | b = 4.4 | c = 0

3975) a = -1.1 | b = 5.5 | c = 0

3976) a = -1.1 | b = 7.7 | c = 0

3977) a = -1.1 | b = 7.7 | c = 8.8

3978) a = -1.1 | b = 8.8 | c = 0

3979) a = -1 | b = -9 | c = -8

3980) a = -1 | b = -9 | c = 0

3981) a = -1 | b = -8.9 | c = -7.9

3982) a = -1 | b = -8.9 | c = -4.2

3983) a = -1 | b = -8.9 | c = 0

3984) a = -1 | b = -8.9 | c = 4.7

3985) a = -1 | b = -8.8 | c = 0

3986) a = -1 | b = -8.7 | c = 0

3987) a = -1 | b = -8.7 | c = 4.6

3988) a = -1 | b = -8.6 | c = -7.6

3989) a = -1 | b = -8.6 | c = 0

3990) a = -1 | b = -8.5 | c = -7.5

3991) a = -1 | b = -8.5 | c = -4

3992) a = -1 | b = -8.5 | c = 0

3993) a = -1 | b = -8.5 | c = 4.5

3994) a = -1 | b = -8.4 | c = -7.4

3995) a = -1 | b = -8.4 | c = 0

3996) a = -1 | b = -8.3 | c = 0

3997) a = -1 | b = -8.3 | c = 4.4

3998) a = -1 | b = -8.2 | c = 0

3999) a = -1 | b = -8.1 | c = -7.1

4000) a = -1 | b = -8.1 | c = -3.8

4001) a = -1 | b = -8.1 | c = 0

4002) a = -1 | b = -8.1 | c = 4.3

4003) a = -1 | b = -8 | c = -7

4004) a = -1 | b = -8 | c = 0

4005) a = -1 | b = -8 | c = 9

4006) a = -1 | b = -7.9 | c = -6.9

4007) a = -1 | b = -7.9 | c = -3.7

4008) a = -1 | b = -7.9 | c = 0

4009) a = -1 | b = -7.9 | c = 4.2

4010) a = -1 | b = -7.9 | c = 8.9

4011) a = -1 | b = -7.8 | c = -6.8

4012) a = -1 | b = -7.8 | c = 0

4013) a = -1 | b = -7.7 | c = -3.6

4014) a = -1 | b = -7.7 | c = 0

4015) a = -1 | b = -7.6 | c = -6.6

4016) a = -1 | b = -7.6 | c = 0

4017) a = -1 | b = -7.6 | c = 8.6

4018) a = -1 | b = -7.5 | c = -9

4019) a = -1 | b = -7.5 | c = -6.5

4020) a = -1 | b = -7.5 | c = -3.5

4021) a = -1 | b = -7.5 | c = 0

4022) a = -1 | b = -7.5 | c = 4

4023) a = -1 | b = -7.5 | c = 8.5

4024) a = -1 | b = -7.4 | c = -6.4

4025) a = -1 | b = -7.4 | c = 0

4026) a = -1 | b = -7.4 | c = 8.4

4027) a = -1 | b = -7.3 | c = -8.7

4028) a = -1 | b = -7.3 | c = -6.3

4029) a = -1 | b = -7.3 | c = -3.4

4030) a = -1 | b = -7.3 | c = 0

4031) a = -1 | b = -7.2 | c = -6.2

4032) a = -1 | b = -7.2 | c = 0

4033) a = -1 | b = -7.1 | c = -8.4

4034) a = -1 | b = -7.1 | c = -6.1

4035) a = -1 | b = -7.1 | c = -3.3

4036) a = -1 | b = -7.1 | c = 0

4037) a = -1 | b = -7.1 | c = 3.8

4038) a = -1 | b = -7.1 | c = 8.1

4039) a = -1 | b = -7 | c = -6

4040) a = -1 | b = -7 | c = 0

4041) a = -1 | b = -7 | c = 8

4042) a = -1 | b = -6.9 | c = -5.9

4043) a = -1 | b = -6.9 | c = -3.2

4044) a = -1 | b = -6.9 | c = 0

4045) a = -1 | b = -6.9 | c = 3.7

4046) a = -1 | b = -6.9 | c = 7.9

4047) a = -1 | b = -6.8 | c = -5.8

4048) a = -1 | b = -6.8 | c = 0

4049) a = -1 | b = -6.7 | c = -7.8

4050) a = -1 | b = -6.7 | c = -5.7

4051) a = -1 | b = -6.7 | c = -3.1

4052) a = -1 | b = -6.7 | c = 0

4053) a = -1 | b = -6.7 | c = 3.6

4054) a = -1 | b = -6.6 | c = -5.6

4055) a = -1 | b = -6.6 | c = 0

4056) a = -1 | b = -6.6 | c = 7.6

4057) a = -1 | b = -6.5 | c = -9

4058) a = -1 | b = -6.5 | c = -7.5

4059) a = -1 | b = -6.5 | c = -5.5

4060) a = -1 | b = -6.5 | c = -3

4061) a = -1 | b = -6.5 | c = 0

4062) a = -1 | b = -6.5 | c = 3.5

4063) a = -1 | b = -6.5 | c = 7.5

4064) a = -1 | b = -6.4 | c = -5.4

4065) a = -1 | b = -6.4 | c = 0

4066) a = -1 | b = -6.4 | c = 7.4

4067) a = -1 | b = -6.3 | c = -8.6

4068) a = -1 | b = -6.3 | c = -5.3

4069) a = -1 | b = -6.3 | c = -2.9

4070) a = -1 | b = -6.3 | c = 0

4071) a = -1 | b = -6.3 | c = 3.4

4072) a = -1 | b = -6.2 | c = -5.2

4073) a = -1 | b = -6.2 | c = 0

4074) a = -1 | b = -6.1 | c = -5.1

4075) a = -1 | b = -6.1 | c = -2.8

4076) a = -1 | b = -6.1 | c = 0

4077) a = -1 | b = -6.1 | c = 3.3

4078) a = -1 | b = -6.1 | c = 7.1

4079) a = -1 | b = -6 | c = -9

4080) a = -1 | b = -6 | c = -8

4081) a = -1 | b = -6 | c = -5

4082) a = -1 | b = -6 | c = 0

4083) a = -1 | b = -6 | c = 7

4084) a = -1 | b = -5.9 | c = -2.7

4085) a = -1 | b = -5.9 | c = 0

4086) a = -1 | b = -5.9 | c = 3.2

4087) a = -1 | b = -5.9 | c = 6.9

4088) a = -1 | b = -5.8 | c = 0

4089) a = -1 | b = -5.8 | c = 6.8

4090) a = -1 | b = -5.7 | c = -4.7

4091) a = -1 | b = -5.7 | c = -2.6

4092) a = -1 | b = -5.7 | c = 0

4093) a = -1 | b = -5.7 | c = 3.1

4094) a = -1 | b = -5.7 | c = 6.7

4095) a = -1 | b = -5.6 | c = 0

4096) a = -1 | b = -5.6 | c = 6.6

4097) a = -1 | b = -5.5 | c = -7.5

4098) a = -1 | b = -5.5 | c = -7

4099) a = -1 | b = -5.5 | c = -6

4100) a = -1 | b = -5.5 | c = -4.5

4101) a = -1 | b = -5.5 | c = -2.5

4102) a = -1 | b = -5.5 | c = 0

4103) a = -1 | b = -5.5 | c = 3

4104) a = -1 | b = -5.5 | c = 6.5

4105) a = -1 | b = -5.4 | c = 0

4106) a = -1 | b = -5.4 | c = 6.4

4107) a = -1 | b = -5.3 | c = -5.7

4108) a = -1 | b = -5.3 | c = -2.4

4109) a = -1 | b = -5.3 | c = 0

4110) a = -1 | b = -5.3 | c = 2.9

4111) a = -1 | b = -5.3 | c = 6.3

4112) a = -1 | b = -5.2 | c = -4.2

4113) a = -1 | b = -5.2 | c = 0

4114) a = -1 | b = -5.2 | c = 6.2

4115) a = -1 | b = -5.1 | c = -2.3

4116) a = -1 | b = -5.1 | c = 0

4117) a = -1 | b = -5.1 | c = 2.8

4118) a = -1 | b = -5.1 | c = 6.1

4119) a = -1 | b = -5 | c = -6

4120) a = -1 | b = -5 | c = -4

4121) a = -1 | b = -5 | c = 0

4122) a = -1 | b = -5 | c = 6

4123) a = -1 | b = -4.9 | c = 0

4124) a = -1 | b = -4.9 | c = 2.7

4125) a = -1 | b = -4.9 | c = 5.9

4126) a = -1 | b = -4.8 | c = -3.8

4127) a = -1 | b = -4.8 | c = 0

4128) a = -1 | b = -4.8 | c = 5.8

4129) a = -1 | b = -4.7 | c = 0

4130) a = -1 | b = -4.7 | c = 2.6

4131) a = -1 | b = -4.7 | c = 5.7

4132) a = -1 | b = -4.6 | c = 0

4133) a = -1 | b = -4.6 | c = 5.6

4134) a = -1 | b = -4.5 | c = -5

4135) a = -1 | b = -4.5 | c = -4.5

4136) a = -1 | b = -4.5 | c = -3.5

4137) a = -1 | b = -4.5 | c = -2

4138) a = -1 | b = -4.5 | c = 0

4139) a = -1 | b = -4.5 | c = 2.5

4140) a = -1 | b = -4.5 | c = 5.5

4141) a = -1 | b = -4.5 | c = 9

4142) a = -1 | b = -4.4 | c = 0

4143) a = -1 | b = -4.4 | c = 5.4

4144) a = -1 | b = -4.3 | c = -3.3

4145) a = -1 | b = -4.3 | c = -1.9

4146) a = -1 | b = -4.3 | c = 0

4147) a = -1 | b = -4.3 | c = 2.4

4148) a = -1 | b = -4.3 | c = 5.3

4149) a = -1 | b = -4.3 | c = 8.7

4150) a = -1 | b = -4.2 | c = -3.2

4151) a = -1 | b = -4.2 | c = 0

4152) a = -1 | b = -4.2 | c = 5.2

4153) a = -1 | b = -4.1 | c = 0

4154) a = -1 | b = -4.1 | c = 2.3

4155) a = -1 | b = -4.1 | c = 5.1

4156) a = -1 | b = -4.1 | c = 8.4

4157) a = -1 | b = -4 | c = -4

4158) a = -1 | b = -4 | c = -3

4159) a = -1 | b = -4 | c = 0

4160) a = -1 | b = -4 | c = 5

4161) a = -1 | b = -3.9 | c = -2.9

4162) a = -1 | b = -3.9 | c = -1.7

4163) a = -1 | b = -3.9 | c = 0

4164) a = -1 | b = -3.8 | c = 0

4165) a = -1 | b = -3.8 | c = 4.8

4166) a = -1 | b = -3.7 | c = -1.6

4167) a = -1 | b = -3.7 | c = 0

4168) a = -1 | b = -3.7 | c = 2.1

4169) a = -1 | b = -3.7 | c = 4.7

4170) a = -1 | b = -3.7 | c = 7.8

4171) a = -1 | b = -3.6 | c = -2.6

4172) a = -1 | b = -3.6 | c = 0

4173) a = -1 | b = -3.5 | c = -3

4174) a = -1 | b = -3.5 | c = -2.5

4175) a = -1 | b = -3.5 | c = -1.5

4176) a = -1 | b = -3.5 | c = 0

4177) a = -1 | b = -3.5 | c = 2

4178) a = -1 | b = -3.5 | c = 4.5

4179) a = -1 | b = -3.5 | c = 7.5

4180) a = -1 | b = -3.4 | c = 0

4181) a = -1 | b = -3.3 | c = -1.4

4182) a = -1 | b = -3.3 | c = 0

4183) a = -1 | b = -3.3 | c = 1.9

4184) a = -1 | b = -3.3 | c = 4.3

4185) a = -1 | b = -3.3 | c = 7.2

4186) a = -1 | b = -3.2 | c = 0

4187) a = -1 | b = -3.2 | c = 4.2

4188) a = -1 | b = -3.1 | c = -1.3

4189) a = -1 | b = -3.1 | c = 0

4190) a = -1 | b = -3 | c = -2

4191) a = -1 | b = -3 | c = 0

4192) a = -1 | b = -3 | c = 4

4193) a = -1 | b = -2.9 | c = 0

4194) a = -1 | b = -2.9 | c = 1.7

4195) a = -1 | b = -2.8 | c = 0

4196) a = -1 | b = -2.8 | c = 3.8

4197) a = -1 | b = -2.7 | c = 0

4198) a = -1 | b = -2.7 | c = 1.6

4199) a = -1 | b = -2.7 | c = 3.7

4200) a = -1 | b = -2.7 | c = 6.3

4201) a = -1 | b = -2.6 | c = 0

4202) a = -1 | b = -2.5 | c = -1.5

4203) a = -1 | b = -2.5 | c = -1

4204) a = -1 | b = -2.5 | c = 0

4205) a = -1 | b = -2.5 | c = 1.5

4206) a = -1 | b = -2.5 | c = 3.5

4207) a = -1 | b = -2.5 | c = 6

4208) a = -1 | b = -2.5 | c = 9

4209) a = -1 | b = -2.4 | c = 0

4210) a = -1 | b = -2.4 | c = 8.8

4211) a = -1 | b = -2.3 | c = 0

4212) a = -1 | b = -2.3 | c = 1.4

4213) a = -1 | b = -2.3 | c = 3.3

4214) a = -1 | b = -2.3 | c = 5.7

4215) a = -1 | b = -2.3 | c = 8.6

4216) a = -1 | b = -2.2 | c = 0

4217) a = -1 | b = -2.2 | c = 3.2

4218) a = -1 | b = -2.2 | c = 8.4

4219) a = -1 | b = -2.1 | c = -0.8

4220) a = -1 | b = -2.1 | c = 0

4221) a = -1 | b = -2.1 | c = 1.3

4222) a = -1 | b = -2 | c = -1

4223) a = -1 | b = -2 | c = 0

4224) a = -1 | b = -2 | c = 3

4225) a = -1 | b = -2 | c = 8

4226) a = -1 | b = -1.9 | c = 0

4227) a = -1 | b = -1.9 | c = 1.2

4228) a = -1 | b = -1.9 | c = 2.9

4229) a = -1 | b = -1.8 | c = 0

4230) a = -1 | b = -1.8 | c = 7.6

4231) a = -1 | b = -1.8 | c = 8.8

4232) a = -1 | b = -1.7 | c = 0

4233) a = -1 | b = -1.7 | c = 2.7

4234) a = -1 | b = -1.7 | c = 4.8

4235) a = -1 | b = -1.7 | c = 7.4

4236) a = -1 | b = -1.6 | c = 0

4237) a = -1 | b = -1.6 | c = 2.6

4238) a = -1 | b = -1.5 | c = -0.5

4239) a = -1 | b = -1.5 | c = 0

4240) a = -1 | b = -1.5 | c = 1

4241) a = -1 | b = -1.5 | c = 2.5

4242) a = -1 | b = -1.5 | c = 4.5

4243) a = -1 | b = -1.5 | c = 7

4244) a = -1 | b = -1.4 | c = 0

4245) a = -1 | b = -1.4 | c = 2.4

4246) a = -1 | b = -1.3 | c = 0

4247) a = -1 | b = -1.3 | c = 4.2

4248) a = -1 | b = -1.3 | c = 6.6

4249) a = -1 | b = -1.3 | c = 7.7

4250) a = -1 | b = -1.2 | c = 0

4251) a = -1 | b = -1.2 | c = 2.2

4252) a = -1 | b = -1.2 | c = 6.4

4253) a = -1 | b = -1.1 | c = 0

4254) a = -1 | b = -1.1 | c = 0.8

4255) a = -1 | b = -1.1 | c = 2.1

4256) a = -1 | b = -1.1 | c = 3.5

4257) a = -1 | b = -1 | c = 0

4258) a = -1 | b = -1 | c = 2

4259) a = -1 | b = -1 | c = 6

4260) a = -1 | b = -0.9 | c = 0

4261) a = -1 | b = -0.9 | c = 1.9

4262) a = -1 | b = -0.9 | c = 2.2

4263) a = -1 | b = -0.9 | c = 3.6

4264) a = -1 | b = -0.8 | c = 0

4265) a = -1 | b = -0.8 | c = 5.6

4266) a = -1 | b = -0.8 | c = 6.6

4267) a = -1 | b = -0.7 | c = 0

4268) a = -1 | b = -0.7 | c = 0.6

4269) a = -1 | b = -0.7 | c = 5.4

4270) a = -1 | b = -0.7 | c = 6.9

4271) a = -1 | b = -0.7 | c = 8

4272) a = -1 | b = -0.6 | c = 0

4273) a = -1 | b = -0.6 | c = 1.6

4274) a = -1 | b = -0.6 | c = 2.8

4275) a = -1 | b = -0.5 | c = 0

4276) a = -1 | b = -0.5 | c = 0.5

4277) a = -1 | b = -0.5 | c = 1.5

4278) a = -1 | b = -0.5 | c = 3

4279) a = -1 | b = -0.5 | c = 5

4280) a = -1 | b = -0.5 | c = 7.5

4281) a = -1 | b = -0.4 | c = 0

4282) a = -1 | b = -0.4 | c = 1.4

4283) a = -1 | b = -0.4 | c = 3.2

4284) a = -1 | b = -0.3 | c = 0

4285) a = -1 | b = -0.3 | c = 0.4

4286) a = -1 | b = -0.3 | c = 0.7

4287) a = -1 | b = -0.3 | c = 4.6

4288) a = -1 | b = -0.3 | c = 5.5

4289) a = -1 | b = -0.3 | c = 7

4290) a = -1 | b = -0.3 | c = 8.1

4291) a = -1 | b = -0.2 | c = 0

4292) a = -1 | b = -0.2 | c = 0.8

4293) a = -1 | b = -0.2 | c = 4.4

4294) a = -1 | b = -0.2 | c = 8.4

4295) a = -1 | b = -0.1 | c = 0

4296) a = -1 | b = -0.1 | c = 0.2

4297) a = -1 | b = -0.1 | c = 1.1

4298) a = -1 | b = -0.1 | c = 2.1

4299) a = -1 | b = -0.1 | c = 2.4

4300) a = -1 | b = -0.1 | c = 3.8

4301) a = -1 | b = 0 | c = 0

4302) a = -1 | b = 0 | c = 1

4303) a = -1 | b = 0 | c = 4

4304) a = -1 | b = 0 | c = 9

4305) a = -1 | b = 0.1 | c = 0

4306) a = -1 | b = 0.1 | c = 0.2

4307) a = -1 | b = 0.1 | c = 1.1

4308) a = -1 | b = 0.1 | c = 2.1

4309) a = -1 | b = 0.1 | c = 2.4

4310) a = -1 | b = 0.1 | c = 3.8

4311) a = -1 | b = 0.2 | c = 0

4312) a = -1 | b = 0.2 | c = 0.8

4313) a = -1 | b = 0.2 | c = 4.4

4314) a = -1 | b = 0.2 | c = 8.4

4315) a = -1 | b = 0.3 | c = 0

4316) a = -1 | b = 0.3 | c = 0.4

4317) a = -1 | b = 0.3 | c = 0.7

4318) a = -1 | b = 0.3 | c = 4.6

4319) a = -1 | b = 0.3 | c = 5.5

4320) a = -1 | b = 0.3 | c = 7

4321) a = -1 | b = 0.3 | c = 8.1

4322) a = -1 | b = 0.4 | c = 0

4323) a = -1 | b = 0.4 | c = 1.4

4324) a = -1 | b = 0.4 | c = 3.2

4325) a = -1 | b = 0.5 | c = 0

4326) a = -1 | b = 0.5 | c = 0.5

4327) a = -1 | b = 0.5 | c = 1.5

4328) a = -1 | b = 0.5 | c = 3

4329) a = -1 | b = 0.5 | c = 5

4330) a = -1 | b = 0.5 | c = 7.5

4331) a = -1 | b = 0.6 | c = 0

4332) a = -1 | b = 0.6 | c = 1.6

4333) a = -1 | b = 0.6 | c = 2.8

4334) a = -1 | b = 0.7 | c = 0

4335) a = -1 | b = 0.7 | c = 0.6

4336) a = -1 | b = 0.7 | c = 5.4

4337) a = -1 | b = 0.7 | c = 6.9

4338) a = -1 | b = 0.7 | c = 8

4339) a = -1 | b = 0.8 | c = 0

4340) a = -1 | b = 0.8 | c = 5.6

4341) a = -1 | b = 0.8 | c = 6.6

4342) a = -1 | b = 0.9 | c = 0

4343) a = -1 | b = 0.9 | c = 1.9

4344) a = -1 | b = 0.9 | c = 2.2

4345) a = -1 | b = 0.9 | c = 3.6

4346) a = -1 | b = 1 | c = 0

4347) a = -1 | b = 1 | c = 2

4348) a = -1 | b = 1 | c = 6

4349) a = -1 | b = 1.1 | c = 0

4350) a = -1 | b = 1.1 | c = 0.8

4351) a = -1 | b = 1.1 | c = 2.1

4352) a = -1 | b = 1.1 | c = 3.5

4353) a = -1 | b = 1.2 | c = 0

4354) a = -1 | b = 1.2 | c = 2.2

4355) a = -1 | b = 1.2 | c = 6.4

4356) a = -1 | b = 1.3 | c = 0

4357) a = -1 | b = 1.3 | c = 4.2

4358) a = -1 | b = 1.3 | c = 6.6

4359) a = -1 | b = 1.3 | c = 7.7

4360) a = -1 | b = 1.4 | c = 0

4361) a = -1 | b = 1.4 | c = 2.4

4362) a = -1 | b = 1.5 | c = -0.5

4363) a = -1 | b = 1.5 | c = 0

4364) a = -1 | b = 1.5 | c = 1

