1) a = 0.1 | b = 0.1 | c = 0
589) a = 1 | b = 7.6 | c = 0

590) a = 1 | b = 7.6 | c = 6.6

591) a = 1 | b = 7.7 | c = 0

592) a = 1 | b = 7.7 | c = 3.6

593) a = 1 | b = 7.8 | c = 0

594) a = 1 | b = 7.8 | c = 6.8

595) a = 1 | b = 7.9 | c = 0

596) a = 1 | b = 7.9 | c = 3.7

597) a = 1 | b = 7.9 | c = 6.9

598) a = 1 | b = 8 | c = 0

599) a = 1 | b = 8 | c = 7

600) a = 1 | b = 8.1 | c = 0

601) a = 1 | b = 8.1 | c = 3.8

602) a = 1 | b = 8.1 | c = 7.1

603) a = 1 | b = 8.2 | c = 0

604) a = 1 | b = 8.3 | c = 0

605) a = 1 | b = 8.4 | c = 0

606) a = 1 | b = 8.4 | c = 7.4

607) a = 1 | b = 8.5 | c = 0

608) a = 1 | b = 8.5 | c = 4

609) a = 1 | b = 8.5 | c = 7.5

610) a = 1 | b = 8.6 | c = 0

611) a = 1 | b = 8.6 | c = 7.6

612) a = 1 | b = 8.7 | c = 0

613) a = 1 | b = 8.8 | c = 0

614) a = 1 | b = 8.9 | c = 0

615) a = 1 | b = 8.9 | c = 4.2

616) a = 1 | b = 8.9 | c = 7.9

617) a = 1 | b = 9 | c = 0

618) a = 1 | b = 9 | c = 8

619) a = 1.1 | b = 1.1 | c = 0

620) a = 1.1 | b = 2.2 | c = 0

621) a = 1.1 | b = 4.4 | c = 0

622) a = 1.1 | b = 5.5 | c = 0

623) a = 1.1 | b = 7.7 | c = 0

624) a = 1.1 | b = 8.8 | c = 0

625) a = 1.2 | b = 0.6 | c = 0

626) a = 1.2 | b = 1.2 | c = 0

627) a = 1.2 | b = 1.8 | c = 0

628) a = 1.2 | b = 2.4 | c = 0

629) a = 1.2 | b = 3 | c = 0

630) a = 1.2 | b = 3 | c = 1.2

631) a = 1.2 | b = 3.6 | c = 0

632) a = 1.2 | b = 4.8 | c = 0

633) a = 1.2 | b = 6 | c = 0

634) a = 1.2 | b = 6 | c = 4.8

635) a = 1.2 | b = 6.6 | c = 0

636) a = 1.2 | b = 7.2 | c = 0

637) a = 1.2 | b = 7.8 | c = 0

638) a = 1.2 | b = 7.8 | c = 9

639) a = 1.2 | b = 9 | c = 0

640) a = 1.3 | b = 1.3 | c = 0

641) a = 1.3 | b = 2.6 | c = 0

642) a = 1.3 | b = 3.9 | c = 0

643) a = 1.3 | b = 5.2 | c = 0

644) a = 1.3 | b = 5.2 | c = 3.9

645) a = 1.3 | b = 6.5 | c = 0

646) a = 1.3 | b = 7.8 | c = 0

647) a = 1.4 | b = 0.7 | c = 0

648) a = 1.4 | b = 1.4 | c = 0

649) a = 1.4 | b = 2.8 | c = 0

650) a = 1.4 | b = 3.5 | c = 0

651) a = 1.4 | b = 3.5 | c = 1.4

652) a = 1.4 | b = 5.6 | c = 0

653) a = 1.4 | b = 6.3 | c = 0

654) a = 1.4 | b = 7 | c = 0

655) a = 1.4 | b = 7 | c = 5.6

656) a = 1.5 | b = 0.9 | c = 0

657) a = 1.5 | b = 1.5 | c = 0

658) a = 1.5 | b = 1.8 | c = 0

659) a = 1.5 | b = 2.7 | c = 0

660) a = 1.5 | b = 3 | c = 0

661) a = 1.5 | b = 3.6 | c = 0

662) a = 1.5 | b = 3.9 | c = 0

663) a = 1.5 | b = 4.5 | c = 0

664) a = 1.5 | b = 4.5 | c = 3

665) a = 1.5 | b = 5.1 | c = 0

666) a = 1.5 | b = 5.4 | c = 0

667) a = 1.5 | b = 6 | c = 0

668) a = 1.5 | b = 6 | c = 4.5

669) a = 1.5 | b = 6.3 | c = 0

670) a = 1.5 | b = 7.2 | c = 0

671) a = 1.5 | b = 7.5 | c = 0

672) a = 1.5 | b = 7.5 | c = 6

673) a = 1.5 | b = 7.5 | c = 9

674) a = 1.5 | b = 7.8 | c = 0

675) a = 1.5 | b = 7.8 | c = 6.3

676) a = 1.5 | b = 8.7 | c = 0

677) a = 1.5 | b = 9 | c = 0

678) a = 1.5 | b = 9 | c = 7.5

679) a = 1.6 | b = 0.8 | c = 0

680) a = 1.6 | b = 1.6 | c = 0

681) a = 1.6 | b = 3.2 | c = 0

682) a = 1.6 | b = 4 | c = 0

683) a = 1.6 | b = 6.4 | c = 0

684) a = 1.6 | b = 7.2 | c = 0

685) a = 1.6 | b = 8 | c = 0

686) a = 1.6 | b = 8.8 | c = 0

687) a = 1.7 | b = 1.7 | c = 0

688) a = 1.7 | b = 3.4 | c = 0

689) a = 1.7 | b = 5.1 | c = 0

690) a = 1.7 | b = 6.8 | c = 0

691) a = 1.7 | b = 8.5 | c = 0

692) a = 1.8 | b = 0.9 | c = 0

693) a = 1.8 | b = 1.8 | c = 0

694) a = 1.8 | b = 2.7 | c = 0

695) a = 1.8 | b = 3.6 | c = 0

696) a = 1.8 | b = 4.5 | c = 0

697) a = 1.8 | b = 5.4 | c = 0

698) a = 1.8 | b = 6.3 | c = 0

699) a = 1.8 | b = 7.2 | c = 0

700) a = 1.8 | b = 7.2 | c = 5.4

701) a = 1.8 | b = 8.1 | c = 0

702) a = 1.8 | b = 9 | c = 0

703) a = 1.9 | b = 1.9 | c = 0

704) a = 1.9 | b = 3.8 | c = 0

705) a = 1.9 | b = 7.6 | c = 0

706) a = 2 | b = 0.2 | c = 0

707) a = 2 | b = 0.4 | c = 0

708) a = 2 | b = 0.6 | c = 0

709) a = 2 | b = 0.8 | c = 0

710) a = 2 | b = 1 | c = 0

711) a = 2 | b = 1.2 | c = 0

712) a = 2 | b = 1.4 | c = 0

713) a = 2 | b = 1.6 | c = 0

714) a = 2 | b = 1.8 | c = 0

715) a = 2 | b = 2 | c = 0

716) a = 2 | b = 2.2 | c = 0

717) a = 2 | b = 2.4 | c = 0

718) a = 2 | b = 2.6 | c = 0

719) a = 2 | b = 2.8 | c = 0

720) a = 2 | b = 3 | c = 0

721) a = 2 | b = 3 | c = 1

722) a = 2 | b = 3.2 | c = 0

723) a = 2 | b = 3.4 | c = 0

724) a = 2 | b = 3.6 | c = 0

725) a = 2 | b = 3.6 | c = 1.3

726) a = 2 | b = 3.8 | c = 0

727) a = 2 | b = 4 | c = 0

728) a = 2 | b = 4 | c = 1.5

729) a = 2 | b = 4.2 | c = 0

730) a = 2 | b = 4.2 | c = 1.6

731) a = 2 | b = 4.4 | c = 0

732) a = 2 | b = 4.6 | c = 0

733) a = 2 | b = 4.8 | c = 0

734) a = 2 | b = 4.8 | c = 1.9

735) a = 2 | b = 5 | c = 0

736) a = 2 | b = 5 | c = 2

737) a = 2 | b = 5 | c = 3

738) a = 2 | b = 5.2 | c = 0

739) a = 2 | b = 5.2 | c = 2.1

740) a = 2 | b = 5.4 | c = 0

741) a = 2 | b = 5.6 | c = 0

742) a = 2 | b = 5.8 | c = 0

743) a = 2 | b = 6 | c = 0

744) a = 2 | b = 6 | c = 2.5

745) a = 2 | b = 6 | c = 4

746) a = 2 | b = 6.2 | c = 0

747) a = 2 | b = 6.2 | c = 2.6

748) a = 2 | b = 6.4 | c = 0

749) a = 2 | b = 6.4 | c = 2.7

750) a = 2 | b = 6.6 | c = 0

751) a = 2 | b = 6.6 | c = 2.8

752) a = 2 | b = 6.8 | c = 0

753) a = 2 | b = 6.8 | c = 2.9

754) a = 2 | b = 7 | c = 0

755) a = 2 | b = 7 | c = 3

756) a = 2 | b = 7 | c = 5

757) a = 2 | b = 7 | c = 6

758) a = 2 | b = 7.2 | c = 0

759) a = 2 | b = 7.2 | c = 3.1

760) a = 2 | b = 7.2 | c = 5.2

761) a = 2 | b = 7.4 | c = 0

762) a = 2 | b = 7.4 | c = 3.2

763) a = 2 | b = 7.6 | c = 0

764) a = 2 | b = 7.6 | c = 3.3

765) a = 2 | b = 7.8 | c = 0

766) a = 2 | b = 7.8 | c = 3.4

767) a = 2 | b = 7.8 | c = 5.8

768) a = 2 | b = 8 | c = 0

769) a = 2 | b = 8 | c = 3.5

770) a = 2 | b = 8 | c = 6

771) a = 2 | b = 8 | c = 7.5

772) a = 2 | b = 8.2 | c = 0

773) a = 2 | b = 8.4 | c = 0

774) a = 2 | b = 8.4 | c = 3.7

775) a = 2 | b = 8.4 | c = 6.4

776) a = 2 | b = 8.6 | c = 0

777) a = 2 | b = 8.6 | c = 3.8

778) a = 2 | b = 8.6 | c = 6.6

779) a = 2 | b = 8.8 | c = 0

780) a = 2 | b = 9 | c = 0

781) a = 2 | b = 9 | c = 4

782) a = 2 | b = 9 | c = 7

783) a = 2 | b = 9 | c = 9

784) a = 2.1 | b = 2.1 | c = 0

785) a = 2.1 | b = 4.2 | c = 0

786) a = 2.1 | b = 6.3 | c = 0

787) a = 2.1 | b = 8.4 | c = 0

788) a = 2.1 | b = 8.4 | c = 6.3

789) a = 2.2 | b = 1.1 | c = 0

790) a = 2.2 | b = 2.2 | c = 0

791) a = 2.2 | b = 4.4 | c = 0

792) a = 2.2 | b = 5.5 | c = 0

793) a = 2.2 | b = 7.7 | c = 0

794) a = 2.2 | b = 8.8 | c = 0

795) a = 2.3 | b = 2.3 | c = 0

796) a = 2.3 | b = 4.6 | c = 0

797) a = 2.4 | b = 1.2 | c = 0

798) a = 2.4 | b = 2.4 | c = 0

799) a = 2.4 | b = 3.6 | c = 0

800) a = 2.4 | b = 4.8 | c = 0

801) a = 2.4 | b = 6 | c = 0

802) a = 2.4 | b = 6 | c = 2.4

803) a = 2.4 | b = 7.2 | c = 0

804) a = 2.5 | b = 0.5 | c = 0

805) a = 2.5 | b = 1 | c = 0

806) a = 2.5 | b = 1.5 | c = 0

807) a = 2.5 | b = 1.5 | c = 0.2

808) a = 2.5 | b = 2 | c = 0

809) a = 2.5 | b = 2 | c = 0.3

810) a = 2.5 | b = 2.5 | c = 0

811) a = 2.5 | b = 2.5 | c = 0.4

812) a = 2.5 | b = 2.5 | c = 0.6

813) a = 2.5 | b = 3 | c = 0

814) a = 2.5 | b = 3 | c = 0.5

815) a = 2.5 | b = 3 | c = 0.8

816) a = 2.5 | b = 3.5 | c = 0

817) a = 2.5 | b = 3.5 | c = 0.6

818) a = 2.5 | b = 3.5 | c = 1

819) a = 2.5 | b = 3.5 | c = 1.2

820) a = 2.5 | b = 4 | c = 0

821) a = 2.5 | b = 4 | c = 0.7

822) a = 2.5 | b = 4 | c = 1.2

823) a = 2.5 | b = 4 | c = 1.5

824) a = 2.5 | b = 4.5 | c = 0

825) a = 2.5 | b = 4.5 | c = 0.8

826) a = 2.5 | b = 4.5 | c = 1.4

827) a = 2.5 | b = 4.5 | c = 1.8

828) a = 2.5 | b = 4.5 | c = 2

829) a = 2.5 | b = 5 | c = 0

830) a = 2.5 | b = 5 | c = 0.9

831) a = 2.5 | b = 5 | c = 1.6

832) a = 2.5 | b = 5 | c = 2.1

833) a = 2.5 | b = 5 | c = 2.4

834) a = 2.5 | b = 5.5 | c = 0

835) a = 2.5 | b = 5.5 | c = 1

836) a = 2.5 | b = 5.5 | c = 1.8

837) a = 2.5 | b = 5.5 | c = 2.4

838) a = 2.5 | b = 5.5 | c = 2.8

839) a = 2.5 | b = 5.5 | c = 3

840) a = 2.5 | b = 6 | c = 0

841) a = 2.5 | b = 6 | c = 1.1

842) a = 2.5 | b = 6 | c = 2

843) a = 2.5 | b = 6 | c = 2.7

844) a = 2.5 | b = 6 | c = 3.2

845) a = 2.5 | b = 6 | c = 3.5

846) a = 2.5 | b = 6.5 | c = 0

847) a = 2.5 | b = 6.5 | c = 1.2

848) a = 2.5 | b = 6.5 | c = 2.2

849) a = 2.5 | b = 6.5 | c = 3

850) a = 2.5 | b = 6.5 | c = 3.6

851) a = 2.5 | b = 6.5 | c = 4

852) a = 2.5 | b = 6.5 | c = 4.2

853) a = 2.5 | b = 7 | c = 0

854) a = 2.5 | b = 7 | c = 1.3

855) a = 2.5 | b = 7 | c = 2.4

856) a = 2.5 | b = 7 | c = 3.3

857) a = 2.5 | b = 7 | c = 4

858) a = 2.5 | b = 7 | c = 4.5

859) a = 2.5 | b = 7 | c = 4.8

860) a = 2.5 | b = 7.5 | c = 0

861) a = 2.5 | b = 7.5 | c = 1.4

862) a = 2.5 | b = 7.5 | c = 2.6

863) a = 2.5 | b = 7.5 | c = 3.6

864) a = 2.5 | b = 7.5 | c = 4.4

865) a = 2.5 | b = 7.5 | c = 5

866) a = 2.5 | b = 7.5 | c = 5.4

867) a = 2.5 | b = 7.5 | c = 5.6

868) a = 2.5 | b = 8 | c = 0

869) a = 2.5 | b = 8 | c = 1.5

870) a = 2.5 | b = 8 | c = 2.8

871) a = 2.5 | b = 8 | c = 3.9

872) a = 2.5 | b = 8 | c = 4.8

873) a = 2.5 | b = 8 | c = 5.5

874) a = 2.5 | b = 8 | c = 6

875) a = 2.5 | b = 8 | c = 6.3

876) a = 2.5 | b = 8.5 | c = 0

877) a = 2.5 | b = 8.5 | c = 1.6

878) a = 2.5 | b = 8.5 | c = 3

879) a = 2.5 | b = 8.5 | c = 4.2

880) a = 2.5 | b = 8.5 | c = 5.2

881) a = 2.5 | b = 8.5 | c = 6

882) a = 2.5 | b = 8.5 | c = 6.6

883) a = 2.5 | b = 8.5 | c = 7

884) a = 2.5 | b = 8.5 | c = 7.2

885) a = 2.5 | b = 9 | c = 0

886) a = 2.5 | b = 9 | c = 1.7

887) a = 2.5 | b = 9 | c = 3.2

888) a = 2.5 | b = 9 | c = 4.5

889) a = 2.5 | b = 9 | c = 5.6

890) a = 2.5 | b = 9 | c = 6.5

891) a = 2.5 | b = 9 | c = 7.2

892) a = 2.5 | b = 9 | c = 7.7

893) a = 2.5 | b = 9 | c = 8

894) a = 2.6 | b = 1.3 | c = 0

895) a = 2.6 | b = 2.6 | c = 0

896) a = 2.6 | b = 3.9 | c = 0

897) a = 2.6 | b = 5.2 | c = 0

898) a = 2.6 | b = 6.5 | c = 0

899) a = 2.6 | b = 7.8 | c = 0

900) a = 2.7 | b = 2.7 | c = 0

901) a = 2.7 | b = 5.4 | c = 0

902) a = 2.8 | b = 1.4 | c = 0

903) a = 2.8 | b = 2.8 | c = 0

904) a = 2.8 | b = 5.6 | c = 0

905) a = 2.8 | b = 7 | c = 0

906) a = 2.8 | b = 7 | c = 2.8

907) a = 2.9 | b = 2.9 | c = 0

908) a = 2.9 | b = 5.8 | c = 0

909) a = 2.9 | b = 8.7 | c = 0

910) a = 3 | b = 0.9 | c = 0

911) a = 3 | b = 1.5 | c = 0

912) a = 3 | b = 1.8 | c = 0

913) a = 3 | b = 2.7 | c = 0

914) a = 3 | b = 3 | c = 0

915) a = 3 | b = 3.6 | c = 0

916) a = 3 | b = 3.9 | c = 0

917) a = 3 | b = 4.5 | c = 0

918) a = 3 | b = 4.5 | c = 1.5

919) a = 3 | b = 5.1 | c = 0

920) a = 3 | b = 5.4 | c = 0

921) a = 3 | b = 6 | c = 0

922) a = 3 | b = 6.3 | c = 0

923) a = 3 | b = 7.2 | c = 0

924) a = 3 | b = 7.5 | c = 0

925) a = 3 | b = 7.5 | c = 3

926) a = 3 | b = 7.5 | c = 4.5

927) a = 3 | b = 7.8 | c = 0

928) a = 3 | b = 8.7 | c = 0

929) a = 3 | b = 9 | c = 0

930) a = 3 | b = 9 | c = 6

931) a = 3.1 | b = 3.1 | c = 0

932) a = 3.1 | b = 6.2 | c = 0

933) a = 3.2 | b = 1.6 | c = 0

934) a = 3.2 | b = 3.2 | c = 0

935) a = 3.2 | b = 6.4 | c = 0

936) a = 3.2 | b = 8 | c = 0

937) a = 3.3 | b = 3.3 | c = 0

938) a = 3.3 | b = 6.6 | c = 0

939) a = 3.4 | b = 1.7 | c = 0

940) a = 3.4 | b = 3.4 | c = 0

941) a = 3.4 | b = 5.1 | c = 0

942) a = 3.4 | b = 6.8 | c = 0

943) a = 3.4 | b = 8.5 | c = 0

944) a = 3.5 | b = 2.1 | c = 0

945) a = 3.5 | b = 3.5 | c = 0

946) a = 3.5 | b = 4.2 | c = 0

947) a = 3.5 | b = 6.3 | c = 0

948) a = 3.5 | b = 7 | c = 0

949) a = 3.5 | b = 7.7 | c = 0

950) a = 3.5 | b = 8.4 | c = 0

951) a = 3.6 | b = 1.8 | c = 0

952) a = 3.6 | b = 3.6 | c = 0

953) a = 3.6 | b = 5.4 | c = 0

954) a = 3.6 | b = 7.2 | c = 0

955) a = 3.6 | b = 7.2 | c = 2.7

956) a = 3.6 | b = 9 | c = 0

957) a = 3.7 | b = 3.7 | c = 0

958) a = 3.7 | b = 7.4 | c = 0

959) a = 3.8 | b = 1.9 | c = 0

960) a = 3.8 | b = 3.8 | c = 0

961) a = 3.8 | b = 7.6 | c = 0

962) a = 3.9 | b = 3.9 | c = 0

963) a = 3.9 | b = 7.8 | c = 0

964) a = 4 | b = 0.4 | c = 0

965) a = 4 | b = 0.8 | c = 0

966) a = 4 | b = 1.2 | c = 0

967) a = 4 | b = 1.6 | c = 0

968) a = 4 | b = 2 | c = 0

969) a = 4 | b = 2.4 | c = 0

970) a = 4 | b = 2.8 | c = 0

971) a = 4 | b = 3.2 | c = 0

972) a = 4 | b = 3.6 | c = 0

973) a = 4 | b = 4 | c = 0

974) a = 4 | b = 4.4 | c = 0

975) a = 4 | b = 4.8 | c = 0

976) a = 4 | b = 5.2 | c = 0

977) a = 4 | b = 5.6 | c = 0

978) a = 4 | b = 6 | c = 0

979) a = 4 | b = 6 | c = 2

980) a = 4 | b = 6.4 | c = 0

981) a = 4 | b = 6.8 | c = 0

982) a = 4 | b = 7.2 | c = 0

983) a = 4 | b = 7.2 | c = 2.6

984) a = 4 | b = 7.6 | c = 0

985) a = 4 | b = 8 | c = 0

986) a = 4 | b = 8 | c = 3

987) a = 4 | b = 8.4 | c = 0

988) a = 4 | b = 8.4 | c = 3.2

989) a = 4 | b = 8.8 | c = 0

990) a = 4.1 | b = 4.1 | c = 0

991) a = 4.1 | b = 8.2 | c = 0

992) a = 4.2 | b = 2.1 | c = 0

993) a = 4.2 | b = 4.2 | c = 0

994) a = 4.2 | b = 6.3 | c = 0

995) a = 4.2 | b = 8.4 | c = 0

996) a = 4.3 | b = 4.3 | c = 0

997) a = 4.3 | b = 8.6 | c = 0

998) a = 4.4 | b = 2.2 | c = 0

999) a = 4.4 | b = 4.4 | c = 0

1000) a = 4.4 | b = 8.8 | c = 0

1001) a = 4.5 | b = 0.9 | c = 0

1002) a = 4.5 | b = 1.8 | c = 0

1003) a = 4.5 | b = 3.6 | c = 0

1004) a = 4.5 | b = 4.5 | c = 0

1005) a = 4.5 | b = 6.3 | c = 0

1006) a = 4.5 | b = 7.2 | c = 0

1007) a = 4.5 | b = 9 | c = 0

1008) a = 4.6 | b = 2.3 | c = 0

1009) a = 4.6 | b = 4.6 | c = 0

1010) a = 4.7 | b = 4.7 | c = 0

1011) a = 4.8 | b = 2.4 | c = 0

1012) a = 4.8 | b = 4.8 | c = 0

1013) a = 4.8 | b = 7.2 | c = 0

1014) a = 4.9 | b = 4.9 | c = 0

1015) a = 5 | b = 0.5 | c = 0

1016) a = 5 | b = 1 | c = 0

1017) a = 5 | b = 1.5 | c = 0

1018) a = 5 | b = 1.5 | c = 0.1

1019) a = 5 | b = 2 | c = 0

1020) a = 5 | b = 2.5 | c = 0

1021) a = 5 | b = 2.5 | c = 0.2

1022) a = 5 | b = 2.5 | c = 0.3

1023) a = 5 | b = 3 | c = 0

1024) a = 5 | b = 3 | c = 0.4

1025) a = 5 | b = 3.5 | c = 0

1026) a = 5 | b = 3.5 | c = 0.3

1027) a = 5 | b = 3.5 | c = 0.5

1028) a = 5 | b = 3.5 | c = 0.6

1029) a = 5 | b = 4 | c = 0

1030) a = 5 | b = 4 | c = 0.6

1031) a = 5 | b = 4.5 | c = 0

1032) a = 5 | b = 4.5 | c = 0.4

1033) a = 5 | b = 4.5 | c = 0.7

1034) a = 5 | b = 4.5 | c = 0.9

1035) a = 5 | b = 4.5 | c = 1

1036) a = 5 | b = 5 | c = 0

1037) a = 5 | b = 5 | c = 0.8

1038) a = 5 | b = 5 | c = 1.2

1039) a = 5 | b = 5.5 | c = 0

1040) a = 5 | b = 5.5 | c = 0.5

1041) a = 5 | b = 5.5 | c = 0.9

1042) a = 5 | b = 5.5 | c = 1.2

1043) a = 5 | b = 5.5 | c = 1.4

1044) a = 5 | b = 5.5 | c = 1.5

1045) a = 5 | b = 6 | c = 0

1046) a = 5 | b = 6 | c = 1

1047) a = 5 | b = 6 | c = 1.6

1048) a = 5 | b = 6.5 | c = 0

1049) a = 5 | b = 6.5 | c = 0.6

1050) a = 5 | b = 6.5 | c = 1.1

1051) a = 5 | b = 6.5 | c = 1.5

1052) a = 5 | b = 6.5 | c = 1.8

1053) a = 5 | b = 6.5 | c = 2

1054) a = 5 | b = 6.5 | c = 2.1

1055) a = 5 | b = 7 | c = 0

1056) a = 5 | b = 7 | c = 1.2

1057) a = 5 | b = 7 | c = 2

1058) a = 5 | b = 7 | c = 2.4

1059) a = 5 | b = 7.5 | c = 0

1060) a = 5 | b = 7.5 | c = 0.7

1061) a = 5 | b = 7.5 | c = 1.3

1062) a = 5 | b = 7.5 | c = 1.8

1063) a = 5 | b = 7.5 | c = 2.2

1064) a = 5 | b = 7.5 | c = 2.5

1065) a = 5 | b = 7.5 | c = 2.7

1066) a = 5 | b = 7.5 | c = 2.8

1067) a = 5 | b = 8 | c = 0

1068) a = 5 | b = 8 | c = 1.4

1069) a = 5 | b = 8 | c = 2.4

1070) a = 5 | b = 8 | c = 3

1071) a = 5 | b = 8.5 | c = 0

1072) a = 5 | b = 8.5 | c = 0.8

1073) a = 5 | b = 8.5 | c = 1.5

1074) a = 5 | b = 8.5 | c = 2.1

1075) a = 5 | b = 8.5 | c = 2.6

1076) a = 5 | b = 8.5 | c = 3

1077) a = 5 | b = 8.5 | c = 3.3

1078) a = 5 | b = 8.5 | c = 3.5

1079) a = 5 | b = 8.5 | c = 3.6

1080) a = 5 | b = 9 | c = 0

1081) a = 5 | b = 9 | c = 1.6

1082) a = 5 | b = 9 | c = 2.8

1083) a = 5 | b = 9 | c = 3.6

1084) a = 5 | b = 9 | c = 4

1085) a = 5.1 | b = 5.1 | c = 0

1086) a = 5.2 | b = 2.6 | c = 0

1087) a = 5.2 | b = 5.2 | c = 0

1088) a = 5.2 | b = 7.8 | c = 0

1089) a = 5.3 | b = 5.3 | c = 0

1090) a = 5.4 | b = 2.7 | c = 0

1091) a = 5.4 | b = 5.4 | c = 0

1092) a = 5.5 | b = 1.1 | c = 0

1093) a = 5.5 | b = 2.2 | c = 0

1094) a = 5.5 | b = 3.3 | c = 0

1095) a = 5.5 | b = 4.4 | c = 0

1096) a = 5.5 | b = 5.5 | c = 0

1097) a = 5.5 | b = 6.6 | c = 0

1098) a = 5.5 | b = 8.8 | c = 0

1099) a = 5.6 | b = 2.8 | c = 0

1100) a = 5.6 | b = 5.6 | c = 0

1101) a = 5.7 | b = 5.7 | c = 0

1102) a = 5.8 | b = 2.9 | c = 0

1103) a = 5.8 | b = 5.8 | c = 0

1104) a = 5.8 | b = 8.7 | c = 0

1105) a = 5.9 | b = 5.9 | c = 0

1106) a = 6 | b = 1.8 | c = 0

1107) a = 6 | b = 3 | c = 0

1108) a = 6 | b = 3.6 | c = 0

1109) a = 6 | b = 5.4 | c = 0

1110) a = 6 | b = 6 | c = 0

1111) a = 6 | b = 7.2 | c = 0

1112) a = 6 | b = 7.8 | c = 0

1113) a = 6 | b = 9 | c = 0

1114) a = 6 | b = 9 | c = 3

1115) a = 6.1 | b = 6.1 | c = 0

1116) a = 6.2 | b = 3.1 | c = 0

1117) a = 6.2 | b = 6.2 | c = 0

1118) a = 6.3 | b = 6.3 | c = 0

1119) a = 6.4 | b = 3.2 | c = 0

1120) a = 6.4 | b = 6.4 | c = 0

1121) a = 6.5 | b = 1.3 | c = 0

1122) a = 6.5 | b = 2.6 | c = 0

1123) a = 6.5 | b = 3.9 | c = 0

1124) a = 6.5 | b = 5.2 | c = 0

1125) a = 6.5 | b = 6.5 | c = 0

1126) a = 6.5 | b = 7.8 | c = 0

1127) a = 6.6 | b = 3.3 | c = 0

1128) a = 6.6 | b = 6.6 | c = 0

1129) a = 6.7 | b = 6.7 | c = 0

1130) a = 6.8 | b = 3.4 | c = 0

1131) a = 6.8 | b = 6.8 | c = 0

1132) a = 6.9 | b = 6.9 | c = 0

1133) a = 7 | b = 2.1 | c = 0

1134) a = 7 | b = 3.5 | c = 0

1135) a = 7 | b = 4.2 | c = 0

1136) a = 7 | b = 6.3 | c = 0

1137) a = 7 | b = 7 | c = 0

1138) a = 7 | b = 7.7 | c = 0

1139) a = 7 | b = 8.4 | c = 0

1140) a = 7.1 | b = 7.1 | c = 0

1141) a = 7.2 | b = 3.6 | c = 0

1142) a = 7.2 | b = 7.2 | c = 0

1143) a = 7.3 | b = 7.3 | c = 0

1144) a = 7.4 | b = 3.7 | c = 0

1145) a = 7.4 | b = 7.4 | c = 0

1146) a = 7.5 | b = 1.5 | c = 0

1147) a = 7.5 | b = 3 | c = 0

1148) a = 7.5 | b = 4.5 | c = 0

1149) a = 7.5 | b = 4.5 | c = 0.6

1150) a = 7.5 | b = 6 | c = 0

1151) a = 7.5 | b = 6 | c = 0.9

1152) a = 7.5 | b = 7.5 | c = 0

1153) a = 7.5 | b = 7.5 | c = 1.2

1154) a = 7.5 | b = 7.5 | c = 1.8

1155) a = 7.5 | b = 9 | c = 0

1156) a = 7.5 | b = 9 | c = 1.5

1157) a = 7.5 | b = 9 | c = 2.4

1158) a = 7.6 | b = 3.8 | c = 0

1159) a = 7.6 | b = 7.6 | c = 0

1160) a = 7.7 | b = 7.7 | c = 0

1161) a = 7.8 | b = 3.9 | c = 0

1162) a = 7.8 | b = 7.8 | c = 0

1163) a = 7.9 | b = 7.9 | c = 0

1164) a = 8 | b = 0.8 | c = 0

1165) a = 8 | b = 1.6 | c = 0

1166) a = 8 | b = 2.4 | c = 0

1167) a = 8 | b = 3.2 | c = 0

1168) a = 8 | b = 4 | c = 0

1169) a = 8 | b = 4.8 | c = 0

1170) a = 8 | b = 5.6 | c = 0

1171) a = 8 | b = 6.4 | c = 0

1172) a = 8 | b = 7.2 | c = 0

1173) a = 8 | b = 8 | c = 0

1174) a = 8 | b = 8.8 | c = 0

1175) a = 8.1 | b = 8.1 | c = 0

1176) a = 8.2 | b = 4.1 | c = 0

1177) a = 8.2 | b = 8.2 | c = 0

1178) a = 8.3 | b = 8.3 | c = 0

1179) a = 8.4 | b = 4.2 | c = 0

1180) a = 8.4 | b = 8.4 | c = 0

1181) a = 8.5 | b = 5.1 | c = 0

1182) a = 8.5 | b = 8.5 | c = 0

