1) d = 0.0 | x1 = 0 | x2 = -1.0
491) d = 2.6 | x1 = -1.0 | x2 = -2.6

492) d = 13.7 | x1 = 0 | x2 = -3.7

493) d = 7.3 | x1 = -0.5 | x2 = -3.2

494) d = 14.4 | x1 = 0 | x2 = -3.8

495) d = 15.2 | x1 = 0 | x2 = -3.9

496) d = 8.4 | x1 = -0.5 | x2 = -3.4

497) d = 3.6 | x1 = -1.0 | x2 = -2.9

498) d = 16 | x1 = 0 | x2 = -4.0

499) d = 4 | x1 = -1.0 | x2 = -3.0

500) d = 16.8 | x1 = 0 | x2 = -4.1

501) d = 17.6 | x1 = 0 | x2 = -4.2

502) d = 4.8 | x1 = -1.0 | x2 = -3.2

503) d = 18.5 | x1 = 0 | x2 = -4.3

504) d = 10.9 | x1 = -0.5 | x2 = -3.8

505) d = 5.3 | x1 = -1.0 | x2 = -3.3

506) d = 19.4 | x1 = 0 | x2 = -4.4

507) d = 20.2 | x1 = 0 | x2 = -4.5

508) d = 12.2 | x1 = -0.5 | x2 = -4.0

509) d = 6.2 | x1 = -1.0 | x2 = -3.5

510) d = 2.2 | x1 = -1.5 | x2 = -3.0

511) d = 0.2 | x1 = -2.0 | x2 = -2.5

512) d = 21.2 | x1 = 0 | x2 = -4.6

513) d = 22.1 | x1 = 0 | x2 = -4.7

514) d = 23.0 | x1 = 0 | x2 = -4.8

515) d = 7.8 | x1 = -1.0 | x2 = -3.8

516) d = 24.0 | x1 = 0 | x2 = -4.9

517) d = 25 | x1 = 0 | x2 = -5.0

518) d = 9 | x1 = -1.0 | x2 = -4.0

519) d = 1 | x1 = -2.0 | x2 = -3.0

520) d = 26.0 | x1 = 0 | x2 = -5.1

521) d = 16.8 | x1 = -0.5 | x2 = -4.6

522) d = 27.0 | x1 = 0 | x2 = -5.2

523) d = 10.2 | x1 = -1.0 | x2 = -4.2

524) d = 28.1 | x1 = 0 | x2 = -5.3

525) d = 18.5 | x1 = -0.5 | x2 = -4.8

526) d = 5.3 | x1 = -1.5 | x2 = -3.8

527) d = 29.2 | x1 = 0 | x2 = -5.4

528) d = 30.2 | x1 = 0 | x2 = -5.5

529) d = 20.2 | x1 = -0.5 | x2 = -5.0

530) d = 12.2 | x1 = -1.0 | x2 = -4.5

531) d = 6.2 | x1 = -1.5 | x2 = -4.0

532) d = 2.2 | x1 = -2.0 | x2 = -3.5

533) d = 0.2 | x1 = -2.5 | x2 = -3.0

534) d = 31.4 | x1 = 0 | x2 = -5.6

535) d = 32.5 | x1 = 0 | x2 = -5.7

536) d = 22.1 | x1 = -0.5 | x2 = -5.2

537) d = 13.7 | x1 = -1.0 | x2 = -4.7

538) d = 33.6 | x1 = 0 | x2 = -5.8

539) d = 34.8 | x1 = 0 | x2 = -5.9

540) d = 24.0 | x1 = -0.5 | x2 = -5.4

541) d = 36 | x1 = 0 | x2 = -6.0

542) d = 16 | x1 = -1.0 | x2 = -5.0

543) d = 4 | x1 = -2.0 | x2 = -4.0

544) d = 37.2 | x1 = 0 | x2 = -6.1

545) d = 26.0 | x1 = -0.5 | x2 = -5.6

546) d = 16.8 | x1 = -1.0 | x2 = -5.1

547) d = 38.4 | x1 = 0 | x2 = -6.2

548) d = 17.6 | x1 = -1.0 | x2 = -5.2

549) d = 39.7 | x1 = 0 | x2 = -6.3

550) d = 28.1 | x1 = -0.5 | x2 = -5.8

551) d = 18.5 | x1 = -1.0 | x2 = -5.3

552) d = 5.3 | x1 = -2.0 | x2 = -4.3

553) d = 41.0 | x1 = 0 | x2 = -6.4

554) d = 19.4 | x1 = -1.0 | x2 = -5.4

555) d = 42.2 | x1 = 0 | x2 = -6.5

556) d = 30.2 | x1 = -0.5 | x2 = -6.0

557) d = 20.2 | x1 = -1.0 | x2 = -5.5

558) d = 12.2 | x1 = -1.5 | x2 = -5.0

559) d = 6.2 | x1 = -2.0 | x2 = -4.5

560) d = 43.6 | x1 = 0 | x2 = -6.6

561) d = 21.2 | x1 = -1.0 | x2 = -5.6

562) d = 44.9 | x1 = 0 | x2 = -6.7

563) d = 32.5 | x1 = -0.5 | x2 = -6.2

564) d = 22.1 | x1 = -1.0 | x2 = -5.7

565) d = 13.7 | x1 = -1.5 | x2 = -5.2

566) d = 46.2 | x1 = 0 | x2 = -6.8

567) d = 23.0 | x1 = -1.0 | x2 = -5.8

568) d = 47.6 | x1 = 0 | x2 = -6.9

569) d = 34.8 | x1 = -0.5 | x2 = -6.4

570) d = 24.0 | x1 = -1.0 | x2 = -5.9

571) d = 49 | x1 = 0 | x2 = -7.0

572) d = 25 | x1 = -1.0 | x2 = -6.0

573) d = 50.4 | x1 = 0 | x2 = -7.1

574) d = 37.2 | x1 = -0.5 | x2 = -6.6

575) d = 26.0 | x1 = -1.0 | x2 = -6.1

576) d = 16.8 | x1 = -1.5 | x2 = -5.6

577) d = 51.8 | x1 = 0 | x2 = -7.2

578) d = 27.0 | x1 = -1.0 | x2 = -6.2

579) d = 53.3 | x1 = 0 | x2 = -7.3

580) d = 39.7 | x1 = -0.5 | x2 = -6.8

581) d = 28.1 | x1 = -1.0 | x2 = -6.3

582) d = 18.5 | x1 = -1.5 | x2 = -5.8

583) d = 54.8 | x1 = 0 | x2 = -7.4

584) d = 29.2 | x1 = -1.0 | x2 = -6.4

585) d = 56.2 | x1 = 0 | x2 = -7.5

586) d = 42.2 | x1 = -0.5 | x2 = -7.0

587) d = 30.2 | x1 = -1.0 | x2 = -6.5

588) d = 20.2 | x1 = -1.5 | x2 = -6.0

589) d = 57.8 | x1 = 0 | x2 = -7.6

590) d = 31.4 | x1 = -1.0 | x2 = -6.6

591) d = 59.3 | x1 = 0 | x2 = -7.7

592) d = 44.9 | x1 = -0.5 | x2 = -7.2

593) d = 60.8 | x1 = 0 | x2 = -7.8

594) d = 33.6 | x1 = -1.0 | x2 = -6.8

595) d = 62.4 | x1 = 0 | x2 = -7.9

596) d = 47.6 | x1 = -0.5 | x2 = -7.4

597) d = 34.8 | x1 = -1.0 | x2 = -6.9

598) d = 64 | x1 = 0 | x2 = -8.0

599) d = 36 | x1 = -1.0 | x2 = -7.0

600) d = 65.6 | x1 = 0 | x2 = -8.1

601) d = 50.4 | x1 = -0.5 | x2 = -7.6

602) d = 37.2 | x1 = -1.0 | x2 = -7.1

603) d = 67.2 | x1 = 0 | x2 = -8.2

604) d = 68.9 | x1 = 0 | x2 = -8.3

605) d = 70.6 | x1 = 0 | x2 = -8.4

606) d = 41.0 | x1 = -1.0 | x2 = -7.4

607) d = 72.2 | x1 = 0 | x2 = -8.5

608) d = 56.2 | x1 = -0.5 | x2 = -8.0

609) d = 42.2 | x1 = -1.0 | x2 = -7.5

610) d = 74.0 | x1 = 0 | x2 = -8.6

611) d = 43.6 | x1 = -1.0 | x2 = -7.6

612) d = 75.7 | x1 = 0 | x2 = -8.7

613) d = 77.4 | x1 = 0 | x2 = -8.8

614) d = 79.2 | x1 = 0 | x2 = -8.9

615) d = 62.4 | x1 = -0.5 | x2 = -8.4

616) d = 47.6 | x1 = -1.0 | x2 = -7.9

617) d = 81 | x1 = 0 | x2 = -9.0

618) d = 49 | x1 = -1.0 | x2 = -8.0

619) d = 1.2 | x1 = 0 | x2 = -1.0

620) d = 4.8 | x1 = 0 | x2 = -2.0

621) d = 19.4 | x1 = 0 | x2 = -4.0

622) d = 30.2 | x1 = 0 | x2 = -5.0

623) d = 59.3 | x1 = 0 | x2 = -7.0

624) d = 77.4 | x1 = 0 | x2 = -8.0

625) d = 0.4 | x1 = 0 | x2 = -0.5

626) d = 1.4 | x1 = 0 | x2 = -1.0

627) d = 3.2 | x1 = 0 | x2 = -1.5

628) d = 5.8 | x1 = 0 | x2 = -2.0

629) d = 9.0 | x1 = 0 | x2 = -2.5

630) d = 3.2 | x1 = -0.5 | x2 = -2.0

631) d = 13.0 | x1 = 0 | x2 = -3.0

632) d = 23.0 | x1 = 0 | x2 = -4.0

633) d = 36.0 | x1 = 0 | x2 = -5.0

634) d = 13.0 | x1 = -1.0 | x2 = -4.0

635) d = 43.6 | x1 = 0 | x2 = -5.5

636) d = 51.8 | x1 = 0 | x2 = -6.0

637) d = 60.8 | x1 = 0 | x2 = -6.5

638) d = 17.6 | x1 = -1.5 | x2 = -5.0

639) d = 81.0 | x1 = 0 | x2 = -7.5

640) d = 1.7 | x1 = 0 | x2 = -1.0

641) d = 6.8 | x1 = 0 | x2 = -2.0

642) d = 15.2 | x1 = 0 | x2 = -3.0

643) d = 27.0 | x1 = 0 | x2 = -4.0

644) d = 6.8 | x1 = -1.0 | x2 = -3.0

645) d = 42.2 | x1 = 0 | x2 = -5.0

646) d = 60.8 | x1 = 0 | x2 = -6.0

647) d = 0.5 | x1 = 0 | x2 = -0.5

648) d = 2.0 | x1 = 0 | x2 = -1.0

649) d = 7.8 | x1 = 0 | x2 = -2.0

650) d = 12.2 | x1 = 0 | x2 = -2.5

651) d = 4.4 | x1 = -0.5 | x2 = -2.0

652) d = 31.4 | x1 = 0 | x2 = -4.0

653) d = 39.7 | x1 = 0 | x2 = -4.5

654) d = 49.0 | x1 = 0 | x2 = -5.0

655) d = 17.6 | x1 = -1.0 | x2 = -4.0

656) d = 0.8 | x1 = 0 | x2 = -0.6

657) d = 2.2 | x1 = 0 | x2 = -1.0

658) d = 3.2 | x1 = 0 | x2 = -1.2

659) d = 7.3 | x1 = 0 | x2 = -1.8

660) d = 9.0 | x1 = 0 | x2 = -2.0

661) d = 13.0 | x1 = 0 | x2 = -2.4

662) d = 15.2 | x1 = 0 | x2 = -2.6

663) d = 20.2 | x1 = 0 | x2 = -3.0

664) d = 2.2 | x1 = -1.0 | x2 = -2.0

665) d = 26.0 | x1 = 0 | x2 = -3.4

666) d = 29.2 | x1 = 0 | x2 = -3.6

667) d = 36.0 | x1 = 0 | x2 = -4.0

668) d = 9.0 | x1 = -1.0 | x2 = -3.0

669) d = 39.7 | x1 = 0 | x2 = -4.2

670) d = 51.8 | x1 = 0 | x2 = -4.8

671) d = 56.2 | x1 = 0 | x2 = -5.0

672) d = 20.2 | x1 = -1.0 | x2 = -4.0

673) d = 2.2 | x1 = -2.0 | x2 = -3.0

674) d = 60.8 | x1 = 0 | x2 = -5.2

675) d = 23.0 | x1 = -1.0 | x2 = -4.2

676) d = 75.7 | x1 = 0 | x2 = -5.8

677) d = 81.0 | x1 = 0 | x2 = -6.0

678) d = 36.0 | x1 = -1.0 | x2 = -5.0

679) d = 0.6 | x1 = 0 | x2 = -0.5

680) d = 2.6 | x1 = 0 | x2 = -1.0

681) d = 10.2 | x1 = 0 | x2 = -2.0

682) d = 16.0 | x1 = 0 | x2 = -2.5

683) d = 41.0 | x1 = 0 | x2 = -4.0

684) d = 51.8 | x1 = 0 | x2 = -4.5

685) d = 64.0 | x1 = 0 | x2 = -5.0

686) d = 77.4 | x1 = 0 | x2 = -5.5

687) d = 2.9 | x1 = 0 | x2 = -1.0

688) d = 11.6 | x1 = 0 | x2 = -2.0

689) d = 26.0 | x1 = 0 | x2 = -3.0

690) d = 46.2 | x1 = 0 | x2 = -4.0

691) d = 72.2 | x1 = 0 | x2 = -5.0

692) d = 0.8 | x1 = 0 | x2 = -0.5

693) d = 3.2 | x1 = 0 | x2 = -1.0

694) d = 7.3 | x1 = 0 | x2 = -1.5

695) d = 13.0 | x1 = 0 | x2 = -2.0

696) d = 20.2 | x1 = 0 | x2 = -2.5

697) d = 29.2 | x1 = 0 | x2 = -3.0

698) d = 39.7 | x1 = 0 | x2 = -3.5

699) d = 51.8 | x1 = 0 | x2 = -4.0

700) d = 13.0 | x1 = -1.0 | x2 = -3.0

701) d = 65.6 | x1 = 0 | x2 = -4.5

702) d = 81.0 | x1 = 0 | x2 = -5.0

703) d = 3.6 | x1 = 0 | x2 = -1.0

704) d = 14.4 | x1 = 0 | x2 = -2.0

705) d = 57.8 | x1 = 0 | x2 = -4.0

706) d = 0.0 | x1 = 0 | x2 = -0.1

707) d = 0.2 | x1 = 0 | x2 = -0.2

708) d = 0.4 | x1 = 0 | x2 = -0.3

709) d = 0.6 | x1 = 0 | x2 = -0.4

710) d = 1 | x1 = 0 | x2 = -0.5

711) d = 1.4 | x1 = 0 | x2 = -0.6

712) d = 2.0 | x1 = 0 | x2 = -0.7

713) d = 2.6 | x1 = 0 | x2 = -0.8

714) d = 3.2 | x1 = 0 | x2 = -0.9

715) d = 4 | x1 = 0 | x2 = -1.0

716) d = 4.8 | x1 = 0 | x2 = -1.1

717) d = 5.8 | x1 = 0 | x2 = -1.2

718) d = 6.8 | x1 = 0 | x2 = -1.3

719) d = 7.8 | x1 = 0 | x2 = -1.4

720) d = 9 | x1 = 0 | x2 = -1.5

721) d = 1 | x1 = -0.5 | x2 = -1.0

722) d = 10.2 | x1 = 0 | x2 = -1.6

723) d = 11.6 | x1 = 0 | x2 = -1.7

724) d = 13.0 | x1 = 0 | x2 = -1.8

725) d = 2.6 | x1 = -0.5 | x2 = -1.3

726) d = 14.4 | x1 = 0 | x2 = -1.9

727) d = 16 | x1 = 0 | x2 = -2.0

728) d = 4.0 | x1 = -0.5 | x2 = -1.5

729) d = 17.6 | x1 = 0 | x2 = -2.1

730) d = 4.8 | x1 = -0.5 | x2 = -1.6

731) d = 19.4 | x1 = 0 | x2 = -2.2

732) d = 21.2 | x1 = 0 | x2 = -2.3

733) d = 23.0 | x1 = 0 | x2 = -2.4

734) d = 7.8 | x1 = -0.5 | x2 = -1.9

735) d = 25 | x1 = 0 | x2 = -2.5

736) d = 9 | x1 = -0.5 | x2 = -2.0

737) d = 1 | x1 = -1.0 | x2 = -1.5

738) d = 27.0 | x1 = 0 | x2 = -2.6

739) d = 10.2 | x1 = -0.5 | x2 = -2.1

740) d = 29.2 | x1 = 0 | x2 = -2.7

741) d = 31.4 | x1 = 0 | x2 = -2.8

742) d = 33.6 | x1 = 0 | x2 = -2.9

743) d = 36 | x1 = 0 | x2 = -3.0

744) d = 16.0 | x1 = -0.5 | x2 = -2.5

745) d = 4 | x1 = -1.0 | x2 = -2.0

746) d = 38.4 | x1 = 0 | x2 = -3.1

747) d = 17.6 | x1 = -0.5 | x2 = -2.6

748) d = 41.0 | x1 = 0 | x2 = -3.2

749) d = 19.4 | x1 = -0.5 | x2 = -2.7

750) d = 43.6 | x1 = 0 | x2 = -3.3

751) d = 21.2 | x1 = -0.5 | x2 = -2.8

752) d = 46.2 | x1 = 0 | x2 = -3.4

753) d = 23.0 | x1 = -0.5 | x2 = -2.9

754) d = 49 | x1 = 0 | x2 = -3.5

755) d = 25 | x1 = -0.5 | x2 = -3.0

756) d = 9 | x1 = -1.0 | x2 = -2.5

757) d = 1 | x1 = -1.5 | x2 = -2.0

758) d = 51.8 | x1 = 0 | x2 = -3.6

759) d = 27.0 | x1 = -0.5 | x2 = -3.1

760) d = 10.2 | x1 = -1.0 | x2 = -2.6

761) d = 54.8 | x1 = 0 | x2 = -3.7

762) d = 29.2 | x1 = -0.5 | x2 = -3.2

763) d = 57.8 | x1 = 0 | x2 = -3.8

764) d = 31.4 | x1 = -0.5 | x2 = -3.3

765) d = 60.8 | x1 = 0 | x2 = -3.9

766) d = 33.6 | x1 = -0.5 | x2 = -3.4

767) d = 14.4 | x1 = -1.0 | x2 = -2.9

768) d = 64 | x1 = 0 | x2 = -4.0

769) d = 36.0 | x1 = -0.5 | x2 = -3.5

770) d = 16 | x1 = -1.0 | x2 = -3.0

771) d = 4.0 | x1 = -1.5 | x2 = -2.5

772) d = 67.2 | x1 = 0 | x2 = -4.1

773) d = 70.6 | x1 = 0 | x2 = -4.2

774) d = 41.0 | x1 = -0.5 | x2 = -3.7

775) d = 19.4 | x1 = -1.0 | x2 = -3.2

776) d = 74.0 | x1 = 0 | x2 = -4.3

777) d = 43.6 | x1 = -0.5 | x2 = -3.8

778) d = 21.2 | x1 = -1.0 | x2 = -3.3

779) d = 77.4 | x1 = 0 | x2 = -4.4

780) d = 81 | x1 = 0 | x2 = -4.5

781) d = 49 | x1 = -0.5 | x2 = -4.0

782) d = 25 | x1 = -1.0 | x2 = -3.5

783) d = 9 | x1 = -1.5 | x2 = -3.0

784) d = 4.4 | x1 = 0 | x2 = -1.0

785) d = 17.6 | x1 = 0 | x2 = -2.0

786) d = 39.7 | x1 = 0 | x2 = -3.0

787) d = 70.6 | x1 = 0 | x2 = -4.0

788) d = 17.6 | x1 = -1.0 | x2 = -3.0

789) d = 1.2 | x1 = 0 | x2 = -0.5

790) d = 4.8 | x1 = 0 | x2 = -1.0

791) d = 19.4 | x1 = 0 | x2 = -2.0

792) d = 30.2 | x1 = 0 | x2 = -2.5

793) d = 59.3 | x1 = 0 | x2 = -3.5

794) d = 77.4 | x1 = 0 | x2 = -4.0

795) d = 5.3 | x1 = 0 | x2 = -1.0

796) d = 21.2 | x1 = 0 | x2 = -2.0

797) d = 1.4 | x1 = 0 | x2 = -0.5

798) d = 5.8 | x1 = 0 | x2 = -1.0

799) d = 13.0 | x1 = 0 | x2 = -1.5

800) d = 23.0 | x1 = 0 | x2 = -2.0

801) d = 36.0 | x1 = 0 | x2 = -2.5

802) d = 13.0 | x1 = -0.5 | x2 = -2.0

803) d = 51.8 | x1 = 0 | x2 = -3.0

804) d = 0.2 | x1 = 0 | x2 = -0.2

805) d = 1.0 | x1 = 0 | x2 = -0.4

806) d = 2.2 | x1 = 0 | x2 = -0.6

807) d = 0.2 | x1 = -0.2 | x2 = -0.4

808) d = 4.0 | x1 = 0 | x2 = -0.8

809) d = 1.0 | x1 = -0.2 | x2 = -0.6

810) d = 6.2 | x1 = 0 | x2 = -1.0

811) d = 2.2 | x1 = -0.2 | x2 = -0.8

812) d = 0.2 | x1 = -0.4 | x2 = -0.6

813) d = 9.0 | x1 = 0 | x2 = -1.2

814) d = 4.0 | x1 = -0.2 | x2 = -1.0

815) d = 1.0 | x1 = -0.4 | x2 = -0.8

816) d = 12.2 | x1 = 0 | x2 = -1.4

817) d = 6.2 | x1 = -0.2 | x2 = -1.2

818) d = 2.2 | x1 = -0.4 | x2 = -1.0

819) d = 0.2 | x1 = -0.6 | x2 = -0.8

820) d = 16.0 | x1 = 0 | x2 = -1.6

821) d = 9.0 | x1 = -0.2 | x2 = -1.4

822) d = 4.0 | x1 = -0.4 | x2 = -1.2

823) d = 1.0 | x1 = -0.6 | x2 = -1.0

824) d = 20.2 | x1 = 0 | x2 = -1.8

825) d = 12.2 | x1 = -0.2 | x2 = -1.6

826) d = 6.2 | x1 = -0.4 | x2 = -1.4

827) d = 2.2 | x1 = -0.6 | x2 = -1.2

828) d = 0.2 | x1 = -0.8 | x2 = -1.0

829) d = 25.0 | x1 = 0 | x2 = -2.0

830) d = 16.0 | x1 = -0.2 | x2 = -1.8

831) d = 9.0 | x1 = -0.4 | x2 = -1.6

832) d = 4.0 | x1 = -0.6 | x2 = -1.4

833) d = 1.0 | x1 = -0.8 | x2 = -1.2

834) d = 30.2 | x1 = 0 | x2 = -2.2

835) d = 20.2 | x1 = -0.2 | x2 = -2.0

836) d = 12.2 | x1 = -0.4 | x2 = -1.8

837) d = 6.2 | x1 = -0.6 | x2 = -1.6

838) d = 2.2 | x1 = -0.8 | x2 = -1.4

839) d = 0.2 | x1 = -1.0 | x2 = -1.2

840) d = 36.0 | x1 = 0 | x2 = -2.4

841) d = 25.0 | x1 = -0.2 | x2 = -2.2

842) d = 16.0 | x1 = -0.4 | x2 = -2.0

843) d = 9.0 | x1 = -0.6 | x2 = -1.8

844) d = 4.0 | x1 = -0.8 | x2 = -1.6

845) d = 1.0 | x1 = -1.0 | x2 = -1.4

846) d = 42.2 | x1 = 0 | x2 = -2.6

847) d = 30.2 | x1 = -0.2 | x2 = -2.4

848) d = 20.2 | x1 = -0.4 | x2 = -2.2

849) d = 12.2 | x1 = -0.6 | x2 = -2.0

850) d = 6.2 | x1 = -0.8 | x2 = -1.8

851) d = 2.2 | x1 = -1.0 | x2 = -1.6

852) d = 0.2 | x1 = -1.2 | x2 = -1.4

853) d = 49.0 | x1 = 0 | x2 = -2.8

854) d = 36.0 | x1 = -0.2 | x2 = -2.6

855) d = 25.0 | x1 = -0.4 | x2 = -2.4

856) d = 16.0 | x1 = -0.6 | x2 = -2.2

857) d = 9.0 | x1 = -0.8 | x2 = -2.0

858) d = 4.0 | x1 = -1.0 | x2 = -1.8

859) d = 1.0 | x1 = -1.2 | x2 = -1.6

860) d = 56.2 | x1 = 0 | x2 = -3.0

861) d = 42.2 | x1 = -0.2 | x2 = -2.8

862) d = 30.2 | x1 = -0.4 | x2 = -2.6

863) d = 20.2 | x1 = -0.6 | x2 = -2.4

864) d = 12.2 | x1 = -0.8 | x2 = -2.2

865) d = 6.2 | x1 = -1.0 | x2 = -2.0

866) d = 2.2 | x1 = -1.2 | x2 = -1.8

867) d = 0.2 | x1 = -1.4 | x2 = -1.6

868) d = 64.0 | x1 = 0 | x2 = -3.2

869) d = 49.0 | x1 = -0.2 | x2 = -3.0

870) d = 36.0 | x1 = -0.4 | x2 = -2.8

871) d = 25.0 | x1 = -0.6 | x2 = -2.6

872) d = 16.0 | x1 = -0.8 | x2 = -2.4

873) d = 9.0 | x1 = -1.0 | x2 = -2.2

874) d = 4.0 | x1 = -1.2 | x2 = -2.0

875) d = 1.0 | x1 = -1.4 | x2 = -1.8

876) d = 72.2 | x1 = 0 | x2 = -3.4

877) d = 56.2 | x1 = -0.2 | x2 = -3.2

878) d = 42.2 | x1 = -0.4 | x2 = -3.0

879) d = 30.2 | x1 = -0.6 | x2 = -2.8

880) d = 20.2 | x1 = -0.8 | x2 = -2.6

881) d = 12.2 | x1 = -1.0 | x2 = -2.4

882) d = 6.2 | x1 = -1.2 | x2 = -2.2

883) d = 2.2 | x1 = -1.4 | x2 = -2.0

884) d = 0.2 | x1 = -1.6 | x2 = -1.8

885) d = 81.0 | x1 = 0 | x2 = -3.6

886) d = 64.0 | x1 = -0.2 | x2 = -3.4

887) d = 49.0 | x1 = -0.4 | x2 = -3.2

888) d = 36.0 | x1 = -0.6 | x2 = -3.0

889) d = 25.0 | x1 = -0.8 | x2 = -2.8

890) d = 16.0 | x1 = -1.0 | x2 = -2.6

891) d = 9.0 | x1 = -1.2 | x2 = -2.4

892) d = 4.0 | x1 = -1.4 | x2 = -2.2

893) d = 1.0 | x1 = -1.6 | x2 = -2.0

894) d = 1.7 | x1 = 0 | x2 = -0.5

895) d = 6.8 | x1 = 0 | x2 = -1.0

896) d = 15.2 | x1 = 0 | x2 = -1.5

897) d = 27.0 | x1 = 0 | x2 = -2.0

898) d = 42.2 | x1 = 0 | x2 = -2.5

899) d = 60.8 | x1 = 0 | x2 = -3.0

900) d = 7.3 | x1 = 0 | x2 = -1.0

901) d = 29.2 | x1 = 0 | x2 = -2.0

902) d = 2.0 | x1 = 0 | x2 = -0.5

903) d = 7.8 | x1 = 0 | x2 = -1.0

904) d = 31.4 | x1 = 0 | x2 = -2.0

905) d = 49.0 | x1 = 0 | x2 = -2.5

906) d = 17.6 | x1 = -0.5 | x2 = -2.0

907) d = 8.4 | x1 = 0 | x2 = -1.0

908) d = 33.6 | x1 = 0 | x2 = -2.0

909) d = 75.7 | x1 = 0 | x2 = -3.0

910) d = 0.8 | x1 = 0 | x2 = -0.3

911) d = 2.2 | x1 = 0 | x2 = -0.5

912) d = 3.2 | x1 = 0 | x2 = -0.6

913) d = 7.3 | x1 = 0 | x2 = -0.9

914) d = 9 | x1 = 0 | x2 = -1.0

915) d = 13.0 | x1 = 0 | x2 = -1.2

916) d = 15.2 | x1 = 0 | x2 = -1.3

917) d = 20.2 | x1 = 0 | x2 = -1.5

918) d = 2.2 | x1 = -0.5 | x2 = -1.0

919) d = 26.0 | x1 = 0 | x2 = -1.7

920) d = 29.2 | x1 = 0 | x2 = -1.8

921) d = 36 | x1 = 0 | x2 = -2.0

922) d = 39.7 | x1 = 0 | x2 = -2.1

923) d = 51.8 | x1 = 0 | x2 = -2.4

924) d = 56.2 | x1 = 0 | x2 = -2.5

925) d = 20.2 | x1 = -0.5 | x2 = -2.0

926) d = 2.2 | x1 = -1.0 | x2 = -1.5

927) d = 60.8 | x1 = 0 | x2 = -2.6

928) d = 75.7 | x1 = 0 | x2 = -2.9

929) d = 81 | x1 = 0 | x2 = -3.0

930) d = 9 | x1 = -1.0 | x2 = -2.0

931) d = 9.6 | x1 = 0 | x2 = -1.0

932) d = 38.4 | x1 = 0 | x2 = -2.0

933) d = 2.6 | x1 = 0 | x2 = -0.5

934) d = 10.2 | x1 = 0 | x2 = -1.0

935) d = 41.0 | x1 = 0 | x2 = -2.0

936) d = 64.0 | x1 = 0 | x2 = -2.5

937) d = 10.9 | x1 = 0 | x2 = -1.0

938) d = 43.6 | x1 = 0 | x2 = -2.0

939) d = 2.9 | x1 = 0 | x2 = -0.5

940) d = 11.6 | x1 = 0 | x2 = -1.0

941) d = 26.0 | x1 = 0 | x2 = -1.5

942) d = 46.2 | x1 = 0 | x2 = -2.0

943) d = 72.2 | x1 = 0 | x2 = -2.5

944) d = 4.4 | x1 = 0 | x2 = -0.6

945) d = 12.2 | x1 = 0 | x2 = -1.0

946) d = 17.6 | x1 = 0 | x2 = -1.2

947) d = 39.7 | x1 = 0 | x2 = -1.8

948) d = 49.0 | x1 = 0 | x2 = -2.0

949) d = 59.3 | x1 = 0 | x2 = -2.2

950) d = 70.6 | x1 = 0 | x2 = -2.4

951) d = 3.2 | x1 = 0 | x2 = -0.5

952) d = 13.0 | x1 = 0 | x2 = -1.0

953) d = 29.2 | x1 = 0 | x2 = -1.5

954) d = 51.8 | x1 = 0 | x2 = -2.0

955) d = 13.0 | x1 = -0.5 | x2 = -1.5

956) d = 81.0 | x1 = 0 | x2 = -2.5

957) d = 13.7 | x1 = 0 | x2 = -1.0

958) d = 54.8 | x1 = 0 | x2 = -2.0

959) d = 3.6 | x1 = 0 | x2 = -0.5

960) d = 14.4 | x1 = 0 | x2 = -1.0

961) d = 57.8 | x1 = 0 | x2 = -2.0

962) d = 15.2 | x1 = 0 | x2 = -1.0

963) d = 60.8 | x1 = 0 | x2 = -2.0

964) d = 0.2 | x1 = 0 | x2 = -0.1

965) d = 0.6 | x1 = 0 | x2 = -0.2

966) d = 1.4 | x1 = 0 | x2 = -0.3

967) d = 2.6 | x1 = 0 | x2 = -0.4

968) d = 4 | x1 = 0 | x2 = -0.5

969) d = 5.8 | x1 = 0 | x2 = -0.6

970) d = 7.8 | x1 = 0 | x2 = -0.7

971) d = 10.2 | x1 = 0 | x2 = -0.8

972) d = 13.0 | x1 = 0 | x2 = -0.9

973) d = 16 | x1 = 0 | x2 = -1.0

974) d = 19.4 | x1 = 0 | x2 = -1.1

975) d = 23.0 | x1 = 0 | x2 = -1.2

976) d = 27.0 | x1 = 0 | x2 = -1.3

977) d = 31.4 | x1 = 0 | x2 = -1.4

